"plast","plast_2","JSD","pos_cycle","network","JSD_id"
0.2057,0.2959,0.0501966940359239,2,"Randomization/GRHL2",-3
0.2094,0.297,0.489383177436677,2,"Randomization/GRHL2",-1
0.4431,0.5348,0.000887588475584564,3,"Randomization/GRHL2",-8
0.4255,0.5293,0.00013593960595818,3,"Randomization/GRHL2",-9
0.15,0.2454,0.483255600323682,2,"Randomization/GRHL2",-1
0.0333,0.0541,0.1432564272449,1,"Randomization/GRHL2",-2
0.0294,0.0487,0.140794041751891,1,"Randomization/GRHL2",-2
0.0319,0.0555,0.378507261500886,1,"Randomization/GRHL2",-1
0.0275,0.0506,0.373215739560597,1,"Randomization/GRHL2",-1
0.1404,0.2029,0.0799788962291123,2,"Randomization/GRHL2",-3
0.0444,0.206,0.419304213862525,2,"Randomization/GRHL2",-1
0.0816,0.3131,0.309912236927327,2,"Randomization/GRHL2",-2
0,0,0.273207050184699,0,"Randomization/GRHL2",-2
0,0,0.261771892811033,0,"Randomization/GRHL2",-2
0.013,0.0616,0.232151226229585,1,"Randomization/GRHL2",-2
0.0129,0.06,0.22155791997824,1,"Randomization/GRHL2",-2
0.1924,0.2885,0.0590395490894604,2,"Randomization/GRHL2",-3
0,0,0.272489931045796,0,"Randomization/GRHL2",-2
0,0,0.316763063318304,0,"Randomization/GRHL2",-2
0.0267,0.0684,0.168727487872504,1,"Randomization/GRHL2",-2
0.0227,0.0637,0.17277834153579,1,"Randomization/GRHL2",-2
0.4354,0.5396,0,3,"Randomization/GRHL2",-Inf
0.0085,0.0536,0.258712435960024,1,"Randomization/GRHL2act",-2
0,0,0.192992827244476,0,"Randomization/GRHL2act",-2
0,0,0.194886810820828,0,"Randomization/GRHL2act",-2
0.0267,0.2082,0.250819453184045,1,"Randomization/GRHL2act",-2
0,0,0.203875654109482,0,"Randomization/GRHL2act",-2
0,0,0.22270248622828,0,"Randomization/GRHL2act",-2
0.0319,0.2343,0.198617111103532,1,"Randomization/GRHL2act",-2
0.0038,0.0212,0.226726580014264,1,"Randomization/GRHL2act",-2
0.0686,0.3551,0.178277769898805,2,"Randomization/GRHL2act",-2
0.0648,0.3657,0.177396467117637,2,"Randomization/GRHL2act",-2
0.0474,0.1133,0.130705582436887,1,"Randomization/GRHL2act",-3
0.0473,0.1096,0.264925265267206,1,"Randomization/GRHL2act",-2
0.1485,0.2464,0.0688561551892294,2,"Randomization/GRHL2act",-3
0.1393,0.244,0.0633409676959374,2,"Randomization/GRHL2act",-3
0.3,0.5183,0.0498474173347173,3,"Randomization/GRHL2act",-3
0.0166,0.0509,0.288634090572413,1,"Randomization/GRHL2act",-2
0,0,0.206333581333416,0,"Randomization/GRHL2act",-2
0,0,0.20019879275922,0,"Randomization/GRHL2act",-2
0.0382,0.2002,0.269792591038516,1,"Randomization/GRHL2act",-2
0,0,0.233080013673046,0,"Randomization/GRHL2act",-2
0,0,0.230756057653064,0,"Randomization/GRHL2act",-2
0.0399,0.2363,0.209858079794515,1,"Randomization/GRHL2act",-2
0.0076,0.0219,0.189102451570329,1,"Randomization/GRHL2act",-2
0.1181,0.3736,0.121955622800741,2,"Randomization/GRHL2act",-3
0.106,0.3719,0.122996002821816,2,"Randomization/GRHL2act",-3
0.4215,0.5322,0.319545324110615,3,"Randomization/GRHL2act",-2
0.2241,0.2932,0.032407640288225,2,"Randomization/GRHL2act",-4
0.2101,0.2899,0.0293599364628623,2,"Randomization/GRHL2act",-4
0.2151,0.4431,0.0798321624029102,3,"Randomization/GRHL2act",-3
0.222,0.2954,0.267224021330756,2,"Randomization/GRHL2act",-2
0.2096,0.286,0.264517793710677,2,"Randomization/GRHL2act",-2
0.2391,0.4415,0.225671171007269,3,"Randomization/GRHL2act",-2
0.4252,0.5203,0.0181481864967502,3,"Randomization/GRHL2act",-5
0.5002,0.6767,0.00202112308143326,4,"Randomization/GRHL2act",-7
0.49,0.6841,6.73278654293445e-05,4,"Randomization/GRHL2act",-10
0.1067,0.1645,0.271387191094595,2,"Randomization/GRHL2act",-2
0.1025,0.1656,0.259376914916552,2,"Randomization/GRHL2act",-2
0.2392,0.4898,0.384894742965156,3,"Randomization/GRHL2act",-1
0.0431,0.067,0.150220868724878,1,"Randomization/GRHL2act",-2
0.0825,0.2454,0.152942553248315,2,"Randomization/GRHL2act",-2
0.07,0.2351,0.148884831577562,2,"Randomization/GRHL2act",-2
0.0407,0.0648,0.221304885397431,1,"Randomization/GRHL2act",-2
0.0712,0.2602,0.189258518781715,2,"Randomization/GRHL2act",-2
0.067,0.2632,0.181046861649216,2,"Randomization/GRHL2act",-2
0.2544,0.4796,0.0492707430464438,3,"Randomization/GRHL2act",-4
0.1095,0.4609,0.429716294088719,3,"Randomization/GRHL2act",-1
0.0161,0.083,0.326924996551762,1,"Randomization/GRHL2act",-2
0.0127,0.0769,0.320631715758968,1,"Randomization/GRHL2act",-2
0.0381,0.1723,0.325210279429222,2,"Randomization/GRHL2act",-2
0.026,0.1583,0.316809568671201,2,"Randomization/GRHL2act",-2
0.0947,0.4694,0.356502965999246,3,"Randomization/GRHL2act",-2
0.0339,0.1264,0.247119696724631,1,"Randomization/GRHL2act",-2
0.0288,0.1119,0.298091898168349,1,"Randomization/GRHL2act",-2
0.05,0.202,0.234027616592616,2,"Randomization/GRHL2act",-2
0.0485,0.2077,0.225539689330372,2,"Randomization/GRHL2act",-2
0.138,0.5506,0.270636850738525,3,"Randomization/GRHL2act",-2
0.4888,0.6905,0,4,"Randomization/GRHL2act",-Inf
0.1377,0.2835,0.23033235039867,5,"Randomization/NRF2",-2
0.2588,0.3646,0.194531875625144,7,"Randomization/NRF2",-2
0.1568,0.3427,0.455318138810662,6,"Randomization/NRF2",-1
0.0748,0.2766,0.395076212065868,7,"Randomization/NRF2",-1
0.0631,0.2431,0.497097341806523,6,"Randomization/NRF2",-1
0.4684,0.677,0.175910430446011,7,"Randomization/NRF2",-2
0.1644,0.3268,0.419974746364465,6,"Randomization/NRF2",-1
0.0771,0.225,0.514719845192819,5,"Randomization/NRF2",-1
0.1644,0.3468,0.311747329290685,6,"Randomization/NRF2",-2
0.1718,0.3313,0.235412510789628,6,"Randomization/NRF2",-2
0.173,0.3495,0.305994886581382,6,"Randomization/NRF2",-2
0.0696,0.2198,0.356873136018424,5,"Randomization/NRF2",-2
0.1716,0.3545,0.259025810179516,6,"Randomization/NRF2",-2
0.1721,0.3308,0.100028195431306,5,"Randomization/NRF2",-3
0.2886,0.3885,0.292539928124152,7,"Randomization/NRF2",-2
0.1642,0.3842,0.447077376561542,6,"Randomization/NRF2",-1
0.0815,0.3215,0.415867333605996,7,"Randomization/NRF2",-1
0.0857,0.2997,0.432846029526551,6,"Randomization/NRF2",-1
0.4518,0.7069,0.145376143281459,7,"Randomization/NRF2",-2
0.1808,0.384,0.379493065861309,6,"Randomization/NRF2",-1
0.0962,0.2689,0.413730671882928,5,"Randomization/NRF2",-1
0.151,0.3707,0.298191682023389,6,"Randomization/NRF2",-2
0.1778,0.3681,0.182946450241937,6,"Randomization/NRF2",-2
0.1836,0.397,0.253017449343809,6,"Randomization/NRF2",-2
0.0885,0.2744,0.316884987590433,5,"Randomization/NRF2",-2
0.1773,0.3908,0.223009556983011,6,"Randomization/NRF2",-2
0.1478,0.2288,0.191458894329172,5,"Randomization/NRF2",-2
0.0884,0.1899,0.427639695805043,2,"Randomization/NRF2",-1
0.0311,0.1187,0.284558153895906,5,"Randomization/NRF2",-2
0.0287,0.1049,0.33577893297622,2,"Randomization/NRF2",-2
0.3267,0.4822,0.0551024178858306,5,"Randomization/NRF2",-3
0.2149,0.2944,0.339204979851266,6,"Randomization/NRF2",-2
0.0791,0.149,0.470425001217117,5,"Randomization/NRF2",-1
0.0895,0.1987,0.224587061327481,2,"Randomization/NRF2",-2
0.1214,0.2138,0.132815851428286,4,"Randomization/NRF2",-3
0.175,0.2634,0.199009842791432,6,"Randomization/NRF2",-2
0.0505,0.111,0.220329698557588,3,"Randomization/NRF2",-2
0.1055,0.2054,0.132392103879486,4,"Randomization/NRF2",-3
0.2798,0.3478,0.523885376004756,8,"Randomization/NRF2",-1
0.0522,0.1286,0.308317869111551,3,"Randomization/NRF2",-2
0.0557,0.1747,0.331213999408689,6,"Randomization/NRF2",-2
0.5671,0.6354,0.118990543223096,7,"Randomization/NRF2",-3
0.1278,0.229,0.404131268239374,4,"Randomization/NRF2",-1
0.0579,0.1311,0.477059699083682,3,"Randomization/NRF2",-1
0.2821,0.3468,0.280974768505279,8,"Randomization/NRF2",-2
0.1966,0.2794,0.193726073940458,6,"Randomization/NRF2",-2
0.1464,0.2471,0.224101457089907,4,"Randomization/NRF2",-2
0.0766,0.1408,0.273600093733296,5,"Randomization/NRF2",-2
0.2122,0.2887,0.17090431589695,6,"Randomization/NRF2",-2
0.0515,0.1504,0.380420246154546,6,"Randomization/NRF2",-1
0.0296,0.1238,0.485713140481379,3,"Randomization/NRF2",-1
0.4636,0.6331,0.373433214526327,6,"Randomization/NRF2",-1
0.146,0.2377,0.563437397273554,5,"Randomization/NRF2",-1
0.0446,0.1001,0.558287434041103,4,"Randomization/NRF2",-1
0.1476,0.2605,0.451136992095939,5,"Randomization/NRF2",-1
0.1488,0.2445,0.456966805987557,5,"Randomization/NRF2",-1
0.142,0.2405,0.44953307162156,5,"Randomization/NRF2",-1
0.0432,0.1017,0.477852027213609,4,"Randomization/NRF2",-1
0.1496,0.2707,0.434843433106824,5,"Randomization/NRF2",-1
0.0749,0.357,0.596164415792704,8,"Randomization/NRF2",-1
0.2295,0.4006,0.203968392516623,7,"Randomization/NRF2",-2
0.0335,0.113,0.437965924551878,4,"Randomization/NRF2",-1
0.0134,0.0542,0.456678554027337,3,"Randomization/NRF2",-1
0.0468,0.1493,0.371692803917518,6,"Randomization/NRF2",-1
0.0392,0.1189,0.314599909324091,4,"Randomization/NRF2",-2
0.0348,0.121,0.356002432524037,4,"Randomization/NRF2",-2
0.0163,0.0707,0.425323001963048,5,"Randomization/NRF2",-1
0.0447,0.1496,0.34271643210566,6,"Randomization/NRF2",-2
0.1026,0.4014,0.47809836857165,6,"Randomization/NRF2",-1
0.0396,0.1296,0.424759256568255,5,"Randomization/NRF2",-1
0.0191,0.0536,0.396496928843499,4,"Randomization/NRF2",-1
0.0308,0.1259,0.428144145751713,3,"Randomization/NRF2",-1
0.0286,0.1117,0.372732943361737,3,"Randomization/NRF2",-1
0.0303,0.1213,0.40148982263088,5,"Randomization/NRF2",-1
0.0165,0.0609,0.39211384161807,4,"Randomization/NRF2",-1
0.0361,0.1323,0.407201593481233,5,"Randomization/NRF2",-1
0.4804,0.5932,0.389812096798662,6,"Randomization/NRF2",-1
0.2291,0.3481,0.560448172534335,5,"Randomization/NRF2",-1
0.4436,0.6374,0.197047316395635,6,"Randomization/NRF2",-2
0.4664,0.6155,0.0894308659454416,6,"Randomization/NRF2",-3
0.4699,0.6151,0.159462810736479,6,"Randomization/NRF2",-2
0.2125,0.3612,0.140252265006897,5,"Randomization/NRF2",-2
0.462,0.635,0.0970821941645648,6,"Randomization/NRF2",-3
0.0562,0.1183,0.450886281966305,4,"Randomization/NRF2",-1
0.1448,0.2407,0.437630470946318,5,"Randomization/NRF2",-1
0.1522,0.2352,0.369194962363548,5,"Randomization/NRF2",-1
