"pos_cycle","GRHL2_S_data.csv","GRHL2act_S_data.csv","NRF2_S_data.csv","OCT4_S_data.csv","OVOL_S_data.csv","OVOLinh_S_data.csv"
2,0.247370787611931,NA,NA,NA,0.881994047619048,0.664583333333333
3,0.00517694090374669,0.354332534211376,NA,0.775664871585324,0.109420287649256,0.097237379014167
4,0.683333333333333,0.017196646731967,NA,0.00450969494912015,0.444444444444444,0.713095238095238
5,1,1,NA,0.239242683751317,0.333333333333333,0.333333333333333
6,NA,1,0.90373883620237,0.416666666666667,NA,NA
7,NA,NA,0.83800409458326,NA,NA,NA
8,NA,NA,0.00972960082461389,NA,NA,NA
9,NA,NA,0.323115566450156,NA,NA,NA
10,NA,NA,0.244551880859559,NA,NA,NA
11,NA,NA,0.35,NA,NA,NA
