"JSD_tag","GRHL2_S_data.csv","GRHL2act_S_data.csv","NRF2_S_data.csv","OCT4_S_data.csv","OVOL_S_data.csv","OVOLinh_S_data.csv"
-10,NA,NA,NA,NA,NA,NA
-9,NA,NA,NA,NA,NA,NA
-8,NA,NA,NA,NA,NA,NA
-7,NA,NA,NA,0.866025403784439,NA,1
-6,0.951189731211342,0.914207490548692,0.377964473009227,0.654653670707977,0.28347335475692,0.948683298050514
-5,0.755928946018454,0.815374248327211,0.5593619172112,0.766437235201265,0.735612357920625,0.772487279336428
-4,0.790569415042095,0.925820099772552,0.292194839450832,0.734812451301085,0.908295106229247,0.866025403784439
-3,0.866025403784439,0.894427190999916,0.766710159965828,0.866025403784439,0.948683298050514,NA
-2,NA,NA,0.811679449913428,0.52704627669473,NA,0.866025403784439
-1,NA,NA,-0.774596669241483,NA,NA,NA
