name,Total Positive cycles,Total Negative cycles,Frustration Boolean
7.60E+29,2898,2898,0.331392083
2.82E+29,2806,2990,0.356592802
1.67E+30,2850,2946,0.337000367
7.50E+29,2901,2895,0.310189645
1.70E+30,2923,2873,0.327052533
1.25E+29,2905,2891,0.337278107
8.41E+29,2814,2982,0.386138614
6.67E+29,2888,2908,0.312237665
1.81E+30,2899,2897,0.316669928
5.23E+28,2953,2843,0.349425563
2.46E+30,2922,2874,0.273455773
3.19E+29,2899,2897,0.311924068
1.00E+30,2907,2889,0.342376804
1.62E+30,2853,2943,0.310641679
3.85E+28,2945,2851,0.349197029
4.86E+29,2899,2897,0.302595266
2.35E+30,2905,2891,0.348057506
6.44E+28,2899,2897,0.288179819
2.90E+29,2920,2876,0.338663479
2.02E+30,2898,2898,0.282036775
1.36E+30,2826,2970,0.316780436
6.98E+29,2906,2890,0.33326814
1.76E+30,2907,2889,0.321095653
2.80E+29,2905,2891,0.297366453
3.97E+29,2930,2866,0.302952092
1.14E+29,2919,2877,0.363526108
7.34E+29,2898,2898,0.30800998
3.41E+29,2941,2855,0.327491466
1.52E+30,2911,2885,0.328488748
7.68E+29,2860,2936,0.31623881
1.05E+29,2947,2849,0.317897007
1.21E+30,2866,2930,0.328602344
7.70E+29,2905,2891,0.311729595
1.95E+30,2877,2919,0.312203634
1.71E+30,2886,2910,0.318116195
1.30E+30,2920,2876,0.328911852
9.51E+29,2880,2916,0.329199929
1.37E+30,2984,2812,0.304733622
2.08E+30,2867,2929,0.32598631
2.26E+30,2899,2897,0.373701555
1.40E+27,2855,2941,0.373824479
1.69E+30,2897,2899,0.350182026
1.41E+29,2833,2963,0.3270813
1.35E+30,2932,2864,0.284876812
4.39E+29,3075,2721,0.337048866
9.55E+29,2948,2848,0.304227657
8.09E+29,2882,2914,0.302247404
4.21E+29,2877,2919,0.325192223
2.01E+30,2902,2894,0.334234577
1.75E+30,2867,2929,0.344771536
1.12E+30,2986,2810,0.294393098
6.82E+29,2909,2887,0.355017829
1.61E+30,2886,2910,0.342026614
6.52E+29,2840,2956,0.302796638
1.99E+30,2897,2899,0.327098959
9.99E+28,2906,2890,0.28943063
1.94E+30,2894,2902,0.319307503
1.25E+29,2918,2878,0.331427231
8.34E+29,2957,2839,0.320490939
1.27E+30,2924,2872,0.31609257
6.15E+29,2858,2938,0.322528816
5.29E+28,2902,2894,0.343463299
2.14E+30,2890,2906,0.321609143
1.44E+30,2916,2880,0.377871768
5.21E+29,2940,2856,0.308521769
2.13E+30,2907,2889,0.317788821
9.59E+29,2916,2880,0.314260521
1.37E+30,2905,2891,0.329828832
7.83E+29,2887,2909,0.324755235
1.29E+30,2791,3005,0.329791413
7.90E+28,2910,2886,0.31903602
7.16E+29,2900,2896,0.346534653
1.91E+30,2901,2895,0.350056185
6.56E+29,2861,2935,0.314866387
6.90E+29,2889,2907,0.337505103
2.14E+30,2874,2922,0.306203134
1.24E+29,2911,2885,0.325791069
1.29E+29,2907,2889,0.332411441
1.93E+30,2901,2895,0.303978523
6.14E+29,2894,2902,0.338171144
1.23E+30,2989,2807,0.31782902
2.48E+29,2903,2893,0.330316334
1.71E+30,2911,2885,0.325556761
2.09E+30,3015,2781,0.285491084
1.36E+30,2848,2948,0.336051337
1.95E+30,2907,2889,0.328842911
1.91E+30,2887,2909,0.322800365
1.01E+30,2900,2896,0.342604052
5.85E+29,2912,2884,0.35389427
1.35E+30,2888,2908,0.323260621
2.06E+30,2906,2890,0.343670836
9.61E+29,2875,2921,0.330628598
2.34E+30,2898,2898,0.318813891
2.22E+30,2921,2875,0.370360907
1.75E+30,2880,2916,0.292905314
1.63E+30,2860,2936,0.351175743
1.09E+30,2920,2876,0.307218861
6.19E+28,2898,2898,0.338822094
2.00E+30,2889,2907,0.350650407
1.92E+30,2874,2922,0.331602043
1.93E+30,2926,2870,0.359443424
2.07E+30,2871,2925,0.307374968
1.00E+30,2899,2897,0.353762691
1.96E+30,2882,2914,0.299620792
4.06E+29,2886,2910,0.308031722
1.17E+30,2904,2892,0.329502495
6.35E+29,2941,2855,0.282454655
2.48E+30,2892,2904,0.300062766
6.82E+29,2899,2897,0.350221257
1.08E+30,2903,2893,0.357350118
8.66E+29,2893,2903,0.346263221
2.15E+30,2862,2934,0.369570425
1.51E+30,2863,2933,0.312725889
2.25E+29,2841,2955,0.362383747
1.74E+30,2944,2852,0.295774771
2.43E+30,2910,2886,0.336744354
1.14E+30,2891,2905,0.317235354
8.15E+29,2878,2918,0.338707953
1.42E+29,2875,2921,0.334154804
1.10E+29,2876,2920,0.321732538
2.41E+29,2881,2915,0.325636594
2.20E+30,2904,2892,0.345372604
1.59E+29,2897,2899,0.327351782
1.04E+30,2918,2878,0.329592011
9.67E+28,2905,2891,0.344041541
8.72E+29,2889,2907,0.308417423
1.94E+30,2933,2863,0.300050064
8.15E+29,2903,2893,0.333034639
1.22E+30,2899,2897,0.318552499
1.29E+30,2902,2894,0.318071167
1.92E+30,2807,2989,0.306869538
1.19E+30,2873,2923,0.338064881
5.57E+29,2879,2917,0.329642614
2.18E+30,2880,2916,0.319137432
1.29E+30,2988,2808,0.313276406
4.05E+29,2896,2900,0.339545802
2.48E+30,2901,2895,0.312441466
1.87E+30,2914,2882,0.325578765
5.26E+29,2898,2898,0.33569501
2.12E+30,2743,3053,0.302694319
1.17E+30,2965,2831,0.319552372
2.09E+30,2924,2872,0.388358891
1.01E+30,2879,2917,0.30575299
1.02E+30,2913,2883,0.35020399
1.43E+30,2964,2832,0.313506386
1.87E+29,2892,2904,0.317658708
1.67E+30,2922,2874,0.323046903
1.95E+30,2894,2902,0.287685592
1.44E+30,2896,2900,0.302558519
8.43E+29,2885,2911,0.320036245
9.93E+29,2846,2950,0.34596509
1.54E+30,2889,2907,0.343132073
1.83E+29,2874,2922,0.323933631
8.24E+29,2875,2921,0.325555953
1.78E+30,2895,2901,0.355637837
1.34E+30,2931,2865,0.292604026
2.27E+30,2903,2893,0.358181194
1.91E+30,2921,2875,0.323246099
1.65E+30,2953,2843,0.327839007
8.80E+29,2953,2843,0.298842545
8.61E+29,2891,2905,0.315829411
