name,pos_cycle,plast,plast_2,JSD
12287,5,0.1377,0.2835,0.23033235039867
14335,7,0.2588,0.3646,0.194531875625144
15359,6,0.1568,0.3427,0.455318138810662
15871,7,0.0748,0.2766,0.395076212065868
16127,6,0.0631,0.2431,0.497097341806523
16255,7,0.4684,0.677,0.175910430446011
16319,6,0.1644,0.3268,0.419974746364465
16351,5,0.0771,0.225,0.514719845192819
16367,6,0.1644,0.3468,0.311747329290685
16375,6,0.1718,0.3313,0.235412510789628
16379,6,0.173,0.3495,0.305994886581382
16381,5,0.0696,0.2198,0.356873136018424
16382,6,0.1716,0.3545,0.259025810179516
20479,5,0.1721,0.3308,0.100028195431306
22527,7,0.2886,0.3885,0.292539928124152
23551,6,0.1642,0.3842,0.447077376561542
24063,7,0.0815,0.3215,0.415867333605996
24319,6,0.0857,0.2997,0.432846029526551
24447,7,0.4518,0.7069,0.145376143281459
24511,6,0.1808,0.384,0.379493065861309
24543,5,0.0962,0.2689,0.413730671882928
24559,6,0.151,0.3707,0.298191682023389
24567,6,0.1778,0.3681,0.182946450241937
24571,6,0.1836,0.397,0.253017449343809
24573,5,0.0885,0.2744,0.316884987590433
24574,6,0.1773,0.3908,0.223009556983011
26623,5,0.1478,0.2288,0.191458894329172
27647,2,0.0884,0.1899,0.427639695805043
28159,5,0.0311,0.1187,0.284558153895906
28415,2,0.0287,0.1049,0.33577893297622
28543,5,0.3267,0.4822,0.0551024178858306
28607,6,0.2149,0.2944,0.339204979851266
28639,5,0.0791,0.149,0.470425001217117
28655,2,0.0895,0.1987,0.224587061327481
28663,4,0.1214,0.2138,0.132815851428286
28667,6,0.175,0.2634,0.199009842791432
28669,3,0.0505,0.111,0.220329698557588
28670,4,0.1055,0.2054,0.132392103879486
29695,8,0.2798,0.3478,0.523885376004756
30207,3,0.0522,0.1286,0.308317869111551
30463,6,0.0557,0.1747,0.331213999408689
30591,7,0.5671,0.6354,0.118990543223096
30655,4,0.1278,0.229,0.404131268239374
30687,3,0.0579,0.1311,0.477059699083682
30703,8,0.2821,0.3468,0.280974768505279
30711,6,0.1966,0.2794,0.193726073940458
30715,4,0.1464,0.2471,0.224101457089907
30717,5,0.0766,0.1408,0.273600093733296
30718,6,0.2122,0.2887,0.17090431589695
31231,6,0.0515,0.1504,0.380420246154546
31487,3,0.0296,0.1238,0.485713140481379
31615,6,0.4636,0.6331,0.373433214526327
31679,5,0.146,0.2377,0.563437397273554
31711,4,0.0446,0.1001,0.558287434041103
31727,5,0.1476,0.2605,0.451136992095939
31735,5,0.1488,0.2445,0.456966805987557
31739,5,0.142,0.2405,0.44953307162156
31741,4,0.0432,0.1017,0.477852027213609
31742,5,0.1496,0.2707,0.434843433106824
31999,8,0.0749,0.357,0.596164415792704
32127,7,0.2295,0.4006,0.203968392516623
32191,4,0.0335,0.113,0.437965924551878
32223,3,0.0134,0.0542,0.456678554027337
32239,6,0.0468,0.1493,0.371692803917518
32247,4,0.0392,0.1189,0.314599909324091
32251,4,0.0348,0.121,0.356002432524037
32253,5,0.0163,0.0707,0.425323001963048
32254,6,0.0447,0.1496,0.34271643210566
32383,6,0.1026,0.4014,0.47809836857165
32447,5,0.0396,0.1296,0.424759256568255
32479,4,0.0191,0.0536,0.396496928843499
32495,3,0.0308,0.1259,0.428144145751713
32503,3,0.0286,0.1117,0.372732943361737
32507,5,0.0303,0.1213,0.40148982263088
32509,4,0.0165,0.0609,0.39211384161807
