name,pos_cycle,plast,plast_2,JSD
127,3,0.0368,0.1741,0.24104342435833
191,2,0.0566,0.2307,0.164364799225554
223,1,0.003,0.0095,0.10746251704889
239,0,0.0009,0.004,0.0995144250063345
247,2,0.088,0.3403,0.183186327394645
251,2,0.0269,0.0631,0.0590370927962325
253,1,0.0067,0.0259,0.0854717276954173
254,1,0.0052,0.0219,0.0909290029512421
319,3,0.1319,0.2604,0.0538621139123434
351,0,0.0008,0.0054,0.124461630055965
367,1,0.0015,0.0115,0.106698654175566
375,3,0.1167,0.4399,0.129807036977013
379,1,0.0104,0.0295,0.0730388629585181
381,2,0.0122,0.0458,0.0869378493993879
382,2,0.0106,0.0473,0.0802650541362434
415,3,0.2811,0.3652,0.182840033931552
431,2,0.1448,0.2615,0.012333365229253
439,4,0.3212,0.6364,0.042210769126903
443,4,0.4578,0.5304,0.0179579533880824
445,3,0.2417,0.3864,0.000446696586859074
463,3,0.1557,0.2225,0.172895856983872
471,3,0.1078,0.3203,0.149909838510462
475,1,0.0241,0.0593,0.0906450841921517
477,2,0.0516,0.0878,0.114123858272151
478,2,0.0482,0.0855,0.119750532852492
487,2,0.104,0.2395,0.136942359738005
491,2,0.0539,0.0949,0.0562702801868945
493,1,0.0208,0.0437,0.0486995325974112
494,1,0.0227,0.0453,0.048920465857765
499,4,0.4173,0.5488,0.0443540183946402
501,3,0.1165,0.3943,0.0421003531151729
502,3,0.1135,0.3921,0.0389498756317498
505,3,0.1211,0.1683,0.0222748276114012
506,3,0.1247,0.1734,0.0210814141258525
508,2,0.0494,0.1016,0.0489872780827992
WT,3,0.2386,0.3867,0
