"pos_cycle","GRHL2","GRHL2act","NRF2","OCT4","OVOL","OVOLinh","TGFb"
0,NA,NA,NA,0,NA,NA,NA
1,0.0952380952380952,-0.0617647058823529,NA,-0.44438170525127,-0.428571428571429,-0.738095238095238,NA
2,0.0714285714285714,-0.538345864661654,-0.0901098901098901,-0.00404878789930939,-0.616666666666667,0.209090909090909,NA
3,-0.5,-0.139393939393939,0.253869216433028,-0.281412991939308,-0.633333333333333,-0.125874125874126,NA
4,NA,-1,-0.233769051899232,-0.205366357069143,NA,0.5,-0.17978786520339
5,NA,NA,-0.114449372403462,NA,NA,NA,0.0276963268092592
6,NA,NA,-0.274118038112641,NA,NA,NA,0.0570690744391158
7,NA,NA,-0.195285726931297,NA,NA,NA,0.0496964807524865
8,NA,NA,-0.357753357753358,NA,NA,NA,-0.103901062727438
9,NA,NA,-0.36969696969697,NA,NA,NA,0.120301542549147
10,NA,NA,NA,NA,NA,NA,-0.504350486718693
11,NA,NA,NA,NA,NA,NA,0.657142857142857
12,NA,NA,NA,NA,NA,NA,NA
13,NA,NA,NA,NA,NA,NA,NA
