name,pos_cycle,Total Negative cycles,Frustration Boolean,plast_2,JSD,no signal FrusB,Frustration RACIPE,no signal FrusR
10051749,4,9,0.25,0.2504,0.957491096,0.275862069,0.532997738,0.538909421
568341001,7,6,0.17783125,0.6232,0.980861569,0.163127586,0.525480889,0.510611154
1343931432,11,2,0.15445625,0.6647,0.784523967,0.14307931,0.475616394,0.456418619
622970886,8,5,0.204,0.4815,0.932080355,0.19917931,0.511080311,0.50850738
1082805345,6,7,0.268736309,0.3332,0.902628547,0.275862069,0.504066544,0.515086857
1115954322,6,7,0.269353364,0.2347,0.97400625,0.275862069,0.52396691,0.530975134
1431699496,8,5,0.199759375,0.5421,0.978734407,0.200493103,0.46557487,0.473193437
190850090,6,7,0.2285,0.4408,0.958951075,0.239382759,0.499280098,0.49426253
77431301,8,5,0.19901875,0.5089,0.974538943,0.199658621,0.506746865,0.505500489
413990996,6,7,0.273541881,0.2757,0.924453506,0.275862069,0.521758971,0.524521698
33590202,9,4,0.200071875,0.7243,0.99048088,0.180772414,0.477881441,0.472561598
336694369,8,5,0.20820246,0.6012,0.856540896,0.206896552,0.515416111,0.501282604
2205435008,9,4,0.183946875,0.4435,0.97249424,0.162241379,0.480964622,0.479775698
508364801,6,7,0.284388746,0.3358,0.942991053,0.289323996,0.534656679,0.529657092
513957952,4,9,0.21875,0.226,0.947501615,0.24137931,0.504795613,0.512675642
1619592726,7,6,0.216042904,0.7069,0.948210812,0.213944226,0.555460589,0.543622574
302013765,7,6,0.248740625,0.3136,0.91412759,0.256572414,0.526698053,0.534130954
302175396,6,7,0.261694253,0.2225,0.945023737,0.275862069,0.512485347,0.516485326
37094453,7,6,0.23516875,0.4608,0.918514083,0.231624138,0.49940122,0.511463747
427925574,7,6,0.18425,0.4463,0.857613285,0.18032069,0.547966084,0.53968507
2628782145,6,7,0.27453125,0.3539,0.946240003,0.284227586,0.519569504,0.513078326
1233129944,5,8,0.2519375,0.4179,0.947235588,0.254989655,0.503728509,0.506775011
8764944,6,7,0.268579264,0.3783,0.974141522,0.275862069,0.512736694,0.503216323
881086576,6,7,0.239265625,0.3743,0.964991054,0.232231034,0.522888233,0.522349342
721622276,8,5,0.22016875,0.3494,0.793622079,0.226372414,0.519437569,0.532841149
155756689,6,7,0.251797055,0.2166,0.974117485,0.260753662,0.526689141,0.535457615
156440128,7,6,0.230375,0.3056,0.945836093,0.220903448,0.50397475,0.508628266
1069563936,5,8,0.302330552,0.3016,0.964177841,0.310344828,0.522450367,0.514517605
587282768,7,6,0.226450838,0.4356,0.858528379,0.24137931,0.520255265,0.524853684
587467309,8,5,0.2137625,0.5194,0.980759034,0.21852069,0.492442545,0.488252282
1150432336,5,8,0.289232137,0.3002,0.959053433,0.310344828,0.512218216,0.512926351
138093664,6,7,0.276814578,0.2114,0.758565183,0.276725553,0.514956591,0.518035718
545441232,7,6,0.242511714,0.4558,0.958694059,0.24137931,0.541618044,0.528992471
68815761,6,7,0.24783426,0.3572,0.977069335,0.242112027,0.482616724,0.490893966
688262158,13,0,0.118853125,0.8498,0.947148124,0.091537931,0.437810156,0.448602241
940900997,6,7,0.245580025,0.3189,0.942086975,0.24137931,0.516897421,0.51771593
1086598217,6,7,0.2309875,0.4779,0.968466397,0.229258621,0.498514307,0.493260066
1086866104,7,6,0.254768702,0.5187,0.977122275,0.251013024,0.485591386,0.490793295
604332090,9,4,0.205371875,0.6486,0.971577403,0.191817241,0.469921992,0.47857358
605690401,5,8,0.23947055,0.2813,0.967010855,0.234703783,0.531579947,0.521841059
830478425,7,6,0.251925,0.4472,0.909821486,0.249258621,0.491601145,0.493285936
1485440098,6,7,0.278568229,0.3419,0.818062116,0.284512025,0.536192347,0.52759305
751045144,7,6,0.2346,0.4361,0.95906144,0.235689655,0.454804384,0.451229462
7510596,7,6,0.24428125,0.3585,0.966395293,0.248172414,0.487608656,0.491799019
1283719864,8,5,0.2320875,0.5731,0.968699274,0.227755172,0.459755279,0.454059397
119211648,7,6,0.256475,0.3714,0.964637303,0.249534483,0.512321209,0.502889273
1141245896,9,4,0.182496875,0.7387,0.987826546,0.179534483,0.488778403,0.484514672
1611208205,11,2,0.12774375,0.792,0.949691543,0.107875862,0.483128968,0.462271338
1611738150,9,4,0.181562617,0.6154,0.813414151,0.179711936,0.524083253,0.519728737
672088464,8,5,0.133123277,0.6786,0.970499565,0.14689465,0.505940781,0.507496553
21041625,5,8,0.252934375,0.3883,0.950140638,0.246889655,0.477463377,0.477618191
271068836,5,8,0.305644133,0.1575,0.985291746,0.310344828,0.519846245,0.518446905
174328327,8,5,0.230490625,0.5096,0.97145328,0.221075862,0.516204887,0.531143398
141628001,6,7,0.228043432,0.4827,0.928179238,0.22966373,0.507406155,0.521231701
1419804702,8,5,0.2183625,0.5657,0.950733568,0.214031034,0.483117096,0.468759039
1077150841,8,5,0.21194375,0.6026,0.950685693,0.205658621,0.461625244,0.455672124
1099358213,6,7,0.212890625,0.4111,0.969012845,0.224686207,0.512159438,0.510068377
1101042435,7,6,0.230378125,0.3107,0.964601788,0.221589655,0.504088671,0.508206706
809580720,8,5,0.235240625,0.4092,0.969438148,0.24137931,0.515821734,0.516915218
