name,Total Positive cycles,RACIPE JSD1 from WT,RACIPE JSD2 from WT,Boolean JSD from WT,Plasticity1,Plasticity2
miR-101-KLF8-2-1,3111,0.627794274,0.627794274,1,0.9436,0.9436
miR-101-SNAI1-2-0,2786,0.988577515,0.988577515,0.011490959,0.9221,0.9221
miR-101-SNAI1-2-1,2786,0.085985544,0.085985544,0.012112747,0.8882,0.8882
miR-101-ZEB1-2-0,2720,0.072633242,0.072633242,0.015909652,0.9434,0.9434
miR-101-ZEB1-2-1,2720,0.092958793,0.092958793,0.0137166,0.9331,0.9331
miR-101-ZEB2-2-0,2590,0.943475851,0.943475851,0.008541029,0.944,0.944
miR-101-ZEB2-2-1,2590,0.074437706,0.074437706,0.009440629,0.9351,0.9351
miR-141-TGF-beta-2-0,2804,0.967471702,0.967471702,0.000370223,0.9438,0.9438
miR-141-TGF-beta-2-1,2804,0.090151309,0.090151309,0.001119271,0.8916,0.8915
miR-141-ZEB1-2-0,3110,0.05847775,0.05847775,0.000302765,0.94,0.94
miR-141-ZEB1-2-1,3110,0.058368394,0.058368394,0.019369552,0.9334,0.9334
miR-141-ZEB2-2-0,2814,0.062038909,0.062038909,0.006696498,0.9445,0.9445
miR-141-ZEB2-2-1,2814,0.089372575,0.089372575,0.009798714,0.9403,0.9403
miR-200a-TGF-beta-2-0,2240,0.07296256,0.07296256,0.003196017,0.9415,0.9415
miR-200a-ZEB1-2-0,2830,0.060901572,0.060901572,0.003094803,0.9371,0.9371
miR-200a-ZEB1-2-1,2830,0.065078997,0.065078997,0.023264616,0.9326,0.9326
miR-200a-ZEB2-2-0,2917,0.069070683,0.069070683,0.000399433,0.9391,0.9391
miR-200a-ZEB2-2-1,2917,0.087544538,0.087544538,0.007072495,0.9373,0.9373
miR-200b-TGF-beta-2-0,2258,0.068861167,0.068861167,0.000269675,0.9345,0.9345
miR-200b-TGF-beta-2-1,2258,0.119794896,0.119794896,0.000753248,0.8534,0.8534
miR-200b-ZEB1-2-0,2743,0.061834852,0.061834852,0.010337622,0.9423,0.9423
miR-200b-ZEB1-2-1,2743,0.075957848,0.075957848,0.025696871,0.9256,0.9256
miR-200b-ZEB2-2-0,2714,0.069295629,0.069295629,0.00663216,0.9427,0.9428
miR-200b-ZEB2-2-1,2714,0.082116732,0.082116732,0.007119941,0.9333,0.9333
miR-200c-TGF-beta-2-0,2240,0.076197811,0.076197811,0.0030825,0.9388,0.9389
miR-200c-TGF-beta-2-1,2240,0.106464098,0.106464098,0.004068491,0.8658,0.866
miR-200c-ZEB1-2-0,2830,0.059738358,0.059738358,0.00323896,0.9416,0.9416
miR-200c-ZEB2-2-0,2917,0.070187187,0.070187187,0.000360797,0.9399,0.94
miR-200c-ZEB2-2-1,2917,0.076263073,0.076263073,0.008138079,0.9382,0.9383
miR-205-ZEB1-2-0,3111,0.074413913,0.074413913,0.003082378,0.9438,0.9438
miR-205-ZEB1-2-1,3111,0.05977435,0.05977435,0.005336926,0.9438,0.9438
miR-205-ZEB2-2-0,3111,0.061014447,0.061014447,0.002107049,0.9423,0.9423
miR-205-ZEB2-2-1,3111,0.060851513,0.060851513,0.004398462,0.9442,0.9442
miR-30c-SNAI1-2-0,3111,0.061074988,0.061074988,0.008239494,0.9518,0.9518
miR-30c-SNAI1-2-1,3111,0.062040168,0.062040168,0.001309279,0.9438,0.9438
miR-30c-SNAI2-2-0,3111,0.968787757,0.968787757,0.001517691,0.9438,0.9438
miR-30c-SNAI2-2-1,3111,0.075599339,0.075599339,0.001508696,0.9476,0.9476
miR-30c-ZEB2-2-0,3111,0.06684174,0.06684174,0.002605906,0.945,0.945
miR-30c-ZEB2-2-1,3111,0.061120466,0.061120466,0.002150883,0.942,0.942
miR-34a-SNAI1-2-0,2927,0.06433802,0.06433802,0.006683447,0.9294,0.9294
miR-34a-SNAI1-2-1,2927,0.083156366,0.083156366,0.016031729,0.8777,0.8777
miR-34a-SNAI2-2-1,2543,0.09473108,0.09473108,0.026841767,0.8695,0.8695
miR-34a-TWIST2-2-0,2129,0.492450845,0.492450845,0.001622174,0.9062,0.9062
miR-34a-TWIST2-2-1,2129,0.234494979,0.234494979,0.195485011,0.7406,0.7407
miR-34a-ZEB1-2-0,3006,0.061050405,0.061050405,0.010328934,0.9411,0.9411
miR-34a-ZEB1-2-1,3006,0.065308694,0.065308694,0.014455304,0.932,0.932
miR-9-CDH1-2-0,3111,0.062767871,0.062767871,0.000337793,0.9448,0.9449
miR-9-CDH1-2-1,3111,0.060443878,0.060443878,0.000723446,0.9435,0.9435
miR-9-ZEB2-2-0,3111,0.066645404,0.066645404,0.001184847,0.9456,0.9456
miR-9-ZEB2-2-1,3111,0.074434822,0.074434822,0.000690505,0.9378,0.9378
SNAI1-CDH1-2-0,3111,0.063716154,0.063716154,0.000417727,0.9429,0.9429
SNAI1-CDH1-2-1,3111,0.063970624,0.063970624,0.000329408,0.9405,0.9405
SNAI1-FOXC2-1-0,2912,0.071447637,0.071447637,0.02123429,0.9484,0.9484
SNAI1-FOXC2-1-2,2912,0.12680816,0.12680816,0.063652287,0.9399,0.9399
SNAI1-miR-101-2-0,2800,0.100985272,0.100985272,0.00063553,0.9443,0.9443
miR-101-KLF8-2-0,3111,0.2202968,0.2202968,0.306965414,0.9481,0.9481
miR-200a-TGF-beta-2-1,2240,0.11569717,0.11569717,0.004976816,0.8664,0.8665
miR-200c-ZEB1-2-1,2830,0.064697903,0.064697903,0.022568328,0.9272,0.9272
miR-34a-SNAI2-2-0,2543,0.066587515,0.066587515,0.026321463,0.9285,0.9287
SNAI1-miR-101-2-1,2800,0.42351053,0.42351053,0.262082093,0.9377,0.9377
SNAI2-CDH1-2-0,3111,0.063226371,0.063226371,0.000422124,0.9468,0.9468
TGF-beta-GSC-1-2,1404,0.171658914,0.171658914,1,0.6918,0.6919
TWIST1-VIM-1-0,3111,0.064836173,0.064836173,0.01891197,0.9431,0.9431
TWIST2-ZEB1-1-2,2897,0.082144854,0.082144854,0.015724314,0.939,0.939
ZEB1-miR-34a-2-1,2086,0.38513311,0.38513311,0.171055881,0.7979,0.7984
SNAI1-miR-34a-2-0,2297,0.083092494,0.083092494,0.018801963,0.9406,0.9406
SNAI1-miR-34a-2-1,2297,0.341109528,0.341109528,0.201645953,0.9151,0.9152
SNAI1-SNAI1-2-0,3111,0.070783296,0.070783296,0.000496511,0.9533,0.9533
SNAI1-SNAI1-2-1,3112,0.069661849,0.069661849,0.004952553,0.96,0.9601
SNAI1-SNAI2-1-0,2697,0.065804022,0.065804022,0.030140936,0.934,0.934
SNAI1-SNAI2-1-2,2697,0.091457084,0.091457084,0.035424617,0.9046,0.9046
SNAI1-TWIST1-1-0,2612,0.073112913,0.073112913,0.019676629,0.9315,0.9316
SNAI1-TWIST1-1-2,2612,0.092270804,0.092270804,0.065500544,0.9191,0.9191
SNAI1-VIM-1-0,3111,0.076956214,0.076956214,0.021567333,0.9438,0.9438
SNAI1-VIM-1-2,3111,0.077590594,0.077590594,0.044477219,0.9406,0.9406
SNAI1-ZEB1-1-0,2912,0.073627695,0.073627695,0.015529391,0.9421,0.9423
SNAI1-ZEB1-1-2,2912,0.079431138,0.079431138,0.018203623,0.9372,0.9372
SNAI1-ZEB2-1-0,2860,0.073485537,0.073485537,0.007942717,0.947,0.947
SNAI1-ZEB2-1-2,2860,0.077467753,0.077467753,0.010943743,0.9419,0.9419
SNAI2-CDH1-2-1,3111,0.07551892,0.07551892,0.0004379,0.9427,0.9427
SNAI2-miR-101-2-0,2185,0.125892761,0.125892761,0.000492126,0.9271,0.9272
SNAI2-miR-101-2-1,2185,0.445162562,0.445162562,0.204798468,0.9053,0.9055
SNAI2-miR-200b-2-0,2601,0.068333183,0.068333183,0.017555575,0.943,0.943
SNAI2-miR-200b-2-1,2601,0.141126802,0.141126802,0.030111191,0.9347,0.9347
SNAI2-SNAI2-1-0,3110,0.066957556,0.066957556,0.000454783,0.9356,0.9356
SNAI2-SNAI2-1-2,3110,0.073860585,0.073860585,0.00049732,0.9307,0.9307
SNAI2-TWIST2-1-0,2185,0.083723455,0.083723455,0.00822539,0.9241,0.9241
SNAI2-TWIST2-1-2,2185,0.306358649,0.306358649,0.175625461,0.8443,0.8448
SNAI2-VIM-1-0,3111,0.077848272,0.077848272,0.020994117,0.9464,0.9464
