Boolean,JSD,heatmap,data
 ,ZEB-ZEB_1-2,ZEB-miR145_2-0,ZEB-miR200_2-0,SNAIL-ZEB_1-2,miR145-ZEB_2-0,Oct4-miR145_2-1,WT,ZEB-miR200_2-1,miR145-Oct4_2-0,miR145-ZEB_2-1,miR200-ZEB_2-1,Oct4-miR200_1-2,ZEB-ZEB_1-0,ZEB-miR145_2-1,Oct4-miR145_2-0,Oct4-miR200_1-0,miR200-ZEB_2-0,SNAIL-miR200_2-0,miR145-Oct4_2-1,SNAIL-miR200_2-1,SNAIL-ZEB_1-0
ZEB-ZEB_1-2,0.0,0.1327948210647376,0.25833856892110496,0.21672868852439947,0.010830852516086602,0.4489210411362003,0.17014627717989594,0.7145369129642524,0.31325833578587264,0.031600242742650525,0.2016797721610833,0.07269746075704747,0.00028076830286931365,0.12391175711757418,0.4603793138920739,0.0881389476456164,0.19214394286299485,0.13538049587141038,1.0,0.20991807762800702,0.20967387473491178
ZEB-miR145_2-0,0.1327948210647376,0.0,0.03963644447749992,0.019007640718050216,0.1255188043393673,0.27373836398306606,0.01363832406856194,0.32507436541332557,0.17777015851341915,0.13199846763405176,0.05967784874771269,0.23778064001800137,0.1340256630168024,0.005115447257231263,0.274068950612241,0.0504524059855969,0.06008164273279699,0.015222181719870144,1.0,0.018036291437582896,0.029052067964555766
ZEB-miR200_2-0,0.2583385689211049,0.03963644447749992,0.0,0.004115633850524688,0.2670111981408614,0.1676398258142967,0.013263803893467244,0.19878021087714898,0.17576070368665275,0.28277849241466047,0.031367173295730924,0.31026802060954395,0.2584662340295293,0.06727904318217444,0.16267910897091037,0.090174575899275,0.03627428750820719,0.030117335253050825,1.0,0.004589101976568076,0.005420390698366371
SNAIL-ZEB_1-2,0.21672868852439947,0.019007640718050223,0.004115633850524689,0.0,0.21856937461647524,0.199479310146985,0.0061014443673475405,0.2257059270720866,0.17074083606876334,0.23042931138619133,0.03526358501161119,0.28974212085711715,0.21716709484904212,0.03927365414924676,0.19599648208873094,0.07430556727683618,0.03914387780117451,0.019211034865487378,1.0,0.00021662681771510736,0.005502829779347912
miR145-ZEB_2-0,0.010830852516086599,0.12551880433936732,0.2670111981408614,0.21856937461647524,0.0,0.5202769346444449,0.18192153068145023,0.6883107999188185,0.32619251435514107,0.005636800228100989,0.23994513688985192,0.13599919855784715,0.01234190999140648,0.10469658396213621,0.5298371080451177,0.12259050944099903,0.23192682915531113,0.15320209134065566,1.0,0.21365470812185955,0.2264115319183606
Oct4-miR145_2-1,0.4489210411362003,0.27373836398306606,0.1676398258142967,0.199479310146985,0.5202769346444449,0.0,0.18269081346309066,0.4319917932174196,0.31442098656840856,0.5790523539541208,0.10187981235033469,0.31441361036216764,0.4440015585346274,0.33927377089893,0.0005163548227295721,0.1946044994583464,0.10402765386368285,0.18375629645988223,1.0,0.1940245917984223,0.1516967413005888
WT,0.170146277179896,0.013638324068561934,0.013263803893467242,0.006101444367347539,0.18192153068145023,0.18269081346309068,0.0,0.2901119248591615,0.16383696585888002,0.20117588997594932,0.01916600921308207,0.22327357518757548,0.17011104597927093,0.03475814226932258,0.18218555755156793,0.0390159787157267,0.020462209185906667,0.003911921923852389,1.0,0.0044824633769955866,0.003685138940868291
ZEB-miR200_2-1,0.7145369129642524,0.3250743654133256,0.19878021087714898,0.2257059270720866,0.6883107999188185,0.43199179321741965,0.2901119248591615,0.0,0.4255461801262309,0.6726757908648882,0.33674360671845915,0.8144178893579087,0.7165891600782585,0.35080738101673725,0.4129926535827362,0.48925295624325726,0.352712502851925,0.34907933741946207,1.0,0.2349831065149089,0.257895173425183
miR145-Oct4_2-0,0.31325833578587264,0.17777015851341915,0.17576070368665275,0.17074083606876334,0.32619251435514107,0.31442098656840856,0.16383696585888002,0.4255461801262309,0.0,0.34438890741347233,0.17462617216451334,0.34712968620429124,0.31269053727781615,0.19721011529610838,0.31456911869040993,0.1912654950289237,0.17549164416609764,0.16554473435066017,0.503450495310332,0.16881946883498394,0.1659778443398825
miR145-ZEB_2-1,0.03160024274265051,0.1319984676340518,0.28277849241466047,0.23042931138619133,0.005636800228100989,0.5790523539541208,0.20117588997594932,0.6726757908648882,0.3443889074134723,0.0,0.2777215161380489,0.19288199374761406,0.03416353926946101,0.10254259916637608,0.5869081561533283,0.15894515927787506,0.27071153387273655,0.17730837465442273,1.0,0.2270089830183583,0.24887894200849062
miR200-ZEB_2-1,0.20167977216108326,0.05967784874771268,0.031367173295730924,0.0352635850116112,0.23994513688985192,0.10187981235033468,0.01916600921308206,0.3367436067184592,0.17462617216451337,0.2777215161380489,0.0,0.1811035797643025,0.1993186693699162,0.09734459982598717,0.10355797820871424,0.03326611014345916,0.0003418482200309666,0.016945006928510562,1.0,0.031154820545193238,0.013349927085879565
Oct4-miR200_1-2,0.07269746075704749,0.23778064001800137,0.31026802060954395,0.28974212085711715,0.13599919855784715,0.31441361036216764,0.22327357518757546,0.8144178893579086,0.34712968620429124,0.19288199374761406,0.18110357976430247,0.0,0.06863966765990431,0.26042074942836235,0.3303312970421389,0.09059510078250958,0.16934939884742073,0.1762000066515736,1.0,0.27828142878903317,0.24516490615483372
ZEB-ZEB_1-0,0.00028076830286931365,0.1340256630168024,0.2584662340295293,0.21716709484904212,0.012341909991406483,0.4440015585346274,0.17011104597927093,0.7165891600782585,0.3126905372778161,0.03416353926946102,0.1993186693699162,0.06863966765990431,0.0,0.12610261815582205,0.45576078259156294,0.0863564547014713,0.1899014186008271,0.1348694006894274,1.0,0.21001241450742508,0.20914061270707215
