name,Total Positive cycles,RACIPE JSD1 from WT,RACIPE JSD2 from WT,Boolean JSD from WT,Plasticity1,Plasticity2
ZEB-ZEB_1-2,2,0.053165034871395275,0.053165034871395275,0.09729481552692462,0.1473,0.18159999999999998
GRHL2-ZEB_2-0,2,0.003280658677870073,0.003280658677870073,0.09730065787099175,0.3472,0.3738
ZEB-miR200_2-0,2,0.5629782925170591,0.5629782925170591,0.04517120862621441,0.3145,0.3509
SNAIL-ZEB_1-2,3,0.0035163565200672007,0.0035163565200672007,0.0046916008954888296,0.5539,0.5759000000000001
ZEB-GRHL2_2-0,2,0.18484660771502676,0.18484660771502676,0.21679821233823915,0.3087,0.33440000000000003
WT,3,0.0,0.0,7.487932501159091e-05,0.5214,0.5433
ZEB-miR200_2-1,2,0.2481815551081778,0.2481815551081778,0.17356710958884483,0.2379,0.28680000000000005
miR200-ZEB_2-1,2,0.0476032298489622,0.0476032298489622,0.00449669115587735,0.2683,0.3244
ZEB-ZEB_1-0,2,0.0055603031541393184,0.0055603031541393184,0.09737929630855013,0.2944,0.32720000000000005
ZEB-GRHL2_2-1,2,0.5295890238052553,0.5295890238052553,1.0,0.2267,0.262
miR200-ZEB_2-0,2,0.004091393224317577,0.004091393224317577,0.00018645182373502986,0.4091,0.43889999999999996
SNAIL-miR200_2-0,3,0.011210028242051067,0.011210028242051067,0.09730841625264776,0.5841,0.5913999999999999
SNAIL-miR200_2-1,3,0.004200706532192618,0.004200706532192618,0.004792422608654699,0.5751,0.5984
SNAIL-ZEB_1-0,3,0.0013577679612617566,0.0013577679612617566,9.160361764534567e-05,0.6123,0.6314
GRHL2-ZEB_2-1,2,0.030042338049286056,0.030042338049286056,0.09730007970816475,0.2284,0.2671
