name,Total Positive cycles,RACIPE JSD1 from WT,RACIPE JSD2 from WT,Boolean JSD from WT,Plasticity1,Plasticity2
OVOL-ZEB_2-1,2,0.026067544459186603,0.026067544459186603,0.27813547241731107,0.1485,0.21020000000000005
ZEB-ZEB_1-2,2,0.05523460297322002,0.05523460297322002,0.27815289790139974,0.0848,0.13529999999999998
ZEB-OVOL_2-0,2,0.1585175481263707,0.1585175481263707,0.26216214198306714,0.2786,0.30820000000000003
ZEB-miR200_2-0,2,0.3052981447046258,0.3052981447046258,0.020395683633607924,0.2578,0.30910000000000004
SNAIL-ZEB_1-2,3,0.007036778703747875,0.007036778703747875,0.00560843758588764,0.4352,0.48429999999999995
WT,3,0.0,0.0,0.0002124817369085815,0.3976,0.44699999999999995
OVOL-ZEB_2-0,2,0.004099093002110196,0.004099093002110196,0.27820280006270603,0.2424,0.2915
ZEB-miR200_2-1,2,0.17443042212331167,0.17443042212331167,0.3463725504052129,0.2266,0.27290000000000003
miR200-ZEB_2-1,3,0.02604648670440729,0.02604648670440729,0.0021313929264149805,0.3265,0.3971
OVOL-miR200_2-0,3,0.045441734164358955,0.045441734164358955,0.061604352096761815,0.5213,0.5426
ZEB-OVOL_2-1,3,0.469383811585666,0.469383811585666,1.0,0.3164,0.3487
ZEB-ZEB_1-0,2,0.00825805650160892,0.00825805650160892,0.27814279663273245,0.25,0.29000000000000004
OVOL-miR200_2-1,4,0.07325450461534977,0.07325450461534977,0.2781735571466285,0.5958,0.6104
miR200-ZEB_2-0,2,0.005743291854164178,0.005743291854164178,0.005083334310807892,0.4043,0.4528
SNAIL-miR200_2-0,3,0.0024459776280112426,0.0024459776280112426,0.008981815463725389,0.4442,0.4877
SNAIL-miR200_2-1,3,0.007869755334573039,0.007869755334573039,0.005817879954418676,0.4427,0.5005999999999999
SNAIL-ZEB_1-0,3,0.0011262910115348262,0.0011262910115348262,0.0013336979200355339,0.4793,0.5241
