name,Total Positive cycles,Total Negative cycles,Frustration Boolean,Plasticity,JSD RACIPE,no signal Frus,Frustration RACIPE,no signal FrusR
FOXC2-ZEB1-1-0,2497,1,0.076293827,0.9439,1,0.042190541,0.478934159,0.467980608
FOXC2-ZEB1-1-2,2497,615,0.083829268,0.9458,0.05185973,0.051806667,0.471676159,0.471826317
GSC-FOXC2-1-0,2975,1,0.063317284,0.9453,0.043825367,0.02742973,0.465532942,0.463705
GSC-FOXC2-1-2,2975,137,0.074207317,0.9397,0.057634783,0.041508,0.471952683,0.472267446
GSC-SNAI1-1-0,2440,1,0.065749383,0.9493,0.05795044,0.030932432,0.473217113,0.470974982
GSC-SNAI1-1-2,2440,672,0.083413415,0.9209,0.069054829,0.051366667,0.478703975,0.47852702
GSC-TWIST1-1-0,2375,1,0.06608642,0.9499,0.05252356,0.03442027,0.473498833,0.471529387
GSC-TWIST1-1-2,2375,737,0.082936585,0.9233,0.058936325,0.052101333,0.481787276,0.482942124
GSC-ZEB1-1-0,2975,1,0.068102469,0.9483,0.041661699,0.034093243,0.465729177,0.463802295
GSC-ZEB1-1-2,2975,137,0.068923171,0.9407,0.060100485,0.035396,0.486887443,0.487802097
GSC-ZEB2-1-0,3083,1,0.065938272,0.9427,0.051242548,0.030498649,0.462748566,0.457781788
GSC-ZEB2-1-2,3083,29,0.071736585,0.9431,0.05198979,0.038092,0.457120456,0.450741674
KLF8-CDH1-2-0,3111,1,0.063702469,0.9447,1,0.028572973,0.4161257,0.395951066
KLF8-CDH1-2-1,3111,1,0.074915854,0.946,0.04583055,0.042641333,0.453358252,0.457898522
miR-101-KLF8-2-0,3111,1,0.070182716,0.9481,1,0.029889041,0.494548951,0.504094426
miR-101-KLF8-2-1,3111,1,0.074532927,0.9436,0.614118139,0.040788,0.460910084,0.46524323
miR-101-SNAI1-2-0,2786,1,0.054169136,0.9221,0.995609856,0.019132432,0.491626687,0.499705683
miR-101-SNAI1-2-1,2786,326,0.066909756,0.8882,0.065862641,0.031986667,0.472247442,0.472575961
miR-101-ZEB1-2-0,2720,1,0.077009877,0.9434,0.053236942,0.044333784,0.474298762,0.473154301
miR-101-ZEB1-2-1,2720,392,0.085697561,0.9331,0.072391622,0.054209333,0.489899721,0.49041043
miR-101-ZEB2-2-0,2590,1,0.070739506,0.944,0.957846124,0.035259459,0.500844712,0.523506913
miR-101-ZEB2-2-1,2590,522,0.080309756,0.9351,0.054964072,0.048478667,0.450234614,0.443468349
miR-141-TGF-beta-2-0,2804,1,0.06402716,0.9438,0.98216685,0.029939189,0.454056399,0.44826847
miR-141-TGF-beta-2-1,2804,308,0.075735366,0.8915,0.070497381,0.042562667,0.482284329,0.482395565
miR-141-ZEB1-2-0,3110,1,0.065519753,0.94,0.040991696,0.028790541,0.454291399,0.448667568
miR-141-ZEB1-2-1,3110,2,0.066768293,0.9334,0.04118341,0.032098667,0.44895565,0.441815538
miR-141-ZEB2-2-0,2814,1,0.068119753,0.9445,0.044070018,0.033625676,0.466018004,0.464125027
miR-141-ZEB2-2-1,2814,298,0.075013415,0.9403,0.071213549,0.04258,0.489288606,0.489747942
miR-200a-TGF-beta-2-0,2240,1,0.062058025,0.9415,0.052798201,0.027927027,0.473012534,0.4710158
miR-200a-TGF-beta-2-1,2240,872,0.073545122,0.8665,0.095896568,0.042006667,0.480401892,0.479669425
miR-200a-ZEB1-2-0,2830,1,0.065608642,0.9371,0.042181385,0.031202703,0.454488025,0.448973087
miR-200a-ZEB1-2-1,2830,282,0.068210976,0.9326,0.047004728,0.034232,0.448852581,0.441515323
miR-200a-ZEB2-2-0,2917,1,0.063834568,0.9391,0.050015144,0.027335135,0.472661808,0.471133833
miR-200a-ZEB2-2-1,2917,195,0.069386585,0.9373,0.068930175,0.036105333,0.488583848,0.489140353
miR-200b-TGF-beta-2-0,2258,1,0.063924691,0.9345,0.048915591,0.028833784,0.455309486,0.449515765
miR-200b-TGF-beta-2-1,2258,854,0.077292683,0.8534,0.100748899,0.043436,0.452616132,0.445381259
miR-200b-ZEB1-2-0,2743,1,0.06931358,0.9423,0.042057101,0.035578378,0.466100473,0.464196202
miR-200b-ZEB1-2-1,2743,369,0.073303659,0.9256,0.057628326,0.039448,0.478979338,0.478951617
miR-200b-ZEB2-2-0,2714,1,0.068862963,0.9428,0.051098934,0.034554054,0.462210899,0.456925285
miR-200b-ZEB2-2-1,2714,398,0.076578049,0.9333,0.062947538,0.042894667,0.45763484,0.45102707
miR-200c-TGF-beta-2-0,2240,1,0.062737037,0.9389,0.057200782,0.026951351,0.466081058,0.460945984
miR-200c-TGF-beta-2-1,2240,872,0.074370732,0.866,0.086338339,0.040833333,0.451756919,0.444389274
miR-200c-ZEB1-2-0,2830,1,0.065346914,0.9416,0.040745701,0.031028378,0.466525021,0.464924699
miR-200c-ZEB1-2-1,2830,282,0.069693902,0.9272,0.048072845,0.03424,0.472451893,0.472769067
miR-200c-ZEB2-2-0,2917,1,0.063011111,0.94,0.051104359,0.028545946,0.461765303,0.456476464
miR-200c-ZEB2-2-1,2917,195,0.07062561,0.9383,0.058647808,0.035594667,0.457403936,0.450719561
miR-205-ZEB1-2-0,3111,1,0.063037037,0.9438,0.055726642,0.033372,0.474890844,0.472343898
miR-205-ZEB1-2-1,3111,1,0.062318293,0.9438,0.04220975,0.026534667,0.460634715,0.457188522
