Frus-range,core,GRHL2,GRHL2wa,OVOL,OVOLnr,OCT4,NRF2
0.0-0.1,"(0.9710083124552246, 0.0012485929031976688)","(0.9486832980505137, 0.013846832988859107)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)"
0.1-0.2,"(0.7745966692414834, 0.22540333075851657)","(0.7877175876273732, 0.0013867202803932647)","(0.8535481794960171, 2.6070274495911857e-05)","(None, None)","(0.9258200997725515, 0.002764960301304949)","(0.8446303872698807, 7.434055087067093e-05)","(0.7680367542868648, 0.009470144899196155)"
0.2-0.3,"(0.8280786712108251, 0.04179468045604526)","(0.8944271909999159, 1.5866020240299146e-05)","(0.8660254037844387, 0.00012940169548043972)","(0.8689186887001459, 5.489235141816621e-05)","(0.8344553849509777, 8.912810250900737e-06)","(0.7161188819296938, 1.9164760143435818e-06)","(0.570412520880811, 2.3207226443036632e-11)"
0.3-0.4,"(None, None)","(None, None)","(None, None)","(0.8770580193070293, 0.00017931703953439035)","(nan, nan)","(None, None)","(None, None)"
0.4-0.5,"(None, None)","(None, None)","(None, None)","(0.7745966692414834, 0.22540333075851657)","(None, None)","(None, None)","(None, None)"
0.5-0.6,"(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)"
0.6-0.7,"(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)"
0.7-0.8,"(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)"
0.8-0.9,"(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)"
0.9-1.0,"(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)"
