#pfb,core,GRHL2,GRHL2wa,OVOL,OVOLnr,OCT4,NRF2
0,"(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)"
1,"(0.14285714285714288, 0.7871720116618075)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)"
2,"(-0.43114545428877316, 0.2861957348053604)","(-0.6484848484848483, 0.04254012768448945)","(None, None)","(-0.3368165348543039, 0.4600767496721376)","(-0.3068928850876477, 0.4596851913195994)","(None, None)","(None, None)"
3,"(None, None)","(-0.7758241758241758, 0.0011084786677787379)","(-0.2657342657342658, 0.40383308831471165)","(-0.4190852195795089, 0.13581608876757237)","(-0.5082950505010435, 0.0634723183051302)","(-0.10909090909090911, 0.7495085962341482)","(None, None)"
4,"(None, None)","(0.49999999999999994, 0.39100221895577053)","(-0.21428571428571427, 0.4820544547023683)","(0.2571428571428572, 0.6227871720116618)","(-0.7142857142857143, 0.1107871720116617)","(-0.2747645484310238, 0.22804907872291455)","(None, None)"
5,"(None, None)","(0.0, 1.0)","(0.7999999999999999, 0.20000000000000007)","(0.0, 1.0)","(-0.8660254037844387, 0.3333333333333332)","(-0.3520354165444462, 0.21706023268083183)","(None, None)"
6,"(None, None)","(None, None)","(-1.0, 0.0)","(None, None)","(None, None)","(-0.7999999999999999, 0.20000000000000007)","(-0.3706293706293707, 0.2356210035126457)"
7,"(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(-0.38181818181818183, 0.27625533338543595)"
8,"(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(-0.373045011864133, 0.009806767676104177)"
9,"(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(-0.34155844155844156, 0.1296778641559596)"
10,"(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(-0.7625000000000001, 6.182462140865536e-07)"
