Frus-range,core,GRHL2,GRHL2wa,OVOL,OVOLnr,OCT4,NRF2
0.0-0.1,"(0.9759000729485332, 3.436402807612141e-05)","(0.9127304766889967, 5.272683551590069e-06)","(0.855541850330037, 9.540346356925883e-05)","(None, None)","(None, None)","(None, None)","(None, None)"
0.1-0.2,"(0.7745966692414834, 0.22540333075851657)","(0.8964214570007953, 0.006267499099451467)","(0.8078131663950782, 0.027958830135695913)","(None, None)","(0.9543135154205278, 0.0008360075278773985)","(0.8700067502939476, 6.93071772084175e-08)","(0.5240390826081878, 0.06602601406553606)"
0.2-0.3,"(None, None)","(0.8660254037844386, 0.0005669643108945611)","(0.8660254037844386, 0.0005669643108945611)","(0.7963845597779974, 0.0019361546295381146)","(0.6902684899626335, 0.003079151363165015)","(0.4786123474923867, 0.020869891185906302)","(0.5511176892710266, 5.30721342113159e-10)"
0.3-0.4,"(0.8660254037844386, 0.05766888562243733)","(None, None)","(None, None)","(0.6829272365264182, 0.020554837962301366)","(0.8280786712108251, 0.04179468045604526)","(0.8660254037844387, 0.3333333333333332)","(0.6546536707079772, 0.15830242337545783)"
0.4-0.5,"(None, None)","(None, None)","(None, None)","(0.8280786712108251, 0.04179468045604526)","(None, None)","(None, None)","(None, None)"
0.5-0.6,"(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)"
0.6-0.7,"(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)"
0.7-0.8,"(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)"
0.8-0.9,"(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)"
0.9-1.0,"(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)"
