Frus-range,core,GRHL2,GRHL2wa,OVOL,OVOLnr,OCT4,NRF2
0.0-0.1,"(None, None)","(nan, nan)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)"
0.1-0.2,"(None, None)","(None, None)","(None, None)","(None, None)","(-0.13093073414159545, 0.8047261622231061)","(0.8660254037844387, 0.005423950341308736)","(-0.2078656923756628, 0.270355847346365)"
0.2-0.3,"(None, None)","(nan, nan)","(nan, nan)","(0.12483755678647185, 0.7311340232557362)","(nan, nan)","(0.7700052626420748, 1.0008535584757988e-08)","(0.5835923100929264, 9.481236656329753e-22)"
0.3-0.4,"(nan, nan)","(nan, nan)","(0.5451730205091057, 0.019291625974945256)","(nan, nan)","(0.8783100656536799, 0.021311641128756727)","(0.8305568345213168, 2.830204113309318e-13)","(0.6734700757297059, 6.056589299914215e-33)"
0.4-0.5,"(None, None)","(nan, nan)","(nan, nan)","(0.9258200997725515, 0.002764960301304949)","(nan, nan)","(0.30354036327439576, 0.33749183778856195)","(0.6905812742798331, 2.9795744107121904e-07)"
0.5-0.6,"(None, None)","(None, None)","(nan, nan)","(0.8451542547285167, 0.008237354145108077)","(nan, nan)","(nan, nan)","(None, None)"
0.6-0.7,"(None, None)","(None, None)","(nan, nan)","(None, None)","(None, None)","(None, None)","(None, None)"
0.7-0.8,"(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)"
0.8-0.9,"(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)"
0.9-1.0,"(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)"
