,Cycles,Nature,Edge_count
0,AXIN2,P,1
1,Destcompl,P,1
2,SNAI2,P,1
3,"MEK,ERK,cfos,EGR1,SNAI1,miR200,ZEB2,SMAD,SHH,Patched,SMO,FUS,SUFU,cateninnuc,TCFLEF,TWIST1,TGF,TGFR,SOSGRB2,RAS,RAF",N,21
4,"MEK,ERK,cfos,EGR1,SNAI1,miR200,ZEB2,SMAD,SHH,Patched,SMO,FUS,SUFU,cateninnuc,TCFLEF,TWIST1,TGF,TGFR,SOSGRB2",N,19
5,"MEK,ERK,cfos,EGR1,SNAI1,miR200,ZEB2,SMAD,SHH,Patched,SMO,FUS,SUFU,cateninnuc,TCFLEF,RAS,RAF",N,17
6,"MEK,ERK,cfos,EGR1,SNAI1,miR200,ZEB2,SMAD,SHH,Patched,SMO,FUS,SUFU,cateninnuc,TCFLEF,RAS,PI3K,AKT,IKK,NFB,TWIST1,TGF,TGFR,SOSGRB2",N,24
7,"MEK,ERK,cfos,EGR1,SNAI1,miR200,ZEB2,SMAD,SHH,Patched,SMO,FUS,SUFU,cateninnuc,TCFLEF,GLI,Wnt,Frizzled,DSH,GSK3,RAS,RAF",N,22
8,"MEK,ERK,cfos,EGR1,SNAI1,miR200,ZEB2,SMAD,SHH,Patched,SMO,FUS,SUFU,cateninnuc,TCFLEF,GLI,Wnt,Frizzled,DSH,GSK3,RAS,PI3K,AKT,IKK,NFB,TWIST1,TGF,TGFR,SOSGRB2",N,29
9,"MEK,ERK,cfos,EGR1,SNAI1,miR200,ZEB2,SMAD,SHH,Patched,SMO,FUS,SUFU,cateninnuc,TCFLEF,GLI,TGF,TGFR,SOSGRB2,RAS,RAF",N,21
10,"MEK,ERK,cfos,EGR1,SNAI1,miR200,ZEB2,SMAD,SHH,Patched,SMO,FUS,SUFU,cateninnuc,TCFLEF,GLI,TGF,TGFR,SOSGRB2",N,19
11,"MEK,ERK,cfos,EGR1,SNAI1,miR200,ZEB2,SMAD,SHH,Patched,SMO,FUS,SUFU,cateninnuc,TCFLEF,CD44,cMet,SRC,RAS,RAF",N,20
12,"MEK,ERK,cfos,EGR1,SNAI1,miR200,ZEB2,SMAD,SHH,Patched,SMO,FUS,SUFU,cateninnuc,TCFLEF,CD44,cMet,SRC,RAS,PI3K,AKT,IKK,NFB,TWIST1,TGF,TGFR,SOSGRB2",N,27
13,"MEK,ERK,cfos,EGR1,SNAI1,miR200,ZEB2,SMAD,SHH,Patched,SMO,FUS,SUFU,cateninnuc,TCFLEF,CD44,cMet,SOSGRB2,RAS,RAF",N,20
14,"MEK,ERK,cfos,EGR1,SNAI1,miR200,ZEB2,SMAD,SHH,Patched,SMO,FUS,SUFU,cateninnuc,TCFLEF,CD44,cMet,SOSGRB2",N,18
15,"MEK,ERK,cfos,EGR1,SNAI1,miR200,ZEB2,SMAD,SHH,Patched,SMO,FUS,SUFU,cateninnuc,TCFLEF,AXIN2,Destcompl,GSK3,RAS,RAF",N,20
16,"MEK,ERK,cfos,EGR1,SNAI1,miR200,ZEB2,SMAD,SHH,Patched,SMO,FUS,SUFU,cateninnuc,TCFLEF,AXIN2,Destcompl,GSK3,RAS,PI3K,AKT,IKK,NFB,TWIST1,TGF,TGFR,SOSGRB2",N,27
17,"MEK,ERK,cfos,EGR1,SNAI1,miR200,ZEB2,SMAD,SHH,Patched,SMO,FUS,SUFU,cateninnuc,Destcompl,GSK3,RAS,RAF",N,18
18,"MEK,ERK,cfos,EGR1,SNAI1,miR200,ZEB2,SMAD,SHH,Patched,SMO,FUS,SUFU,cateninnuc,Destcompl,GSK3,RAS,PI3K,AKT,IKK,NFB,TWIST1,TGF,TGFR,SOSGRB2",N,25
19,"MEK,ERK,cfos,EGR1,SNAI1,miR200,ZEB2,SMAD,SHH,Patched,SMO,FUS,SUFU,GLI,Wnt,Frizzled,DSH,GSK3,RAS,RAF",N,20
20,"MEK,ERK,cfos,EGR1,SNAI1,miR200,ZEB2,SMAD,SHH,Patched,SMO,FUS,SUFU,GLI,Wnt,Frizzled,DSH,GSK3,RAS,PI3K,AKT,IKK,NFB,TWIST1,TGF,TGFR,SOSGRB2",N,27
21,"MEK,ERK,cfos,EGR1,SNAI1,miR200,ZEB2,SMAD,SHH,Patched,SMO,FUS,SUFU,GLI,Wnt,Frizzled,DSH,GSK3,RAS,PI3K,AKT,IKK,NFB,TWIST1,SNAI2,Ecadherin,cateninnuc,TCFLEF,CD44,cMet,SOSGRB2",N,31
22,"MEK,ERK,cfos,EGR1,SNAI1,miR200,ZEB2,SMAD,SHH,Patched,SMO,FUS,SUFU,GLI,Wnt,Frizzled,DSH,GSK3,RAS,PI3K,AKT,IKK,NFB,TWIST1,SNAI2,Ecadherin,cateninmemb,cateninnuc,TCFLEF,CD44,cMet,SOSGRB2",N,32
23,"MEK,ERK,cfos,EGR1,SNAI1,miR200,ZEB2,SMAD,SHH,Patched,SMO,FUS,SUFU,GLI,Wnt,Frizzled,DSH,GSK3,RAS,PI3K,AKT,IKK,NFB,TWIST1,FOXC2,Ecadherin,cateninnuc,TCFLEF,CD44,cMet,SOSGRB2",N,31
24,"MEK,ERK,cfos,EGR1,SNAI1,miR200,ZEB2,SMAD,SHH,Patched,SMO,FUS,SUFU,GLI,Wnt,Frizzled,DSH,GSK3,RAS,PI3K,AKT,IKK,NFB,TWIST1,FOXC2,Ecadherin,cateninmemb,cateninnuc,TCFLEF,CD44,cMet,SOSGRB2",N,32
