,Cycles,Nature,Edge_count
0,ZEB1,P,1
1,ZEB2,P,1
2,SNAI1,N,1
3,SNAI2,P,1
4,"TWIST1,ZEB2,miR-200a,TGF-beta,SNAI2,miR-200b,ZEB1,miR-34a,TWIST2",P,9
5,"TWIST1,ZEB2,miR-200a,TGF-beta,SNAI2,miR-200b,ZEB1,miR-34a,TWIST2,SNAI1",P,10
6,"TWIST1,ZEB2,miR-200a,TGF-beta,SNAI2,miR-200b,ZEB1,miR-34a,SNAI1",P,9
7,"TWIST1,ZEB2,miR-200a,TGF-beta,SNAI2,miR-101,SNAI1,miR-34a,TWIST2",P,9
8,"TWIST1,ZEB2,miR-200a,TGF-beta,SNAI2,miR-101,SNAI1,ZEB1,miR-34a,TWIST2",P,10
9,"TWIST1,ZEB2,miR-200a,TGF-beta,SNAI2,miR-101,SNAI1",P,7
10,"TWIST1,ZEB2,miR-200a,TGF-beta,SNAI2,miR-101,SNAI1,FOXC2,ZEB1,miR-34a,TWIST2",P,11
11,"TWIST1,ZEB2,miR-200a,TGF-beta,SNAI2,miR-101,ZEB1,miR-34a,TWIST2",P,9
12,"TWIST1,ZEB2,miR-200a,TGF-beta,SNAI2,miR-101,ZEB1,miR-34a,TWIST2,SNAI1",P,10
13,"TWIST1,ZEB2,miR-200a,TGF-beta,SNAI2,miR-101,ZEB1,miR-34a,SNAI1",P,9
14,"TWIST1,ZEB2,miR-200a,TGF-beta,SNAI2,TWIST2,ZEB1,miR-34a,SNAI1",P,9
15,"TWIST1,ZEB2,miR-200a,TGF-beta,SNAI2,TWIST2",P,6
16,"TWIST1,ZEB2,miR-200a,TGF-beta,SNAI2,TWIST2,SNAI1",P,7
17,"TWIST1,ZEB2,miR-200a,TGF-beta,SNAI1,miR-101,ZEB1,miR-34a,TWIST2",P,9
18,"TWIST1,ZEB2,miR-200a,TGF-beta,SNAI1,miR-101,ZEB1,miR-34a,SNAI2,TWIST2",P,10
19,"TWIST1,ZEB2,miR-200a,TGF-beta,SNAI1,miR-34a,TWIST2",P,7
20,"TWIST1,ZEB2,miR-200a,TGF-beta,SNAI1,miR-34a,SNAI2,TWIST2",P,8
21,"TWIST1,ZEB2,miR-200a,TGF-beta,SNAI1,ZEB1,miR-34a,TWIST2",P,8
22,"TWIST1,ZEB2,miR-200a,TGF-beta,SNAI1,ZEB1,miR-34a,SNAI2,TWIST2",P,9
23,"TWIST1,ZEB2,miR-200a,TGF-beta,SNAI1",P,5
24,"TWIST1,ZEB2,miR-200a,TGF-beta,SNAI1,SNAI2,miR-200b,ZEB1,miR-34a,TWIST2",P,10
25,"TWIST1,ZEB2,miR-200a,TGF-beta,SNAI1,SNAI2,miR-101,ZEB1,miR-34a,TWIST2",P,10
26,"TWIST1,ZEB2,miR-200a,TGF-beta,SNAI1,SNAI2,TWIST2",P,7
27,"TWIST1,ZEB2,miR-200a,TGF-beta,SNAI1,FOXC2,ZEB1,miR-34a,TWIST2",P,9
28,"TWIST1,ZEB2,miR-200a,TGF-beta,SNAI1,FOXC2,ZEB1,miR-34a,SNAI2,TWIST2",P,10
29,"TWIST1,ZEB2,miR-200a,TGF-beta,GSC,ZEB1,miR-34a,TWIST2",P,8
30,"TWIST1,ZEB2,miR-200a,TGF-beta,GSC,ZEB1,miR-34a,TWIST2,SNAI2,miR-101,SNAI1",P,11
31,"TWIST1,ZEB2,miR-200a,TGF-beta,GSC,ZEB1,miR-34a,TWIST2,SNAI1",P,9
