"","Edges","pLoopCount","pLoopLengthAvg","pLoopLengthStd"
"1","ZEB1,ZEB1",1,1,0.017928749299112
"2","ZEB2,ZEB2",1,1,0.017928749299112
"3","SNAI2,SNAI2",1,1,0.017928749299112
"4","miR-200a,TGF-beta",871,9.13892078071182,4.19489216419494
"5","miR-200b,ZEB1",368,8.92663043478261,2.94364365509281
"6","miR-34a,TWIST2",982,9.74134419551935,4.61834554183046
"7","SNAI2,miR-200b",510,9.30980392156863,3.51385017600739
"8","TGF-beta,SNAI2",524,8.54580152671756,3.25785365753793
"9","TWIST1,ZEB2",314,9.01910828025478,2.75785803836839
"10","TWIST2,TWIST1",705,9.61702127659574,4.09328189068382
"11","ZEB1,miR-34a",1025,9.34439024390244,4.49757725280935
"12","ZEB2,miR-200a",918,9.28104575163399,4.32068747100189
"13","SNAI1,TWIST1",499,8.86973947895792,3.31658396619837
"14","TWIST2,SNAI1",357,9.16526610644258,2.97765893242026
"15","miR-34a,SNAI1",184,8.76086956521739,2.11264177461403
"16","miR-101,SNAI1",325,9.51692307692308,2.96560648397946
"17","SNAI1,miR-34a",814,9.6031941031941,4.30042428450257
"18","SNAI2,miR-101",926,9.50215982721382,4.43547303475333
"19","SNAI1,ZEB1",199,8.23115577889447,2.06124569761406
"20","FOXC2,ZEB1",614,9.62703583061889,3.90250599661664
"21","SNAI1,FOXC2",199,9.23115577889447,2.30100483901252
"22","miR-101,ZEB1",391,9.11253196930946,3.07924952813273
"23","SNAI2,TWIST2",926,9.03887688984881,4.21560820757686
"24","TWIST2,ZEB1",214,8.74766355140187,2.25365374125415
"25","SNAI1,miR-101",311,9.11897106109325,2.79046902764531
"26","TGF-beta,SNAI1",671,8.35618479880775,3.51338384248198
"27","miR-34a,SNAI2",568,9.36091549295775,3.67409163968584
"28","SNAI1,SNAI2",414,8.92995169082126,3.08745093935527
"29","GSC,ZEB1",136,8.91176470588235,1.85380659604174
"30","TGF-beta,GSC",1707,9.47393087287639,4.86250274000406
"31","TWIST2,SNAI2",267,10.0674157303371,2.85656490203915
"32","GSC,FOXC2",136,9.91176470588235,2.05518010701698
"33","GSC,TWIST1",736,9.66304347826087,4.17361900587411
"34","GSC,SNAI1",671,9.35618479880775,3.91677864735127
"35","miR-200a,ZEB1",281,9.02135231316726,2.63475130497481
"36","miR-200b,TGF-beta",853,9.00468933177022,4.11001273927509
"37","miR-200c,TGF-beta",871,9.13892078071182,4.19489216419494
"38","ZEB1,miR-200c",428,8.8107476635514,3.1014974452812
"39","ZEB1,miR-200b",383,8.76501305483029,2.94278493848314
"40","miR-141,TGF-beta",307,8.6514657980456,2.63506248504915
"41","ZEB1,miR-141",605,8.96363636363636,3.62404405178817
"42","ZEB2,miR-200c",918,9.28104575163399,4.32068747100189
"43","miR-200c,ZEB1",281,9.02135231316726,2.63475130497481
"44","ZEB1,miR-200a",428,8.8107476635514,3.1014974452812
"45","ZEB2,miR-200b",725,9.13793103448276,3.94107707390655
"46","TWIST1,ZEB1",279,8.77060931899642,2.5502208697666
"47","TWIST2,ZEB2",365,9.10684931506849,2.97159200277676
"48","miR-200b,ZEB2",397,9.48110831234257,3.21491375315547
"49","SNAI1,ZEB2",251,8.71314741035857,2.4216044081422
"50","miR-101,ZEB2",521,9.55662188099808,3.62681861998137
"51","miR-200a,ZEB2",194,9.25773195876289,2.27478544460616
"52","miR-200c,ZEB2",194,9.25773195876289,2.27478544460616
"53","miR-141,ZEB2",297,9.30976430976431,2.7765392001846
"54","TWIST1,SNAI2",589,9.7402376910017,3.8735391090772
"55","GSC,ZEB2",28,7.92857142857143,0.780007038575157
"56","miR-34a,ZEB1",105,8.57142857142857,1.57977913291429
"57","TWIST1,SNAI1",479,9.55323590814196,3.5020029788027
"58","TWIST1,FOXC2",279,9.77060931899642,2.8315718055796
"59","miR-141,ZEB1",1,2,0.035857498598224
