"","Edges","pLoopCount","pLoopLengthAvg","pLoopLengthStd","nLoopCount","nLoopLengthAvg","nLoopLengthStd"
"1","ZEB,ZEB",1,1,0.353553390593274,0,0,0
"2","KEAP1,NRF2",2,4.5,2.10017006114131,0,0,0
"3","miR200,KEAP1",2,4.5,2.10017006114131,0,0,0
"4","NRF2,SNAIL",2,4.5,2.10017006114131,2,4.5,2.64575131106459
"5","SNAIL,ZEB",2,3,1.48804761828569,1,4,2.3094010767585
"6","ZEB,miR200",2,4.5,2.10017006114131,0,0,0
"7","SNAIL,miR200",2,3.5,1.80772153354911,1,5,2.88675134594813
"8","Ecadherin,ZEB",1,4,1.4142135623731,0,0,0
"9","ZEB,Ecadherin",1,4,1.4142135623731,2,4.5,2.64575131106459
"10","miR200,ZEB",2,3.5,1.80772153354911,1,5,2.88675134594813
"11","miR34,SNAIL",3,2.33333333333333,1.24642345475822,0,0,0
"12","ZEB,miR34",2,2,0.925820099772551,0,0,0
"13","SNAIL,miR34",1,3,1.06066017177982,0,0,0
"14","SNAIL,SNAIL",0,0,0,1,1,0.577350269189626
"15","Ecadherin,NRF2",0,0,0,2,4.5,2.64575131106459
