"","Edges","pLoopCount","pLoopLengthAvg","pLoopLengthStd"
"1","miR200,TGFB",2,3.5,1.43336856898198
"2","SNAIL,miR200",4,4,2.06705763652765
"3","TGFB,SNAIL",4,4,2.06705763652765
"4","miR200,ZEB1",4,3.75,2.01359019031814
"5","OVOL,TGFB",2,4.5,1.83402190925746
"6","ZEB1,OVOL",5,3.6,2.01359019031814
"7","SNAIL,ZEB1",4,3.5,1.79392915639994
"8","ZEB1,miR200",2,3,1.29333958136573
"9","OVOL,SNAIL",2,3.5,1.43336856898198
"10","miR34,SNAIL",3,3,1.4709304414677
"11","ZEB1,miR34",2,3.5,1.43336856898198
"12","OVOL,ZEB1",1,2,0.603022689155527
"13","SNAIL,miR34",1,2,0.603022689155527
