"","Edges","pLoopCount","pLoopLengthAvg","pLoopLengthStd","nLoopCount","nLoopLengthAvg","nLoopLengthStd"
"1","ZEB,ZEB",1,1,0.408248290463863,0,0,0
"2","OVOL,ZEB",1,1,0.408248290463863,0,0,0
"3","ZEB,OVOL",1,1,0.408248290463863,0,0,0
"4","miR200,ZEB",2,2.5,1.32916013582513,0,0,0
"5","ZEB,miR200",1,2,0.816496580927726,0,0,0
"6","miR34,SNAIL",3,3,1.7606816861659,0,0,0
"7","SNAIL,ZEB",1,2,0.816496580927726,0,0,0
"8","ZEB,miR34",2,2.5,1.32916013582513,0,0,0
"9","SNAIL,miR200",1,3,1.22474487139159,0,0,0
"10","SNAIL,miR34",1,4,1.63299316185545,0,0,0
"11","SNAIL,SNAIL",0,0,0,1,1,0.707106781186548
"12","OVOL,OVOL",0,0,0,1,1,0.707106781186548
