"","Edges","loopCount","loopLengthAvg","loopLengthStd"
"1","SNAIL,SNAIL",1,0.125,0.353553390593274
"2","ZEB1,ZEB1",1,0.5,1.4142135623731
"3","miR200,ZEB1",2,0.75,1.38873014965883
"4","miR34,SNAIL",3,1,1.60356745147455
"5","SNAIL,miR200",2,0.625,1.18773493916542
"6","ZEB1,miR34",2,0.875,1.64208056179609
"7","SNAIL,ZEB1",2,0.75,1.48804761828569
"8","miR200,TGFB",2,0.5,0.925820099772551
"9","TGFB,SNAIL",2,0.5,0.925820099772551
"10","ZEB1,miR200",2,0.625,1.18773493916542
"11","SNAIL,miR34",1,0.125,0.353553390593274
