"","Edges","loopCount","loopLengthAvg","loopLengthStd"
"1","SNAIL,SNAIL",1,0.125,0.353553390593274
"2","ZEB,ZEB",1,0.125,0.353553390593274
"3","OVOL,OVOL",1,0.25,0.707106781186548
"4","OVOL,ZEB",1,0.375,1.06066017177982
"5","ZEB,OVOL",1,0.375,1.06066017177982
"6","miR34,SNAIL",3,1,1.51185789203691
"7","SNAIL,ZEB",1,0.5,1.4142135623731
"8","ZEB,miR34",2,0.75,1.48804761828569
"9","miR200,ZEB",2,0.375,0.744023809142845
"10","SNAIL,miR200",1,0.25,0.707106781186548
"11","SNAIL,miR34",1,0.25,0.707106781186548
"12","ZEB,miR200",1,0.125,0.353553390593274
