"","Edges","loopCount","loopLengthAvg","loopLengthStd"
"1","SNAIL,SNAIL",1,0.111111111111111,0.333333333333333
"2","ZEB,ZEB",1,0.111111111111111,0.333333333333333
"3","OVOL,OVOL",1,0.222222222222222,0.666666666666667
"4","OVOL,ZEB",1,0.444444444444444,1.33333333333333
"5","ZEB,OVOL",2,0.777777777777778,1.56347191994114
"6","miR200,ZEB",3,0.666666666666667,1.11803398874989
"7","OVOL,STAT3",1,0.333333333333333,1
"8","STAT3,miR200",1,0.333333333333333,1
"9","miR34,SNAIL",3,0.888888888888889,1.45296631451356
"10","SNAIL,ZEB",1,0.444444444444444,1.33333333333333
"11","ZEB,miR34",2,0.666666666666667,1.4142135623731
"12","SNAIL,miR200",1,0.222222222222222,0.666666666666667
"13","SNAIL,miR34",1,0.222222222222222,0.666666666666667
"14","ZEB,miR200",1,0.111111111111111,0.333333333333333
