"","Edges","pLoopCount","pLoopLengthAvg","pLoopLengthStd"
"1","n0,n1",4,5,2.58198889747161
"2","n1,n2",6,5,2.82842712474619
"3","n2,n3",6,5,2.82842712474619
"4","n3,n6",4,5.5,2.97289341182883
"5","n6,n7",6,5,2.82842712474619
"6","n7,n8",6,5,2.82842712474619
"7","n8,n9",4,5,2.58198889747161
"8","n9,n0",5,4.8,2.64034629763381
"9","n8,n1",4,3.25,1.80739222823013
"10","n7,n2",3,2.66666666666667,1.18723367940933
"11","n6,n3",2,6,2.5967012040004
"12","n3,n4",4,5,2.58198889747161
"13","n4,n5",5,5.2,2.81492620219599
"14","n5,n6",4,5,2.58198889747161
"15","n5,n4",1,6,1.54919333848297
"16","n2,n7",3,2.66666666666667,1.18723367940933
"17","n0,n9",1,4,1.03279555898864
"18","n1,n8",2,1.5,0.560611910581388
