"","Network","Pos_loops","Neg_loops","Total.Positive.cycles","RACIPE.JSD1.from.WT","RACIPE.JSD2.from.WT","Boolean.JSD.from.WT","Plasticity1","Plasticity2","JSD_id"
"1","FOXC2_ZEB1_1_0",2497,1,2497,0.99960389,0.99960389,0.014571803,0.9439,0.9439,"-1"
"2","FOXC2_ZEB1_1_2",2497,615,2497,0.07170149,0.07170149,0.012186397,0.9458,0.9458,"-3"
"3","GSC_FOXC2_1_0",2975,1,2975,0.063782484,0.063782484,0.000402745,0.9453,0.9453,"-3"
"4","GSC_FOXC2_1_2",2975,137,2975,0.076334123,0.076334123,0.000290871,0.9397,0.9397,"-3"
"5","GSC_SNAI1_1_0",2440,1,2440,0.080064931,0.080064931,0.001317818,0.9493,0.9493,"-3"
"6","GSC_SNAI1_1_2",2440,672,2440,0.090596974,0.090596974,0.009316948,0.9209,0.9209,"-3"
"7","GSC_TWIST1_1_0",2375,1,2375,0.071965638,0.071965638,0.007520489,0.9499,0.9499,"-3"
"8","GSC_TWIST1_1_2",2375,737,2375,0.081218828,0.081218828,0.01324869,0.9232,0.9233,"-3"
"9","GSC_ZEB1_1_0",2975,1,2975,0.060045029,0.060045029,0.00372137,0.9483,0.9483,"-3"
"10","GSC_ZEB1_1_2",2975,137,2975,0.077676101,0.077676101,0.022130519,0.9407,0.9407,"-3"
"11","GSC_ZEB2_1_0",3083,1,3083,0.06929261,0.06929261,0.002140955,0.9427,0.9427,"-3"
"12","GSC_ZEB2_1_2",3083,29,3083,0.070365846,0.070365846,0.007940842,0.9431,0.9431,"-3"
"13","KLF8_CDH1_2_0",3111,1,3111,0.99960312,0.99960312,0.000645884,0.9447,0.9447,"-1"
"14","KLF8_CDH1_2_1",3111,1,3111,0.063885469,0.063885469,0.000835521,0.946,0.946,"-3"
"15","miR-101_KLF8_2_0",3111,1,NA,NA,NA,NA,NA,NA,NA
"16","miR-101_KLF8_2_1",3111,1,NA,NA,NA,NA,NA,NA,NA
"17","miR-101_SNAI1_2_0",2786,1,NA,NA,NA,NA,NA,NA,NA
"18","miR-101_SNAI1_2_1",2786,326,NA,NA,NA,NA,NA,NA,NA
"19","miR-101_ZEB1_2_0",2720,1,NA,NA,NA,NA,NA,NA,NA
"20","miR-101_ZEB1_2_1",2720,392,NA,NA,NA,NA,NA,NA,NA
"21","miR-101_ZEB2_2_0",2590,1,NA,NA,NA,NA,NA,NA,NA
"22","miR-101_ZEB2_2_1",2590,522,NA,NA,NA,NA,NA,NA,NA
"23","miR-141_TGF-beta_2_0",2804,1,NA,NA,NA,NA,NA,NA,NA
"24","miR-141_TGF-beta_2_1",2804,308,NA,NA,NA,NA,NA,NA,NA
"25","miR-141_ZEB1_2_0",3110,1,NA,NA,NA,NA,NA,NA,NA
"26","miR-141_ZEB1_2_1",3110,2,NA,NA,NA,NA,NA,NA,NA
"27","miR-141_ZEB2_2_0",2814,1,NA,NA,NA,NA,NA,NA,NA
"28","miR-141_ZEB2_2_1",2814,298,NA,NA,NA,NA,NA,NA,NA
"29","miR-200a_TGF-beta_2_0",2240,1,NA,NA,NA,NA,NA,NA,NA
"30","miR-200a_TGF-beta_2_1",2240,872,NA,NA,NA,NA,NA,NA,NA
"31","miR-200a_ZEB1_2_0",2830,1,NA,NA,NA,NA,NA,NA,NA
"32","miR-200a_ZEB1_2_1",2830,282,NA,NA,NA,NA,NA,NA,NA
"33","miR-200a_ZEB2_2_0",2917,1,NA,NA,NA,NA,NA,NA,NA
"34","miR-200a_ZEB2_2_1",2917,195,NA,NA,NA,NA,NA,NA,NA
"35","miR-200b_TGF-beta_2_0",2258,1,NA,NA,NA,NA,NA,NA,NA
"36","miR-200b_TGF-beta_2_1",2258,854,NA,NA,NA,NA,NA,NA,NA
"37","miR-200b_ZEB1_2_0",2743,1,NA,NA,NA,NA,NA,NA,NA
"38","miR-200b_ZEB1_2_1",2743,369,NA,NA,NA,NA,NA,NA,NA
"39","miR-200b_ZEB2_2_0",2714,1,NA,NA,NA,NA,NA,NA,NA
"40","miR-200b_ZEB2_2_1",2714,398,NA,NA,NA,NA,NA,NA,NA
"41","miR-200c_TGF-beta_2_0",2240,1,NA,NA,NA,NA,NA,NA,NA
"42","miR-200c_TGF-beta_2_1",2240,872,NA,NA,NA,NA,NA,NA,NA
"43","miR-200c_ZEB1_2_0",2830,1,NA,NA,NA,NA,NA,NA,NA
"44","miR-200c_ZEB1_2_1",2830,282,NA,NA,NA,NA,NA,NA,NA
"45","miR-200c_ZEB2_2_0",2917,1,NA,NA,NA,NA,NA,NA,NA
"46","miR-200c_ZEB2_2_1",2917,195,NA,NA,NA,NA,NA,NA,NA
"47","miR-205_ZEB1_2_0",3111,1,NA,NA,NA,NA,NA,NA,NA
"48","miR-205_ZEB1_2_1",3111,1,NA,NA,NA,NA,NA,NA,NA
"49","miR-205_ZEB2_2_0",3111,1,NA,NA,NA,NA,NA,NA,NA
"50","miR-205_ZEB2_2_1",3111,1,NA,NA,NA,NA,NA,NA,NA
"51","miR-30c_SNAI1_2_0",3111,1,NA,NA,NA,NA,NA,NA,NA
"52","miR-30c_SNAI1_2_1",3111,1,NA,NA,NA,NA,NA,NA,NA
"53","miR-30c_SNAI2_2_0",3111,1,NA,NA,NA,NA,NA,NA,NA
"54","miR-30c_SNAI2_2_1",3111,1,NA,NA,NA,NA,NA,NA,NA
"55","miR-30c_ZEB2_2_0",3111,1,NA,NA,NA,NA,NA,NA,NA
"56","miR-30c_ZEB2_2_1",3111,1,NA,NA,NA,NA,NA,NA,NA
"57","miR-34a_SNAI1_2_0",2927,1,NA,NA,NA,NA,NA,NA,NA
"58","miR-34a_SNAI1_2_1",2927,185,NA,NA,NA,NA,NA,NA,NA
"59","miR-34a_SNAI2_2_0",2543,1,NA,NA,NA,NA,NA,NA,NA
"60","miR-34a_SNAI2_2_1",2543,569,NA,NA,NA,NA,NA,NA,NA
"61","miR-34a_TWIST2_2_0",2129,1,NA,NA,NA,NA,NA,NA,NA
"62","miR-34a_TWIST2_2_1",2129,983,NA,NA,NA,NA,NA,NA,NA
