"","Network","Pos_loops","Neg_loops","pos_cycle","plast","plast_2","JSD"
"1","GRHL2_GRHL2_0_2",3,1,3,0.3746,0.4631,0.0352419460215745
"2","GRHL2_miR200_0_1",4,0,4,0.5541,0.6045,0.00921249419756642
"3","GRHL2_miR200_0_2",3,1,3,0.2503,0.4465,0.0444910902937958
"4","GRHL2_SNAIL_0_1",3,2,3,0.2503,0.4262,0.0296288585252571
"5","GRHL2_SNAIL_0_2",5,0,5,0.6312,0.6802,0.0102889954652531
"6","GRHL2_ZEB_2_0",2,0,2,0.2978,0.3738,0.0035083882686337
"7","GRHL2_ZEB_2_1",2,1,2,0.1851,0.2671,0.0311777909518852
"8","miR200_GRHL2_0_1",4,0,4,0.4635,0.5555,0.00916459247314107
"9","miR200_GRHL2_0_2",3,1,3,0.3553,0.4794,0.121075132870792
"10","miR200_miR200_0_1",4,0,4,0.5389,0.6364,0.00207905133635217
"11","miR200_miR200_0_2",3,1,3,0.3456,0.4923,0.0275984390342389
"12","miR200_SNAIL_0_1",3,2,3,0.2913,0.4617,0.0175404845712632
"13","miR200_SNAIL_0_2",5,0,5,0.6614,0.7198,0.00563109295660427
"14","miR200_ZEB_2_0",2,0,2,0.318,0.4389,0.00434853343639421
"15","miR200_ZEB_2_1",2,1,2,0.1984,0.3244,0.0483200394917949
"16","SNAIL_GRHL2_0_1",3,0,3,0.4317,0.5472,0.0291395872567627
"17","SNAIL_GRHL2_0_2",3,0,3,0.3858,0.4704,0.00484791994813167
"18","SNAIL_miR200_2_0",3,0,3,0.5465,0.5914,0.0105704193187068
"19","SNAIL_miR200_2_1",3,0,3,0.4921,0.5984,0.00420877854045282
"20","SNAIL_SNAIL_0_1",4,0,4,0.4765,0.6009,0.00402211335479135
"21","SNAIL_SNAIL_0_2",3,1,3,0.4615,0.5723,0.000239071549683931
"22","SNAIL_ZEB_1_0",3,0,3,0.5193,0.6317,0.00141878275006832
"23","SNAIL_ZEB_1_2",3,0,3,0.461,0.5759,0.00342678466085327
"24","WT",3,0,3,0.4379,0.5434,0
"25","ZEB_GRHL2_2_0",2,0,2,0.2581,0.3344,0.187578480377314
"26","ZEB_GRHL2_2_1",2,1,2,0.1825,0.2621,0.531262406156198
"27","ZEB_miR200_2_0",2,0,2,0.1489,0.3509,0.540616624091629
"28","ZEB_miR200_2_1",2,1,2,0.0663,0.2868,0.250214253416568
"29","ZEB_SNAIL_0_1",5,0,5,0.7684,0.8033,0.0173583447728854
"30","ZEB_SNAIL_0_2",3,2,3,0.1856,0.3766,0.0582871801170834
"31","ZEB_ZEB_1_0",2,0,2,0.2454,0.3272,0.00582446855640062
"32","ZEB_ZEB_1_2",2,1,2,0.1153,0.1816,0.0543393553640392
"33","GRHL2_GRHL2_0_1",NA,NA,4,0.4891,0.6877,0.0116596983740477
