"","Network","Pos_loops","Neg_loops","pos_cycle","plast","plast_2","JSD"
"1","GRHL2_GRHL2_1_2",3,1,3,0.3712,0.4657,0.0161375604132797
"2","GRHL2_miR200_0_1",5,0,5,0.6811,0.7551,0.0186019335797875
"3","GRHL2_miR200_0_2",4,1,4,0.2788,0.5963,0.0595202392154483
"4","GRHL2_SNAIL_0_1",4,2,4,0.2738,0.5621,0.0478609809245356
"5","GRHL2_SNAIL_0_2",6,0,6,0.7395,0.8054,0.0178374948723832
"6","GRHL2_ZEB_2_0",3,0,3,0.2978,0.5047,0.00658847144283926
"7","GRHL2_ZEB_2_1",3,1,3,0.1913,0.4218,0.0623767923663089
"8","miR200_GRHL2_0_1",5,0,5,0.4977,0.6317,0.0111008585245287
"9","miR200_GRHL2_0_2",4,1,4,0.3972,0.6146,0.0538413401053292
"10","miR200_miR200_0_1",5,0,5,0.6028,0.7623,0.00381745729105211
"11","miR200_miR200_0_2",4,1,4,0.4174,0.6572,0.0266381405031197
"12","miR200_SNAIL_0_1",4,2,4,0.3715,0.6459,0.0129510435513117
"13","miR200_SNAIL_0_2",6,0,6,0.7012,0.8094,0.00440108075841575
"14","miR200_ZEB_2_0",3,0,3,0.4274,0.6458,0.00435800032478932
"15","miR200_ZEB_2_1",3,1,3,0.3152,0.56,0.0328893554040583
"16","SNAIL_GRHL2_0_1",4,0,4,0.4895,0.677,0.0110246848142459
"17","SNAIL_GRHL2_0_2",4,0,4,0.4364,0.5801,0.000997466123235896
"18","SNAIL_miR200_2_0",4,0,4,0.6328,0.7295,0.00688561187500611
"19","SNAIL_miR200_2_1",4,0,4,0.5624,0.7377,0.00422105379679984
"20","SNAIL_SNAIL_0_1",5,0,5,0.4972,0.7154,0.00280426328441721
"21","SNAIL_SNAIL_0_2",4,1,4,0.5158,0.701,0.000107362710292373
"22","SNAIL_ZEB_1_0",4,0,4,0.5663,0.7537,0.000875905223626642
"23","SNAIL_ZEB_1_2",4,0,4,0.5192,0.7126,0.00333512010231705
"24","ZEB_GRHL2_2_0",3,0,3,0.3305,0.5435,0.0603783316099369
"25","ZEB_GRHL2_2_1",3,1,3,0.2185,0.4357,0.236397850941347
"26","ZEB_miR200_2_0",3,0,3,0.2063,0.5548,0.384437551493073
"27","ZEB_miR200_2_1",3,1,3,0.1225,0.5184,0.231233709876925
"28","ZEB_SNAIL_0_1",6,0,6,0.7877,0.8633,0.0145657593455695
"29","ZEB_SNAIL_0_2",4,2,4,0.2435,0.5707,0.0440354170752333
"30","ZEB_ZEB_1_0",3,0,3,0.3378,0.5439,0.00292891428575424
"31","ZEB_ZEB_1_2",3,1,3,0.2146,0.4548,0.0302003275195263
"32","WT",NA,NA,4,0.4931,0.69,0
"33","GRHL2_GRHL2_1_0",NA,NA,3,0.4364,0.551,0.0102742149885729
