"Network","Pos_loops","Neg_loops"
"Ecadherin_Ecadherin_0_2",8,4
"Ecadherin_KEAP1_0_1",8,5
"Ecadherin_KEAP1_0_2",10,3
"Ecadherin_miR200_0_1",10,3
"Ecadherin_miR200_0_2",8,5
"Ecadherin_miR34_0_1",10,3
"Ecadherin_miR34_0_2",8,5
"Ecadherin_NRF2_2_0",8,1
"Ecadherin_NRF2_2_1",10,1
"Ecadherin_SNAIL_0_1",8,5
"Ecadherin_SNAIL_0_2",10,3
"Ecadherin_X_0_1",8,5
"Ecadherin_X_0_2",10,3
"Ecadherin_ZEB_2_0",7,3
"Ecadherin_ZEB_2_1",7,4
"KEAP1_Ecadherin_0_1",10,5
"KEAP1_Ecadherin_0_2",10,5
"KEAP1_KEAP1_0_1",9,3
"KEAP1_KEAP1_0_2",8,4
"KEAP1_miR200_0_1",8,4
"KEAP1_miR200_0_2",9,3
"KEAP1_miR34_0_1",8,5
"KEAP1_miR34_0_2",10,3
"KEAP1_NRF2_2_0",6,3
"KEAP1_NRF2_2_1",6,5
"KEAP1_SNAIL_0_1",10,3
"KEAP1_SNAIL_0_2",8,5
"KEAP1_X_0_1",10,3
"KEAP1_X_0_2",8,5
"KEAP1_ZEB_0_1",10,4
"KEAP1_ZEB_0_2",9,5
"miR200_Ecadherin_0_1",10,5
"miR200_Ecadherin_0_2",10,5
"miR200_KEAP1_2_0",6,3
"miR200_KEAP1_2_1",6,5
"miR200_miR200_0_1",9,3
"miR200_miR200_0_2",8,4
"miR200_miR34_0_1",10,3
"miR200_miR34_0_2",8,5
"miR200_NRF2_0_1",10,3
"miR200_NRF2_0_2",8,5
"miR200_SNAIL_0_1",8,5
"miR200_SNAIL_0_2",10,3
"miR200_X_0_1",8,5
"miR200_X_0_2",10,3
"miR200_ZEB_2_0",6,2
"miR200_ZEB_2_1",7,4
"miR34_Ecadherin_0_1",10,6
"miR34_Ecadherin_0_2",11,5
"miR34_KEAP1_0_1",8,6
"miR34_KEAP1_0_2",11,3
"miR34_miR200_0_1",11,4
"miR34_miR200_0_2",9,6
"miR34_miR34_0_1",9,3
"miR34_miR34_0_2",8,4
"miR34_NRF2_0_1",11,3
"miR34_NRF2_0_2",8,6
"miR34_SNAIL_2_0",5,3
"miR34_SNAIL_2_1",5,6
"miR34_X_0_1",8,6
"miR34_X_0_2",11,3
"miR34_ZEB_0_1",9,5
"miR34_ZEB_0_2",10,4
"NRF2_Ecadherin_0_1",10,4
"NRF2_Ecadherin_0_2",9,5
"NRF2_KEAP1_0_1",8,4
"NRF2_KEAP1_0_2",9,3
"NRF2_miR200_0_1",9,4
"NRF2_miR200_0_2",9,4
"NRF2_miR34_0_1",10,5
"NRF2_miR34_0_2",10,5
"NRF2_NRF2_0_1",9,3
"NRF2_NRF2_0_2",8,4
"NRF2_SNAIL_2_0",6,1
"NRF2_SNAIL_2_1",8,3
"NRF2_X_0_1",10,5
"NRF2_X_0_2",10,5
"NRF2_ZEB_0_1",9,5
"NRF2_ZEB_0_2",10,4
"SNAIL_Ecadherin_0_1",9,5
"SNAIL_Ecadherin_0_2",10,4
"SNAIL_KEAP1_0_1",9,3
"SNAIL_KEAP1_0_2",8,4
"SNAIL_miR200_2_0",6,2
"SNAIL_miR200_2_1",7,4
"SNAIL_miR34_2_0",7,3
"SNAIL_miR34_2_1",7,4
"SNAIL_NRF2_0_1",8,4
"SNAIL_NRF2_0_2",9,3
"SNAIL_SNAIL_2_0",8,2
"SNAIL_SNAIL_2_1",9,2
"SNAIL_X_0_1",9,3
"SNAIL_X_0_2",8,4
"SNAIL_ZEB_1_0",6,2
"SNAIL_ZEB_1_2",7,4
"WT",8,3
"X_Ecadherin_0_1",8,3
"X_Ecadherin_0_2",8,3
"X_KEAP1_0_1",8,3
"X_KEAP1_0_2",8,3
"X_miR200_0_1",8,3
"X_miR200_0_2",8,3
"X_miR34_0_1",8,3
"X_miR34_0_2",8,3
"X_NRF2_0_1",8,3
"X_NRF2_0_2",8,3
"X_SNAIL_1_0",8,3
"X_SNAIL_1_2",8,3
"X_X_0_1",9,3
"X_X_0_2",8,4
"X_ZEB_0_1",8,3
"X_ZEB_0_2",8,3
"ZEB_Ecadherin_2_0",7,1
"ZEB_Ecadherin_2_1",9,2
"ZEB_KEAP1_0_1",10,3
"ZEB_KEAP1_0_2",8,5
"ZEB_miR200_2_0",6,3
"ZEB_miR200_2_1",6,5
"ZEB_miR34_2_0",6,3
"ZEB_miR34_2_1",6,5
"ZEB_NRF2_0_1",8,5
"ZEB_NRF2_0_2",10,3
"ZEB_SNAIL_0_1",10,3
"ZEB_SNAIL_0_2",8,5
"ZEB_X_0_1",10,3
"ZEB_X_0_2",8,5
"ZEB_ZEB_1_0",7,3
"ZEB_ZEB_1_2",7,4
