"Network","Pos_loops","Neg_loops"
"miR145_miR145_0_2",4,2
"miR145_miR200_0_1",5,1
"miR145_miR200_0_2",4,2
"miR145_OCT4_2_0",3,0
"miR145_OCT4_2_1",4,1
"miR145_SNAIL_0_1",4,3
"miR145_SNAIL_0_2",6,1
"miR145_ZEB_2_0",3,1
"miR145_ZEB_2_1",3,2
"miR200_miR145_0_1",5,2
"miR200_miR145_0_2",5,2
"miR200_miR200_0_1",5,1
"miR200_miR200_0_2",4,2
"miR200_OCT4_0_1",5,2
"miR200_OCT4_0_2",5,2
"miR200_SNAIL_0_1",5,3
"miR200_SNAIL_0_2",6,2
"miR200_ZEB_2_0",3,0
"miR200_ZEB_2_1",4,1
"OCT4_miR145_2_0",3,1
"OCT4_miR145_2_1",3,2
"OCT4_miR200_1_0",4,0
"OCT4_miR200_1_2",5,0
"OCT4_OCT4_0_1",5,1
"OCT4_OCT4_0_2",4,2
"OCT4_SNAIL_0_1",6,1
"OCT4_SNAIL_0_2",4,3
"OCT4_ZEB_0_1",5,1
"OCT4_ZEB_0_2",4,2
"SNAIL_miR145_0_1",4,1
"SNAIL_miR145_0_2",4,1
"SNAIL_miR200_2_0",4,1
"SNAIL_miR200_2_1",4,1
"SNAIL_OCT4_0_1",4,1
"SNAIL_OCT4_0_2",4,1
"SNAIL_SNAIL_0_1",5,1
"SNAIL_SNAIL_0_2",4,2
"SNAIL_ZEB_1_0",4,1
"SNAIL_ZEB_1_2",4,1
"WT",4,1
"ZEB_miR145_2_0",3,0
"ZEB_miR145_2_1",4,1
"ZEB_miR200_2_0",3,1
"ZEB_miR200_2_1",3,2
"ZEB_OCT4_0_1",5,2
"ZEB_OCT4_0_2",5,2
"ZEB_SNAIL_0_1",6,1
"ZEB_SNAIL_0_2",4,3
"ZEB_ZEB_1_0",3,1
"ZEB_ZEB_1_2",3,2
