ZEB,miR200,GRHL2,average freq,standard deviation,
100,,,,,
0,1,1,0.364444444,0.020161386,100
1,0,0,0.401388889,0.012028131,100
1,0,1,0.041666667,0.012018504,100
0,1,0,0.056111111,0.015752719,100
1,1,1,0.016111111,0.001924501,100
0,0,1,0.078611111,0.015508361,100
1,1,0,0.031388889,0.013548609,100
0,0,0,0.010277778,0.004276335,100
1000,,,,,
0,1,1,0.362694091,0.012666756,1000
0,0,1,0.066810072,0.003504553,1000
1,1,1,0.022463707,0.002131891,1000
1,0,0,0.395132441,0.007185885,1000
1,0,1,0.0556902,0.012340292,1000
0,0,0,0.011279084,0.001956537,1000
0,1,0,0.054504625,0.006242781,1000
1,1,0,0.031425781,0.001511756,1000
10000,,,,,
1,0,1,0.050468889,0.000132344,10000
0,1,1,0.365647778,0.002680984,10000
1,0,0,0.395667778,0.004522099,10000
0,1,0,0.052782778,0.003101149,10000
1,1,1,0.021718889,0.000781516,10000
0,0,1,0.070836111,0.002456869,10000
1,1,0,0.032739444,0.000947828,10000
0,0,0,0.010138333,0.000227199,10000
100000,,,,,
1,0,1,0.050468889,4.41E-05,100000
0,1,1,0.365647778,0.000893661,100000
1,0,0,0.395667778,0.001507366,100000
0,1,0,0.052782778,0.001033716,100000
1,1,1,0.021718889,0.000260505,100000
0,0,1,0.070836111,0.000818956,100000
1,1,0,0.032739444,0.000315943,100000
0,0,0,0.010138333,7.57E-05,100000
