"Label","Network"
1,"X818143"
2,"X195322"
3,"X523836"
4,"X980940"
5,"X253927"
6,"X1044054"
7,"X471038"
8,"X317055"
9,"X729071"
10,"X621813"
11,"X715387"
12,"X376315"
13,"X597503"
14,"X785862"
15,"X606191"
16,"X769531"
17,"X344061"
18,"X1014510"
19,"X480926"
20,"WT"
21,"X186879"
22,"X208895"
23,"X491055"
24,"X204799"
25,"X359335"
26,"X110079"
27,"X229340"
28,"X999119"
29,"X718710"
30,"X710271"
31,"X679909"
32,"X1035218"
33,"X228861"
34,"X294783"
35,"X618367"
36,"X344047"
37,"X98175"
38,"X679678"
39,"X802783"
40,"X875867"
41,"X453358"
42,"X1043961"
43,"X778177"
44,"X778214"
45,"X606175"
46,"X522029"
47,"X912371"
48,"X479214"
49,"X780091"
50,"X980463"
51,"X818979"
52,"X474847"
53,"X368567"
54,"X344031"
55,"X1035747"
56,"X114623"
57,"X970741"
58,"X712317"
59,"X736759"
60,"X958142"
61,"X474367"
62,"X519886"
63,"X310271"
64,"X517943"
65,"X829246"
66,"X979768"
67,"X850909"
68,"X686775"
69,"X979391"
70,"X97791"
71,"X290495"
72,"X196381"
73,"X976502"
74,"X130301"
75,"X867807"
76,"X1027557"
77,"X355839"
