States,Boolean frequency,RACIPE frequency
"""1001011""",0.075667619047621,0.0811
"""1001010""",0.11601777777777689,0.0716
"""0010101""",0.05497499999999976,0.047
"""1011110""",0.0017450000000000009,0
"""0001010""",0.010541666666666644,0
"""0110101""",0.10769333333333536,0.0754
"""1101010""",0.06002000000000046,0.0466
"""1011011""",0.0037433333333333346,0
"""0110010""",0.00300833333333333,0
"""0110001""",0.015533333333333345,0
"""0110100""",0.11491761904761968,0.082
"""1101110""",0.015323333333333338,0
"""1100010""",0.008926666666666635,0
"""1110010""",0.0010633333333333337,0
"""0110110""",0.02371972222222236,0.174
"""0010010""",0.0201083333333336,0
"""1000010""",0.0071999999999999955,0
"""0111101""",0.002258333333333333,0
"""1001111""",0.0037833333333333334,0
"""0100110""",0.017126666666666727,0.0321
"""0001110""",0.003578333333333333,0
"""0101011""",0.004605000000000006,0.0106
"""0010100""",0.033083333333333034,0
"""1001100""",0.000996666666666666,0
"""1100110""",0.01309166666666661,0.0186
"""0011100""",0.0014900000000000007,0
"""0010111""",0.004258333333333338,0
"""1110001""",0.000998333333333333,0
"""0101010""",0.014281666666666653,0.0348
"""1101011""",0.024440000000000153,0
"""0001011""",0.004504285714285722,0
"""0110000""",0.009673333333333305,0
"""0010001""",0.009046666666666635,0
"""0110111""",0.00829833333333329,0
"""0000011""",0.0007783333333333334,0
"""1110101""",0.004233333333333338,0
"""0010000""",0.003353333333333331,0
"""0101110""",0.009995952380952343,0
"""1001110""",0.01649166666666674,0
"""0011101""",0.004286666666666672,0
"""1011001""",0.007153333333333357,0.0349
"""1001001""",0.05495428571428467,0.1653
"""0111011""",0.0007949999999999998,0
"""1101001""",0.006910000000000018,0
"""0111110""",0.003161666666666664,0
"""0110011""",0.001136666666666667,0
"""0101100""",0.0001533333333333333,0
"""1101100""",0.0006333333333333332,0
"""1101111""",0.0017916666666666665,0
"""1010110""",0.0014116666666666672,0.0257
"""0100011""",0.0024916666666666646,0
"""1000011""",0.004213333333333338,0
"""0100010""",0.0073983333333333305,0
"""1100111""",0.0008599999999999997,0
"""0010110""",0.006141666666666679,0
"""0000110""",0.0034749999999999994,0
"""1111001""",0.0013666666666666666,0
"""1111010""",0.0028133333333333335,0
"""1110100""",0.002626666666666664,0
"""1000001""",0.0023399999999999983,0
"""1111100""",0.0004633333333333333,0
"""0001101""",0.000275,0
"""1001000""",0.0040100000000000005,0
"""0101001""",0.0018283333333333346,0.0269
"""1000110""",0.00554000000000001,0
"""1011010""",0.002753333333333331,0
"""1010001""",0.0024616666666666654,0
"""1100000""",0.00026000000000000003,0
"""1010100""",0.002008333333333333,0.0105
"""0000010""",0.0016400000000000008,0
"""1110110""",0.0046008333333333404,0
"""1100100""",0.00039500000000000006,0
"""0111100""",0.0012842857142857148,0
"""0100101""",0.0004866666666666667,0
"""1101101""",0.0007449999999999999,0
"""0111010""",0.0015650000000000004,0
"""1100011""",0.0014666666666666671,0
"""0001111""",0.0006499999999999999,0
"""1010101""",0.006060000000000013,0.0428
"""0000101""",0.0004666666666666666,0
"""1101000""",0.0013350000000000005,0
"""1000000""",0.00044333333333333334,0
"""1011100""",0.000893333333333333,0
"""0111111""",0.00037000000000000005,0
"""1001101""",0.00282333333333333,0
"""1000111""",0.0006583333333333333,0
"""0010011""",0.0009066666666666663,0
"""1011101""",0.0017000000000000014,0
"""1111011""",0.0013333333333333335,0
"""0001000""",0.00035833333333333333,0
"""0001001""",0.0024659523809523803,0
"""1010010""",0.0004616666666666667,0
"""1111110""",0.0029716666666666646,0
"""0011110""",0.0005016666666666665,0
"""0011111""",0.00052,0
"""0111001""",0.0016966666666666673,0
"""0111000""",0.0004000000000000001,0
"""1011111""",0.00047000000000000004,0
"""1100001""",0.00048166666666666676,0
"""0000111""",0.0003800000000000001,0
"""0011001""",0.0025366666666666645,0.0201
"""1111101""",0.0008033333333333328,0
"""1000101""",0.0005616666666666667,0
"""0101111""",0.0008833333333333332,0
"""1010111""",0.0006833333333333332,0
"""1110111""",0.0010616666666666667,0
"""0011011""",0.0006583333333333331,0
"""0000100""",0.0003166666666666667,0
"""1111111""",0.0003383333333333334,0
"""0100111""",0.0004283333333333333,0
"""1011000""",0.0004916666666666666,0
"""1110011""",0.0002333333333333333,0
"""1010011""",0.00015000000000000004,0
"""0011010""",0.0005249999999999999,0
"""0100100""",0.0003533333333333333,0
"""0000000""",0.0001533333333333333,0
"""0011000""",0.0002333333333333333,0
"""1010000""",0.0003400000000000001,0
"""1110000""",0.00027,0
"""1111000""",0.0003266666666666667,0
"""0100001""",0.00021666666666666666,0
"""1000100""",0.0002666666666666666,0
"""0001100""",5e-05,0
"""0000001""",0.00016166666666666665,0
"""0101000""",0.000175,0
"""1100101""",0.0002333333333333333,0
"""0101101""",0.00017833333333333332,0
"""0100000""",5.333333333333333e-05,0
