States,Boolean frequency,RACIPE frequency
"""0110100""",0.18714666666666332,0.161
"""1001000""",0.007645833333333332,0
"""0010100""",0.06313916666666708,0
"""0110101""",0.09561500000000081,0.1092
"""1001010""",0.09838833333333408,0.1157
"""0111100""",0.005710000000000003,0
"""1001111""",0.00979833333333332,0
"""1001011""",0.15224166666666367,0.1629
"""0011101""",0.0046133333333333365,0.0093
"""0010101""",0.04079277777777769,0.0698
"""1101011""",0.03923666666666647,0
"""1100011""",0.004416666666666672,0
"""1101000""",0.004570000000000001,0
"""0101010""",0.010866666666666643,0.0589
"""1101010""",0.04820416666666644,0.0689
"""0101110""",0.0026416666666666654,0
"""0001010""",0.005801666666666671,0
"""1000001""",0.0008899999999999998,0
"""1000011""",0.005735000000000004,0
"""0010001""",0.005116666666666672,0
"""0110000""",0.00937666666666666,0
"""0101001""",0.0009600000000000001,0
"""1011000""",0.0006416666666666666,0
"""0110001""",0.008808333333333314,0
"""1000010""",0.005603333333333338,0
"""1101001""",0.002675833333333333,0
"""0001011""",0.007708333333333316,0
"""1001110""",0.008876666666666653,0
"""1001001""",0.012678333333333321,0
"""0110111""",0.0008349999999999999,0
"""0101100""",0.00038333333333333334,0
"""0011100""",0.0037366666666666703,0
"""0010000""",0.010858333333333543,0
"""1100000""",0.0008699999999999999,0
"""1011011""",0.005588333333333342,0
"""1100010""",0.008229999999999986,0.0079
"""1011010""",0.003693333333333336,0
"""0000100""",0.0006166666666666666,0
"""1011111""",0.0009916666666666663,0
"""0101011""",0.008834999999999973,0.024
"""1001101""",0.0010533333333333334,0
"""0000011""",0.0013500000000000005,0
"""0111110""",0.0009283333333333333,0
"""0111000""",0.0008666666666666667,0
"""0000010""",0.00165,0
"""0001001""",0.00106,0
"""0001100""",0.0003,0
"""1110100""",0.0061750000000000025,0
"""0100010""",0.004891666666666672,0.0122
"""0111010""",0.001271666666666667,0
"""1111110""",0.0013266666666666663,0
"""1101111""",0.0021249999999999997,0
"""1010101""",0.0050516666666666704,0.0554
"""1101110""",0.005590000000000009,0
"""1010001""",0.0014199999999999998,0
"""1111100""",0.0014933333333333337,0
"""1010100""",0.0046833333333333406,0.0206
"""1110110""",0.0013033333333333336,0
"""0111001""",0.0013000000000000002,0
"""1110101""",0.004145000000000003,0
"""0110110""",0.0028299999999999996,0
"""1101100""",0.0008716666666666665,0
"""0100011""",0.002753333333333332,0.0082
"""0100101""",0.0006333333333333332,0
"""1000110""",0.0017999999999999993,0
"""1010110""",0.0010949999999999998,0
"""0100100""",0.0008516666666666664,0
"""1011110""",0.0010216666666666666,0
"""1111010""",0.002695,0
"""1100110""",0.0032416666666666635,0.0161
"""1110010""",0.0012566666666666668,0
"""1111011""",0.0029216666666666688,0
"""0100000""",0.0009833333333333337,0
"""0000000""",0.0002,0
"""1010000""",0.0008366666666666665,0
"""0011001""",0.001933333333333333,0.0176
"""0011010""",0.0008833333333333334,0
"""1000100""",0.0004,0
"""0010010""",0.0005499999999999997,0
"""0011011""",0.00105,0
"""1110000""",0.0007533333333333333,0
"""1011100""",0.002066666666666666,0.0069
"""0101111""",0.0009916666666666667,0
"""0110010""",0.0020766666666666663,0
"""1100111""",0.001025,0
"""0100110""",0.0024483333333333314,0.0314
"""1001100""",0.0009666666666666668,0
"""1111000""",0.0003166666666666667,0
"""1111001""",0.0012024999999999996,0
"""0111101""",0.0027583333333333314,0
"""1000111""",0.0007283333333333332,0
"""0001111""",0.0006733333333333332,0
"""1101101""",0.0002533333333333334,0
"""0001110""",0.0010233333333333333,0
"""1110011""",0.0007433333333333329,0
"""1111111""",0.0004183333333333334,0
"""0000111""",0.0003633333333333334,0
"""1011101""",0.0023716666666666673,0.0135
"""1111101""",0.0012491666666666667,0
"""1110001""",0.0005049999999999999,0
"""0010011""",0.0004216666666666666,0
"""0010110""",0.0010233333333333333,0
"""1100001""",0.00032,0
"""0110011""",0.0007799999999999998,0
"""0010111""",0.0007266666666666666,0
"""1100101""",0.0001333333333333333,0
"""1011001""",0.0016433333333333343,0.0305
"""1110111""",0.0002666666666666667,0
"""0111111""",0.0004066666666666667,0
"""0111011""",0.001533333333333333,0
"""1010011""",0.0004433333333333333,0
"""1000000""",0.00015,0
"""0000110""",0.000875,0
"""0011110""",0.0003466666666666667,0
"""0011000""",0.00015,0
"""0101101""",0.0001,0
"""1100100""",0.00026333333333333336,0
"""0011111""",0.00028666666666666673,0
"""0100001""",0.00017000000000000007,0
"""0001000""",0.00020555555555555553,0
"""0101000""",0.00055,0
"""0000001""",0.0002,0
"""0000101""",0.00015,0
"""0001101""",0.00028333333333333335,0
"""1010111""",0.0002933333333333334,0
"""0100111""",0.0007499999999999997,0
"""1010010""",0.00039666666666666675,0
"""1000101""",0.00016500000000000003,0
