Boolean,JSD,heatmap,data
 ,GRHL2-GRHL2_0-1,WT,ZEB-miR200_2-1,GRHL2-GRHL2_0-2,miR200-miR200_0-1,miR200-ZEB_2-0,miR200-ZEB_2-1,SNAIL-SNAIL_0-1,ZEB-miR200_2-0,ZEB-ZEB_1-0,ZEB-ZEB_1-2,ZEB-GRHL2_2-0,ZEB-GRHL2_2-1,SNAIL-GRHL2_0-1,SNAIL-GRHL2_0-2,GRHL2-ZEB_2-0,GRHL2-ZEB_2-1,SNAIL-ZEB_1-2,GRHL2-miR200_0-1,GRHL2-SNAIL_0-2,GRHL2-miR200_0-2,GRHL2-SNAIL_0-1,SNAIL-ZEB_0-1,miR200-GRHL2_0-1,SNAIL-ZEB_0-2,SNAIL-ZEB_1-0,miR200-GRHL2_0-2,miR200-miR200_0-2,miR200-SNAIL_0-1,miR200-SNAIL_0-2,SNAIL-miR200_2-0,SNAIL-miR200_2-1
GRHL2-GRHL2_0-1,0.0,0.2183763959007996,0.33774929568064915,0.21852577155370678,0.21825160939997057,0.2181345748254141,0.21952267679482398,0.2184491019686277,0.24307926546149028,0.3136630862428106,0.31366150171104484,4.207683351530652e-05,0.420136136918303,0.01460266551038509,0.06750067757982187,0.3136809249492964,0.31375819325460536,0.21959669370668253,0.31369074769332067,0.3137291612094518,0.2585348336060903,0.22115664945447883,0.21826040612060654,0.22567835848916176,0.21999049170846474,0.21857501726568263,0.006847794168047877,0.31377217376553707,0.31366006671767105,0.22284645710586265,0.3136620690586995,0.21929084637069773
WT,0.2183763959007996,0.0,0.17243680086778929,3.563815769125117e-05,4.039955107473401e-05,0.0001389458468706987,0.004250035402076434,4.266465775523286e-05,0.04080304447645651,0.10055886665850017,0.1005313660484527,0.22055697984990413,1.0,0.14062957223932834,0.06552523681584668,0.1005299342414122,0.10058991030493367,0.004303245395486072,0.10053513188505556,0.10056395787582598,0.06304299822476178,0.007146443457338567,1.908850791938635e-05,0.006122437436634218,0.00501651172691992,9.274905315031622e-05,0.18416224976484022,0.1006031155035196,0.10054326076391616,0.01001578182669706,0.10053040323445024,0.0037248382317577166
ZEB-miR200_2-1,0.33774929568064904,0.1724368008677893,0.0,0.17465738920045232,0.16846404791625968,0.1641504563017483,0.1258583024786059,0.1729713363690137,0.04849341429482943,0.4517261462788714,0.4517318324283119,0.34151759669386555,1.0,0.24444970878371353,0.2590510065925993,0.45175422872225923,0.4518254596472785,0.12514413733725666,0.45176394407596804,0.4517996255873218,0.029115010802662874,0.11280291494477587,0.16920838035226904,0.23608680499135432,0.12169049080213791,0.1745514976903601,0.26258299556926745,0.45183770770208903,0.45172697066522094,0.10271944716394865,0.45173273716698825,0.12815815075787113
GRHL2-GRHL2_0-2,0.21852577155370678,3.563815769125117e-05,0.17465738920045235,0.0,8.2049782328585e-05,0.00022969781398899736,0.00474885713916714,3.6498715383508984e-05,0.04200558007539647,0.09912827747823186,0.09906856838843066,0.22069953878526605,1.0,0.14096363816031748,0.06528556428009942,0.09903205015832556,0.09903584614362584,0.004694297216687914,0.09902702383734627,0.09902666167925192,0.06443805298966462,0.007681919575746208,7.001902869851898e-05,0.005756429384202672,0.005415037232528888,3.436613171058436e-05,0.18469935926123066,0.09904187563267966,0.09909802581745664,0.010631400473129524,0.09906541116018264,0.004094499306810419
miR200-miR200_0-1,0.21825160939997057,4.039955107473396e-05,0.16846404791625968,8.2049782328585e-05,0.0,3.742232996571844e-05,0.0036480296880881235,4.273791811712003e-05,0.03878820880865737,0.1033438835098219,0.1033150538498552,0.2204644544047747,1.0,0.14007093705762158,0.06599476194653835,0.10331207890295366,0.10336937600682666,0.0036775468155823554,0.10331680811983987,0.10334425006644044,0.060538858682338326,0.006363270505026202,1.5995397164776963e-05,0.0069815088857335655,0.0043278263259850635,9.614970261144625e-05,0.18345545307256478,0.10338222050348073,0.10332768363529965,0.009020528562394142,0.10331399744162245,0.003118195730261737
miR200-ZEB_2-0,0.2181345748254141,0.00013894584687069913,0.1641504563017483,0.00022969781398899736,3.742232996571844e-05,0.0,0.002975845993055134,0.00014349300086268814,0.03660671266137507,0.10640781305871833,0.10639561265078883,0.22037549915206467,1.0,0.1395208733705848,0.06658487334724925,0.10641067456562878,0.10649668131526989,0.0030476467695712524,0.10642064420618971,0.10646300854223208,0.05786227191975426,0.005520138237188884,7.139450922795387e-05,0.007946689998600206,0.003645802193008028,0.00023207239373397017,0.18265137727887676,0.10651317760156946,0.10639918330849919,0.007976558412035447,0.10639568672021237,0.002522062180497808
miR200-ZEB_2-1,0.219522676794824,0.004250035402076436,0.1258583024786059,0.004748857139167142,0.0036480296880881252,0.0029758459930551333,0.0,0.004417740852430303,0.019173364240217608,0.13776234783913163,0.13780550273784187,0.22202061484845337,1.0,0.13711289865209858,0.07513125564683995,0.13787988681569585,0.13805874276057578,0.00015627060925521748,0.1379069498373817,0.13799763368136522,0.035500924550390785,0.0005324282693936156,0.003745064130455211,0.020203130218119467,0.00024178569027411695,0.004797295356869008,0.17746730298327715,0.13808690819514355,0.13777899559539153,0.0013408927245205891,0.13780931697836923,0.00012325117203768055
SNAIL-SNAIL_0-1,0.2184491019686277,4.266465775523286e-05,0.1729713363690137,3.649871538350882e-05,4.273791811712003e-05,0.00014349300086268814,0.004417740852430303,0.0,0.04110289373800377,0.10021071120007463,0.1001839012888892,0.22063327345404232,1.0,0.14071991036272385,0.06545912428224009,0.10018323458358026,0.1002444634135173,0.0044605374975388145,0.10018865767026237,0.10021813349325469,0.06338182786697913,0.007390355718485033,6.931717458744319e-05,0.006075807914329394,0.005164975760583404,1.9138006503142675e-05,0.18443984070429298,0.10025783108951222,0.10019541799951537,0.010188457548125845,0.10018298593835404,0.003824775407734486
ZEB-miR200_2-0,0.24307926546149028,0.040803044476456524,0.04849341429482943,0.04200558007539647,0.03878820880865737,0.03660671266137508,0.01917336424021761,0.04110289373800376,0.0,0.23780231876950023,0.23782550545315917,0.24618822104116733,1.0,0.1533190100661036,0.12052937867353891,0.23787464185128707,0.23800544322653938,0.01895696990381095,0.23789365993769557,0.23795966306309868,0.0025675412112869597,0.01420228293216812,0.03916580196736348,0.07687790951667384,0.01759994416281248,0.041973774108713016,0.18606323108604042,0.23802679174027735,0.23781026657724416,0.010601456887731661,0.23782784762174475,0.02015175291807441
ZEB-ZEB_1-0,0.3136630862428106,0.10055886665850017,0.4517261462788714,0.09912827747823186,0.1033438835098219,0.10640781305871833,0.1377623478391316,0.10021071120007463,0.2378023187695002,0.0,1.3966414634124149e-05,0.3141384798615199,1.0,0.2627477448172915,0.13747047219151864,6.105669241608744e-05,0.00020603669483748328,0.13849117460345256,8.105267324033097e-05,0.00015376820202985236,0.28072408619939987,0.1505012752250734,0.10283317707608042,0.06326191386667374,0.14177426121527503,0.0992192220086647,0.31591285771624333,0.00023074995796432823,2.8857539955226986e-06,0.1609342322763871,1.5935776773848276e-05,0.1356360216556185
ZEB-ZEB_1-2,0.31366150171104484,0.1005313660484527,0.4517318324283119,0.09906856838843066,0.1033150538498552,0.10639561265078881,0.13780550273784187,0.1001839012888892,0.23782550545315917,1.3966414634124149e-05,0.0,0.3141411595285294,1.0,0.26272354842401185,0.1374421647126025,1.6619913351118313e-05,0.00011272088200376014,0.13844256968037177,2.7728866180830487e-05,7.50528224266675e-05,0.2807032719552922,0.15046266096752525,0.10279766667884571,0.06325976467850694,0.1417136662034414,0.09916860436236113,0.3158935309288462,0.0001311830020892333,4.1551578418730795e-06,0.16092506204306767,6.492236923901591e-08,0.1356105626971419
ZEB-GRHL2_2-0,4.207683351530652e-05,0.22055697984990413,0.34151759669386555,0.22069953878526602,0.2204644544047747,0.22037549915206467,0.22202061484845334,0.22063327345404232,0.24618822104116733,0.3141384798615199,0.3141411595285294,0.0,0.41706734846190846,0.015463760967634941,0.06857372544820031,0.31416521722564583,0.31424988299920836,0.22211592722360968,0.3141763883209917,0.3142186460197806,0.26183365205625386,0.22375962668083166,0.22046481314410182,0.22741447739647933,0.22253833449128008,0.22075460922608348,0.007506699128757174,0.31426480632302545,0.31413740051931066,0.2255272275182227,0.314142017057941,0.22178859666915776
ZEB-GRHL2_2-1,0.420136136918303,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.41706734846190846,0.0,0.550562380922518,0.7229949459850681,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4814836005369292,1.0,1.0,1.0,1.0,1.0
SNAIL-GRHL2_0-1,0.014602665510385086,0.14062957223932834,0.24444970878371353,0.14096363816031748,0.14007093705762158,0.13952087337058483,0.1371128986520986,0.14071991036272385,0.1533190100661036,0.2627477448172915,0.26272354842401185,0.015463760967634941,0.5505623809225179,0.0,0.029912256893984808,0.2627201180210116,0.2627646743690578,0.13702969578990842,0.26272363138073107,0.26274490411248075,0.16708856010120615,0.13740577665261114,0.14017341054370988,0.15464757526854972,0.1370619577617697,0.14097651707514647,0.004393011408190751,0.2627748221310469,0.26273424990655037,0.1380924896592835,0.26272263198824425,0.13702157989275918
