States,Boolean frequency,RACIPE frequency
"""0110100""",0.1370077777777753,0.129
"""0010100""",0.04572166666666651,0
"""1101111""",0.0035016666666666672,0
"""1001011""",0.12028999999999762,0.1302
"""1001010""",0.09947595238095323,0.0261
"""1000000""",0.00055,0
"""1101010""",0.050321666666666404,0.0686
"""1000010""",0.004942619047619051,0
"""1101011""",0.03229999999999992,0
"""1100001""",0.00042333333333333323,0
"""1010100""",0.004245000000000005,0.024
"""0110000""",0.02241166666666672,0
"""1001001""",0.009711666666666653,0
"""0010101""",0.0400399999999999,0.0628
"""0110101""",0.07754222222222289,0.0241
"""1100010""",0.006507777777777781,0.0109
"""1110110""",0.002278333333333332,0
"""1001110""",0.027929999999999882,0.1201
"""0001111""",0.0005966666666666665,0
"""0010001""",0.026333333333333372,0
"""0110001""",0.043951111111111,0.1145
"""1001111""",0.01661833333333337,0
"""1001000""",0.0064533333333333335,0
"""0101010""",0.012586666666666644,0.0354
"""0001010""",0.006566666666666664,0
"""0101110""",0.007399999999999992,0.0236
"""1110101""",0.0037955555555555585,0
"""1110010""",0.00127,0
"""0000110""",0.002491666666666665,0
"""0001011""",0.005375000000000004,0
"""0011001""",0.0029900000000000005,0.0167
"""1101110""",0.01660500000000007,0
"""0111110""",0.0013833333333333336,0
"""0011100""",0.0034166666666666672,0
"""1011010""",0.0033283333333333333,0
"""1110011""",0.0003650000000000001,0
"""0100011""",0.0025150000000000003,0.0089
"""1010001""",0.003554444444444448,0.0214
"""1000011""",0.005596666666666671,0
"""1101001""",0.0023799999999999997,0
"""0010000""",0.011918333333333184,0
"""0011101""",0.003154999999999999,0.0077
"""0110110""",0.004301666666666673,0
"""1000111""",0.0014833333333333335,0
"""1100011""",0.003915000000000002,0
"""0111001""",0.003466666666666667,0
"""0100100""",0.001941666666666666,0
"""1011011""",0.005915000000000005,0
"""1001101""",0.0014666666666666667,0
"""0101011""",0.005480000000000005,0.0263
"""1111101""",0.0009666666666666668,0
"""1101000""",0.003593333333333336,0
"""1000110""",0.0043250000000000025,0
"""1100110""",0.007634444444444428,0.0167
"""1111010""",0.002727777777777778,0
"""0111100""",0.003093333333333332,0
"""0000010""",0.0012500000000000005,0
"""0101001""",0.0007616666666666664,0
"""1011100""",0.0014600000000000004,0.0084
"""0001001""",0.0009233333333333333,0
"""1010101""",0.004835000000000004,0.0388
"""1010000""",0.0004166666666666667,0
"""0101000""",0.0008849999999999999,0
"""0011011""",0.0008066666666666661,0
"""0001110""",0.003051666666666665,0
"""1111110""",0.0025583333333333313,0
"""0111101""",0.0035416666666666687,0
"""1001100""",0.002316666666666666,0
"""0100010""",0.004691666666666671,0.0063
"""1110001""",0.0027105555555555546,0
"""1110000""",0.000825,0
"""0100101""",0.00035000000000000005,0
"""0101100""",0.000825,0
"""1100100""",0.0007933333333333332,0
"""1011000""",0.0006833333333333333,0
"""0100110""",0.006308333333333341,0.0359
"""0000100""",0.00055,0
"""0010110""",0.0012600000000000003,0
"""1000101""",0.00030000000000000003,0
"""1000001""",0.000275,0
"""0001101""",0.00018333333333333334,0
"""0100000""",0.0005666666666666666,0
"""1111011""",0.002840000000000004,0
"""1010010""",0.0006299999999999998,0
"""0110010""",0.0011333333333333336,0
"""0101111""",0.001291666666666667,0
"""1110100""",0.004006666666666671,0
"""1011110""",0.0017099999999999997,0
"""0000001""",0.0004033333333333334,0
"""0101101""",0.0002666666666666667,0
"""1100000""",0.0003,0
"""1011001""",0.0029433333333333317,0.0361
"""1101100""",0.0014700000000000004,0
"""1101101""",0.00015,0
"""1011111""",0.0009233333333333333,0
"""1010110""",0.0012216666666666671,0
"""0111010""",0.0010700000000000002,0
"""1111111""",0.0004333333333333333,0
"""0010011""",0.0008847619047619047,0
"""0010111""",0.00022333333333333333,0
"""1100111""",0.0010000000000000002,0
"""1111100""",0.0008333333333333332,0
"""0011010""",0.0004333333333333333,0
"""0011111""",0.0003166666666666667,0
"""0100111""",0.0005333333333333333,0
"""0111111""",0.00018333333333333334,0
"""0111000""",0.0006666666666666665,0
"""1011101""",0.0019549999999999997,0.0075
"""0000011""",0.0002666666666666667,0
"""0110011""",0.001238333333333333,0
"""0011110""",0.0006083333333333333,0
"""0110111""",0.0006933333333333331,0
"""0011000""",0.0004999999999999999,0
"""1111001""",0.0010416666666666664,0
"""0010010""",0.00037500000000000006,0
"""1100101""",0.0001333333333333333,0
"""0001100""",0.00035,0
"""1000100""",0.0004,0
"""0001000""",0.0001,0
"""1010111""",0.0003966666666666667,0
"""0111011""",0.0006066666666666662,0
"""1010011""",0.00042333333333333334,0
"""1111000""",0.00039666666666666675,0
"""0100001""",0.00035,0
"""1110111""",0.0003933333333333334,0
"""0000111""",0.0001333333333333333,0
"""0000101""",0.00015,0
"""0000000""",3.333333333333333e-05,0
