States,Boolean frequency,RACIPE frequency
"""1111010""",0.0023416666666666677,0
"""1101011""",0.031916666666666586,0
"""1001011""",0.12390333333333106,0.1936
"""1001010""",0.09818333333333414,0.0902
"""0101010""",0.01582666666666669,0.0343
"""1001000""",0.004951666666666669,0
"""0100010""",0.003910000000000004,0
"""0110101""",0.09419833333333416,0.093
"""1101111""",0.0024783333333333333,0
"""0010100""",0.0448583333333332,0
"""0110100""",0.13723499999999714,0.1876
"""0010101""",0.05241833333333335,0.1017
"""0011100""",0.0016766666666666666,0
"""0101000""",0.0011500000000000002,0
"""0001011""",0.014693333333333348,0
"""1101010""",0.05167499999999982,0.0963
"""0011011""",0.0009966666666666665,0
"""0001010""",0.016011666666666678,0
"""1000010""",0.005551666666666669,0
"""1101001""",0.0026399999999999996,0
"""1000011""",0.004756666666666669,0
"""1000110""",0.005553333333333339,0
"""1100110""",0.009768333333333306,0.0557
"""1110101""",0.01136666666666664,0
"""1011011""",0.005168333333333341,0
"""1010101""",0.0123883333333333,0.037
"""0010110""",0.0013183333333333337,0
"""0111100""",0.002349999999999999,0
"""1001001""",0.010351666666666648,0
"""1010011""",0.0007566666666666664,0
"""1011001""",0.002715,0.0293
"""0100110""",0.008201666666666647,0.0305
"""0001001""",0.0011966666666666666,0
"""1111011""",0.0021250000000000045,0
"""1010000""",0.00085,0
"""0101011""",0.009269999999999973,0
"""1100010""",0.006251666666666669,0
"""0010001""",0.01032166666666665,0
"""1000000""",0.00055,0
"""0110110""",0.00460833333333334,0
"""1001110""",0.014638333333333357,0
"""1110100""",0.011106666666666648,0
"""0000011""",0.0013916666666666667,0
"""0001000""",0.0010766666666666667,0
"""0011001""",0.0026933333333333323,0.0508
"""1101110""",0.015773333333333386,0
"""0000110""",0.0021833333333333327,0
"""0111101""",0.0030850000000000005,0
"""1001111""",0.006393333333333338,0
"""1110010""",0.001313333333333333,0
"""0000010""",0.0016666666666666663,0
"""0100100""",0.0007916666666666666,0
"""0110011""",0.0004499999999999998,0
"""1010100""",0.007139999999999983,0
"""1101100""",0.0016866666666666666,0
"""0110001""",0.012883333333333314,0
"""0110000""",0.012666666666666649,0
"""1100000""",0.0005099999999999999,0
"""1111110""",0.002316666666666665,0
"""0101110""",0.008439999999999977,0
"""1001100""",0.0012916666666666667,0
"""0001110""",0.0040333333333333376,0
"""1111000""",0.00056,0
"""0011000""",0.0005699999999999999,0
"""1100011""",0.002008333333333333,0
"""1100100""",0.0010416666666666669,0
"""1101101""",0.0003933333333333334,0
"""0100011""",0.0017699999999999999,0
"""1110110""",0.0027483333333333335,0
"""1101000""",0.004250000000000002,0
"""1011010""",0.0021866666666666675,0
"""1000100""",0.0006,0
"""1000111""",0.0014166666666666668,0
"""0110010""",0.0006166666666666665,0
"""0010000""",0.003996666666666669,0
"""1100101""",0.00023333333333333336,0
"""0101001""",0.0012500000000000002,0
"""0010011""",0.00018333333333333334,0
"""0000101""",0.0006,0
"""1111100""",0.0013066666666666667,0
"""0111110""",0.0018433333333333327,0
"""0000100""",0.00065,0
"""1010010""",0.0006166666666666666,0
"""1011101""",0.002686666666666668,0
"""0111011""",0.0006833333333333333,0
"""1110000""",0.0015933333333333333,0
"""1010001""",0.003219999999999998,0
"""1000101""",0.0005533333333333331,0
"""0100111""",0.001116666666666667,0
"""1000001""",0.0005333333333333333,0
"""1011100""",0.0015333333333333336,0
"""0101101""",0.0003633333333333334,0
"""1011000""",0.0004166666666666667,0
"""1011110""",0.0015683333333333335,0
"""1110001""",0.002701666666666668,0
"""0101100""",0.0007166666666666666,0
"""0011101""",0.0040633333333333355,0
"""1111001""",0.0008899999999999993,0
"""0000111""",0.00061,0
"""0011010""",0.00047333333333333315,0
"""0001100""",0.00025,0
"""0001111""",0.0011333333333333332,0
"""1110011""",0.0004449999999999999,0
"""1100001""",0.0002533333333333334,0
"""0000001""",0.00038333333333333334,0
"""0111000""",0.0006,0
"""1010110""",0.0015433333333333336,0
"""0101111""",0.0010500000000000004,0
"""0111010""",0.0015166666666666672,0
"""0001101""",0.00038000000000000013,0
"""1100111""",0.0009583333333333336,0
"""0100101""",0.00055,0
"""0000000""",0.00016,0
"""0100000""",0.0003333333333333333,0
"""0111001""",0.0014750000000000002,0
"""0110111""",0.000966666666666666,0
"""0100001""",0.0002083333333333333,0
"""0011110""",0.0005416666666666664,0
"""1111101""",0.00125,0
"""1010111""",0.00031000000000000005,0
"""1001101""",0.0005049999999999997,0
"""1111111""",0.0004599999999999998,0
"""0010111""",0.0005049999999999999,0
"""0011111""",0.0003233333333333334,0
"""1011111""",0.0005033333333333332,0
"""1110111""",0.0005166666666666664,0
"""0111111""",0.00021333333333333333,0
"""0010010""",8.333333333333333e-05,0
