"States","Method","Frequency"
"""011""","RACIPE",0.391483333333336
"""001""","RACIPE",0.0597000000000001
"""100""","RACIPE",0.432124999999995
"""010""","RACIPE",0.0318999999999999
"""000""","RACIPE",0.0104833333333333
"""110""","RACIPE",0.0384583333333332
"""111""","RACIPE",0.0217666666666667
"""101""","RACIPE",0.0140833333333334
"""011""","Boolean",0.4068
"""001""","Boolean",0.0933
"""100""","Boolean",0.4061
"""010""","Boolean",0
"""000""","Boolean",0
"""110""","Boolean",0.0938
"""111""","Boolean",0
"""101""","Boolean",0
