States,RACIPE frequency,Boolean frequency
"""011100""",0.008816666666666657,0.08350114109276413
"""101011""",0.005683333333333338,0
"""101100""",0.022321666666666684,0
"""011010""",0.002436666666666667,0
"""010110""",0.044223333333333247,0
"""010010""",0.06501861111111136,0
"""100110""",0.01872500000000002,0
"""001000""",0.019250000000000024,0
"""110010""",0.06340666666666692,0
"""111001""",0.021711666666666705,0
"""010011""",0.02123976190476193,0
"""110011""",0.022290000000000025,0
"""011101""",0.022962500000000014,0
"""110111""",0.022960000000000022,0
"""110110""",0.04676428571428562,0
"""001010""",0.004412500000000002,0
"""101101""",0.05523666666666687,0
"""111101""",0.02588666666666673,0
"""001001""",0.04629666666666654,0
"""101000""",0.021566666666666682,0
"""001111""",0.007087499999999991,0
"""100010""",0.026744999999999963,0
"""001101""",0.05256666666666672,0
"""111010""",0.002999999999999999,0
"""101001""",0.04906333333333321,0
"""000110""",0.016833333333333343,0
"""011110""",0.0038066666666666704,0
"""000101""",0.005073333333333335,0
"""111111""",0.005755000000000002,0
"""011001""",0.0211516666666667,0
"""001110""",0.00646166666666667,0
"""000010""",0.024105000000000022,0
"""111000""",0.008373809523809513,0
"""000100""",0.002953333333333333,0
"""100101""",0.004791666666666668,0
"""010111""",0.020327460317460334,0
"""101111""",0.007263333333333326,0.07222445965901464
"""100011""",0.009716666666666665,0.08591757282856759
"""011000""",0.008983333333333328,0
"""100111""",0.008958333333333329,0
"""110101""",0.007288333333333319,0
"""001100""",0.022321666666666688,0
"""101010""",0.0043650000000000026,0
"""010001""",0.009733333333333307,0
"""100001""",0.005625000000000003,0
"""011111""",0.004223333333333339,0
"""010101""",0.005738333333333338,0
"""100000""",0.0030333333333333328,0
"""000011""",0.010119999999999988,0
"""111011""",0.0031183333333333328,0
"""101110""",0.006616666666666659,0
"""010000""",0.00381666666666667,0.07490938380990737
"""110001""",0.009036666666666643,0
"""111100""",0.008253571428571423,0
"""000111""",0.007216666666666657,0
"""010100""",0.004466666666666668,0
"""110000""",0.0036000000000000016,0
"""000001""",0.005113333333333336,0
"""110100""",0.003806666666666669,0
"""111110""",0.004186666666666669,0
"""001011""",0.005370000000000004,0
"""011011""",0.0038400000000000027,0.3421935830312794
"""100100""",0.002149999999999999,0.34125385957846693
"""000000""",0.0027333333333333324,0
