Boolean,JSD,heatmap,data
 ,OVOL-ZEB_2-1,TGFB-SNAIL_1-2,ZEB-ZEB_1-2,ZEB-miR34_2-0,ZEB-OVOL_2-0,ZEB-miR200_2-0,SNAIL-miR34_2-0,SNAIL-ZEB_1-2,miR34-SNAIL_2-0,SNAIL-SNAIL_2-0,WT,OVOL-ZEB_2-0,ZEB-miR200_2-1,miR200-ZEB_2-1,OVOL-OVOL_2-0,ZEB-OVOL_2-1,ZEB-ZEB_1-0,SNAIL-miR34_2-1,Wg-OVOL_2-1,OVOL-OVOL_2-1,miR200-ZEB_2-0,SNAIL-miR200_2-0,SNAIL-SNAIL_2-1,SNAIL-miR200_2-1,SNAIL-ZEB_1-0,miR34-SNAIL_2-1,ZEB-miR34_2-1
OVOL-ZEB_2-1,0.0,0.04897749661597065,0.04104526445443457,0.10756579717528959,0.05901634581649559,0.19239597949037432,0.10408854933277774,0.04975637797465632,0.20612559239163142,0.11244044776259556,0.050233484251390584,0.012473889705454627,0.44569098613742986,0.07730828985215733,0.05177082259208515,0.17484943040142237,0.042200898769833066,0.10418551552194688,0.05217397164876236,0.04746392022462473,0.08157206004966838,0.02126192268470086,0.10774090218293904,0.14271848633878279,0.05419274501344967,1.0,0.22919698074083106
TGFB-SNAIL_1-2,0.04897749661597066,0.0,0.05726340188136966,0.04617321224690078,0.03908083212010462,0.10143769007586462,0.12458169147475373,0.018734381911566136,0.16662946535189285,0.05599643356009676,0.00046055417619526254,0.03569220124808681,0.35148810146597065,0.0387014107135189,0.00044115377991779453,0.19565110692871757,0.05749836280299378,0.1246160277380042,0.0006027121803186652,0.005918841491181216,0.02662696828248908,0.04226438849263379,0.051627276245108086,0.15851626650560535,0.002041690632182241,1.0,0.14939817988430815
ZEB-ZEB_1-2,0.04104526445443457,0.05726340188136966,0.0,0.14235780517152435,0.1144478790260614,0.14832659833934786,0.06482784430767824,0.08804993070542193,0.2151382818134976,0.12850377629799387,0.056963969312073565,0.02711644165632115,0.41976535520243574,0.06501980280258848,0.059146932479271344,0.28181860832872907,0.00015278868233321863,0.06525665870545316,0.061753490289150274,0.07437768646014725,0.038160629050326265,0.04243050827546932,0.12201027265465872,0.16868600647871015,0.061628801522921745,1.0,0.28184951015880766
ZEB-miR34_2-0,0.10756579717528958,0.04617321224690079,0.14235780517152438,0.0,0.08522004367099906,0.2183823897215198,0.2788488939383027,0.042643244923124074,0.20748148987329673,0.07723593487135123,0.04489731562356558,0.096401036110533,0.41367549320714525,0.11723851234388605,0.045801761734593986,0.2343027117661959,0.1423609866296556,0.27906990893132266,0.04455007881633766,0.05064066553860486,0.11314059232535531,0.06422554499641037,0.0753815961117576,0.15584913087751145,0.03238471172600245,1.0,0.032579280003358316
ZEB-OVOL_2-0,0.059016345816495584,0.0390808321201046,0.11444787902606142,0.08522004367099906,0.0,0.16130000017931195,0.14988591214527563,0.0620988851410618,0.19614353033335583,0.09250043855100809,0.041015911104996236,0.0522848072038597,0.3965774580621746,0.10000024873772045,0.03957573275464349,0.0642229918573965,0.11693533882667341,0.14933726480914505,0.03912940614599153,0.016180306239485673,0.0944062267189558,0.06616601673824649,0.0896980143847377,0.18265036049150823,0.049714842662636705,1.0,0.18802997397295368
ZEB-miR200_2-0,0.19239597949037435,0.1014376900758646,0.14832659833934786,0.21838238972151974,0.16130000017931195,0.0,0.09578296669520331,0.12971027573855629,0.25429402714454197,0.16543365964075274,0.10149842333325429,0.17786668943100103,0.26510816695913136,0.06412324861945128,0.09838407600735068,0.3329170296592024,0.14846123548329296,0.0959397748215019,0.10016723612568439,0.11382769846437556,0.05773204118205327,0.22159569905607474,0.1596516834423288,0.3404015668412908,0.11689224795543454,1.0,0.3509621180750212
SNAIL-miR34_2-0,0.10408854933277772,0.12458169147475372,0.06482784430767824,0.2788488939383027,0.14988591214527563,0.09578296669520332,0.0,0.17312084422766894,0.2717841199702957,0.209892702721309,0.12693382363009886,0.09006474582272961,0.389859428601009,0.1109981338285144,0.12698165829942248,0.2768979026261784,0.06577371312025458,0.0001279910785885927,0.12889676897803556,0.13024648730915492,0.0835195895260329,0.14171752610633215,0.20263770475498818,0.2785671821720537,0.14635047825513803,1.0,0.4595208914772147
SNAIL-ZEB_1-2,0.04975637797465632,0.01873438191156614,0.08804993070542193,0.042643244923124074,0.06209888514106181,0.12971027573855629,0.17312084422766894,0.0,0.18219206783438605,0.06715667150835286,0.018196479147719144,0.06392146411247884,0.3628795283053396,0.032251214393156334,0.018295123244163044,0.22147006864884108,0.08817800488762123,0.17321768512913452,0.018424649622335393,0.02565553507534026,0.052023581415684673,0.061410419346039025,0.0635661596208334,0.16942960173345617,0.016754534082457247,1.0,0.1273031776282474
miR34-SNAIL_2-0,0.20612559239163145,0.16662946535189288,0.2151382818134976,0.20748148987329673,0.19614353033335585,0.25429402714454197,0.2717841199702957,0.18219206783438605,0.0,0.05264127682052306,0.16686578361357068,0.19611736665751212,0.45100724526345143,0.19861347987821218,0.1668676019178182,0.322457760999462,0.21555191137540652,0.2719678068987234,0.1669871368116458,0.17045855560878476,0.18893766171937798,0.20294189989692382,0.05516002205068943,0.29435059964602694,0.16910168030387235,0.4999235877909297,0.2954506307946785
SNAIL-SNAIL_2-0,0.11244044776259554,0.05599643356009676,0.12850377629799387,0.07723593487135123,0.09250043855100809,0.16543365964075277,0.20989270272130903,0.06715667150835286,0.05264127682052304,0.0,0.055944809220019334,0.10088275094066543,0.38511962121993343,0.09912458691814008,0.055565310318710814,0.239706300908119,0.1288918846558031,0.2100150973283398,0.05522934151397102,0.06033749112420034,0.09170249149168636,0.09851195091693617,0.0004166681218704271,0.200669558079126,0.05429046773443269,0.7662683131918911,0.15675340260121315
WT,0.050233484251390584,0.00046055417619526233,0.05696396931207356,0.04489731562356558,0.04101591110499625,0.10149842333325428,0.12693382363009886,0.018196479147719144,0.16686578361357068,0.05594480922001933,0.0,0.037280530352073446,0.35047464338425094,0.03768128328890266,0.000280915421190586,0.19939602406361942,0.057330671009853826,0.12715564705069532,0.000784009036724402,0.006813165372557565,0.025699308915538514,0.04300199487250639,0.051685652249167914,0.15885492137586688,0.002166190450518435,1.0,0.14750727262913044
OVOL-ZEB_2-0,0.012473889705454624,0.03569220124808681,0.027116441656321145,0.09640103611053297,0.0522848072038597,0.17786668943100103,0.09006474582272961,0.06392146411247884,0.1961173666575121,0.10088275094066543,0.037280530352073446,0.0,0.4370410482363268,0.08950707628310324,0.03902413581749557,0.17720308459868706,0.02786982530821435,0.09014883930326678,0.03906851676976815,0.0365661092441062,0.06718061371311658,0.009078409566660646,0.09596708170949811,0.13224664928478086,0.040680498751575256,1.0,0.22003326592129788
ZEB-miR200_2-1,0.44569098613742986,0.3514881014659706,0.41976535520243574,0.4136754932071452,0.39657745806217465,0.26510816695913136,0.389859428601009,0.3628795283053396,0.4510072452634515,0.38511962121993343,0.3504746433842509,0.43704104823632683,0.0,0.3209849373420952,0.3476822771165824,0.5212206465898785,0.4198077055157169,0.39023327327080554,0.34883566888509776,0.35927257808415175,0.3247995401148803,0.46256583320061434,0.38159624759754107,0.24770519370734911,0.3599234396217911,1.0,0.4873357866785705
miR200-ZEB_2-1,0.07730828985215733,0.0387014107135189,0.06501980280258848,0.11723851234388603,0.10000024873772047,0.06412324861945128,0.11099813382851438,0.032251214393156334,0.1986134798782122,0.09912458691814008,0.03768128328890267,0.08950707628310325,0.3209849373420952,0.0,0.0369163277540172,0.27757348191823944,0.06509534386093449,0.11106593820207768,0.03982505409153771,0.05335034634161999,0.016157643441615896,0.10996007830341703,0.09348199864967824,0.2278264668584156,0.04451617999470473,1.0,0.23686256038168063
OVOL-OVOL_2-0,0.05177082259208516,0.00044115377991779355,0.059146932479271344,0.04580176173459399,0.03957573275464349,0.09838407600735068,0.1269816582994225,0.018295123244163047,0.1668676019178182,0.0555653103187108,0.0002809154211905864,0.03902413581749557,0.3476822771165824,0.0369163277540172,0.0,0.19658702749563328,0.05970970696306268,0.1270950979317759,0.00041302913994489127,0.00604716170943664,0.025697489777952366,0.04545064127532162,0.051455773776220126,0.16149433161515228,0.0023233838413858365,1.0,0.14820416753866977
ZEB-OVOL_2-1,0.17484943040142237,0.19565110692871757,0.28181860832872907,0.23430271176619588,0.0642229918573965,0.33291702965920245,0.2768979026261784,0.2214700686488411,0.32245776099946194,0.239706300908119,0.19939602406361945,0.17720308459868706,0.5212206465898783,0.2775734819182395,0.19658702749563334,0.0,0.28681508167433833,0.27597792014311273,0.1953239371373027,0.14028638659841258,0.27997329428903245,0.19764925515929044,0.2387204460238678,0.3011254895731158,0.21500473701690936,1.0,0.3222679891322212
ZEB-ZEB_1-0,0.04220089876983307,0.05749836280299378,0.00015278868233321928,0.1423609866296556,0.11693533882667341,0.14846123548329299,0.06577371312025458,0.08817800488762123,0.21555191137540658,0.1288918846558031,0.05733067100985382,0.02786982530821435,0.4198077055157169,0.0650953438609345,0.05970970696306267,0.28681508167433833,0.0,0.06610305465410249,0.062365839959540634,0.07560767041054586,0.038121218170264225,0.04293788332769868,0.1222803706822291,0.16875322598937426,0.06172032108140445,1.0,0.2813494762708036
SNAIL-miR34_2-1,0.10418551552194688,0.1246160277380042,0.06525665870545316,0.27906990893132266,0.14933726480914505,0.0959397748215019,0.0001279910785885927,0.1732176851291345,0.2719678068987234,0.2100150973283398,0.12715564705069532,0.09014883930326678,0.39023327327080554,0.11106593820207766,0.1270950979317759,0.27597792014311273,0.0661030546541025,0.0,0.12923405592811205,0.1303532210464369,0.08397747266123762,0.14182134175954855,0.20284128321875627,0.2786298238813679,0.14642984003858545,1.0,0.45951383135440743
Wg-OVOL_2-1,0.05217397164876236,0.000602712180318666,0.06175349028915027,0.04455007881633766,0.03912940614599153,0.10016723612568437,0.12889676897803556,0.018424649622335393,0.1669871368116458,0.05522934151397101,0.000784009036724403,0.039068516769768157,0.34883566888509776,0.03982505409153771,0.00041302913994489127,0.19532393713730273,0.06236583995954064,0.12923405592811205,0.0,0.0054584329966444484,0.028105596637814097,0.045223270994419376,0.051164866006386533,0.1608322440172725,0.0023871093681993795,1.0,0.14576651887370956
OVOL-OVOL_2-1,0.04746392022462474,0.0059188414911812166,0.07437768646014725,0.05064066553860488,0.016180306239485673,0.11382769846437556,0.13024648730915492,0.025655535075340262,0.17045855560878476,0.06033749112420032,0.006813165372557564,0.03656610924410619,0.3592725780841518,0.053350346341619996,0.00604716170943664,0.14028638659841264,0.07560767041054586,0.1303532210464369,0.005458432996644448,0.0,0.04413243377758899,0.0457542174948201,0.056501314790240884,0.1625057168910526,0.011159784788554577,1.0,0.15296682246390075
miR200-ZEB_2-0,0.08157206004966838,0.02662696828248909,0.038160629050326265,0.11314059232535531,0.09440622671895582,0.057732041182053266,0.0835195895260329,0.05202358141568467,0.18893766171937798,0.09170249149168636,0.02569930891553851,0.0671806137131166,0.3247995401148803,0.0161576434416159,0.02569748977795237,0.27997329428903245,0.038121218170264225,0.08397747266123762,0.02810559663781409,0.04413243377758899,0.0,0.08905053355673709,0.08555657326066302,0.21121853542421437,0.032679677417859584,1.0,0.2423021166802285
SNAIL-miR200_2-0,0.02126192268470086,0.04226438849263379,0.04243050827546933,0.06422554499641037,0.06616601673824649,0.22159569905607474,0.14171752610633215,0.06141041934603904,0.2029418998969238,0.09851195091693614,0.04300199487250639,0.009078409566660643,0.46256583320061434,0.10996007830341702,0.04545064127532162,0.1976492551592905,0.04293788332769867,0.14182134175954855,0.045223270994419376,0.0457542174948201,0.08905053355673709,0.0,0.09451034021086777,0.11463682536353056,0.03928738860820255,1.0,0.16078157109839813
SNAIL-SNAIL_2-1,0.10774090218293904,0.0516272762451081,0.12201027265465869,0.0753815961117576,0.0896980143847377,0.1596516834423288,0.20263770475498818,0.0635661596208334,0.05516002205068944,0.00041666812187042665,0.05168565224916792,0.09596708170949811,0.38159624759754107,0.09348199864967822,0.05145577377622012,0.23872044602386777,0.12228037068222913,0.20284128321875627,0.051164866006386533,0.05650131479024087,0.08555657326066302,0.0945103402108678,0.0,0.1978274789859884,0.05022107649094321,0.7766332147624118,0.15721982854111102
SNAIL-miR200_2-1,0.1427184863387828,0.15851626650560535,0.16868600647871018,0.15584913087751145,0.1826503604915082,0.3404015668412908,0.2785671821720537,0.16942960173345617,0.29435059964602694,0.200669558079126,0.15885492137586688,0.13224664928478086,0.24770519370734911,0.22782646685841562,0.16149433161515228,0.3011254895731158,0.16875322598937426,0.2786298238813679,0.1608322440172725,0.1625057168910526,0.21121853542421437,0.11463682536353056,0.1978274789859884,0.0,0.15187868212627098,1.0,0.22459189826689452
SNAIL-ZEB_1-0,0.05419274501344967,0.00204169063218224,0.061628801522921765,0.03238471172600246,0.04971484266263672,0.11689224795543451,0.14635047825513806,0.01675453408245725,0.16910168030387235,0.05429046773443269,0.0021661904505184356,0.040680498751575256,0.3599234396217911,0.04451617999470474,0.0023233838413858356,0.21500473701690936,0.06172032108140446,0.14642984003858547,0.0023871093681993812,0.011159784788554575,0.032679677417859584,0.03928738860820255,0.05022107649094321,0.15187868212627098,0.0,0.9999999999999999,0.12425610707576762
miR34-SNAIL_2-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4999235877909297,0.7662683131918913,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7766332147624118,1.0,0.9999999999999999,0.0,1.0
ZEB-miR34_2-1,0.22919698074083103,0.14939817988430815,0.2818495101588076,0.032579280003358316,0.18802997397295368,0.3509621180750212,0.45952089147721475,0.1273031776282474,0.29545063079467837,0.15675340260121318,0.14750727262913046,0.2200332659212979,0.4873357866785705,0.23686256038168063,0.14820416753866972,0.3222679891322212,0.2813494762708036,0.4595138313544074,0.14576651887370956,0.15296682246390075,0.24230211668022847,0.16078157109839813,0.157219828541111,0.22459189826689452,0.12425610707576763,1.0,0.0

RACIPE,JSD,heatmap,data
 ,OVOL-ZEB_2-1,TGFB-SNAIL_1-2,ZEB-ZEB_1-2,ZEB-miR34_2-0,ZEB-OVOL_2-0,ZEB-miR200_2-0,SNAIL-miR34_2-0,SNAIL-ZEB_1-2,miR34-SNAIL_2-0,SNAIL-SNAIL_2-0,WT,OVOL-ZEB_2-0,ZEB-miR200_2-1,miR200-ZEB_2-1,OVOL-OVOL_2-0,ZEB-OVOL_2-1,ZEB-ZEB_1-0,SNAIL-miR34_2-1,Wg-OVOL_2-1,OVOL-OVOL_2-1,miR200-ZEB_2-0,SNAIL-miR200_2-0,SNAIL-SNAIL_2-1,SNAIL-miR200_2-1,SNAIL-ZEB_1-0,miR34-SNAIL_2-1,ZEB-miR34_2-1
OVOL-ZEB_2-1,0.0,0.005098435987707783,0.01521974491693041,0.05234225118093167,0.002823609517293577,0.03405399158622435,0.5353020435818217,0.016646021802659804,0.024007385354664075,0.023954649899431864,0.003909048639145504,0.005128490857887889,0.2131792921365962,0.03044450263419276,0.005255632598288517,0.001210083718437529,0.002469116700692873,0.03403330605050665,0.004266641315603283,0.0044111874521620366,0.0015650829124709878,0.4729196430092465,0.05116058948344788,0.06400974274303468,0.004906593361665053,0.057652383886673,0.24938656041669943
TGFB-SNAIL_1-2,0.005098435987707784,0.0,0.03192524660813373,0.0670672404338675,0.0013048045759436835,0.04232875276868939,0.5638308537726573,0.022633349555339157,0.019514743491250895,0.02532617993824554,0.0006479628410065857,0.0015822126093594019,0.23917809092044462,0.04963338995502485,0.000468257029714746,0.003727955730777624,0.0026819827220716536,0.03521491251088004,0.0006904995199843726,0.0008243076354153352,0.004551706918771192,0.5019079676976844,0.05475076223830588,0.06925603048850486,0.004577059712771956,0.05951681815113487,0.28222196349636264
ZEB-ZEB_1-2,0.015219744916930414,0.03192524660813373,0.0,0.04594552626939487,0.026626077265877686,0.03235817230250829,0.4907009188749329,0.01719159360995165,0.04057379284979992,0.049714285861190456,0.029576555991712133,0.031463884802815076,0.16724183527461622,0.008083077339566584,0.03244114447831802,0.018055369283085203,0.02179983332391118,0.054977409104448774,0.029537888095927924,0.030457964862798958,0.015321087530177824,0.42866841058947114,0.07696516285115004,0.06767427034111048,0.021392639520635783,0.05709205994463473,0.20580610725849735
ZEB-miR34_2-0,0.05234225118093168,0.0670672404338675,0.045945526269394854,0.0,0.06369000304008593,0.10183542058568183,0.3284721882882765,0.03973592324600078,0.05878799449715609,0.09697707217937847,0.06616769717055682,0.07013881938566693,0.236086077941692,0.05043768290927101,0.06720059468650941,0.06240649388849819,0.06386532968401651,0.035249955648834964,0.06673880554970732,0.0645939255059681,0.058898501994605904,0.27876724149189713,0.12533795463358957,0.09135957803574274,0.047638425585171076,0.06158351588277251,0.09451943335500643
ZEB-OVOL_2-0,0.002823609517293578,0.00130480457594368,0.026626077265877693,0.06369000304008597,0.0,0.04178402034014219,0.5654646605064066,0.02171590514382233,0.021218614986457083,0.02322298630642846,0.000653108862141625,0.0014751461431713217,0.23823506664198854,0.04503337976153751,0.0011533957450339952,0.001950593010654175,0.0013443382161230058,0.03531441010184752,0.0008075254739299325,0.00101307016690558,0.0033365238777641956,0.5027174989918359,0.05201595998614633,0.07217267918956563,0.004452749815862324,0.06033932911735919,0.2766738688808559
ZEB-miR200_2-0,0.03405399158622436,0.04232875276868937,0.03235817230250828,0.10183542058568185,0.04178402034014218,0.0,0.5187614200141681,0.047188286798556495,0.05484153253059014,0.05781806644708684,0.04055326025119132,0.042568396889367234,0.10591990011515601,0.03194534962982738,0.04313276174443599,0.03431313632653406,0.03749317391139198,0.07892511646164113,0.04246361860388005,0.0429566781707036,0.030473284267820262,0.464010536193631,0.08721931907142262,0.04382739073575639,0.04198345898669746,0.08005212339960982,0.29203960717343824
SNAIL-miR34_2-0,0.5353020435818217,0.5638308537726574,0.49070091887493306,0.3284721882882765,0.5654646605064066,0.5187614200141681,0.0,0.4739715173792778,0.4959941053984388,0.6057989825581231,0.5626950400737907,0.5703415492285125,0.4226714563824572,0.4569741787098699,0.562780383312484,0.558983268785858,0.5651802494331448,0.4139940124794407,0.5667799779262976,0.5609362411774806,0.5439066724903877,0.00812374235857283,0.6351826684820645,0.39993257981280445,0.5177128385711932,0.42911876906728774,0.1315639463104718
SNAIL-ZEB_1-2,0.016646021802659807,0.02263334955533916,0.01719159360995164,0.03973592324600078,0.021715905143822326,0.047188286798556495,0.4739715173792778,0.0,0.017390211943711195,0.061767042296545144,0.023106470182140362,0.027741764904633752,0.19160264057021004,0.017189629903403152,0.02289738251128342,0.019462215918085356,0.02086126828276398,0.029757449508955817,0.022318544349315576,0.020700490512479436,0.014181961949194407,0.4124484880801329,0.09732916293477967,0.05693582597470447,0.009554284193186068,0.024536902998431722,0.19201621183984885
miR34-SNAIL_2-0,0.024007385354664068,0.019514743491250902,0.04057379284979992,0.05878799449715607,0.021218614986457086,0.05484153253059015,0.49599410539843897,0.0173902119437112,0.0,0.08028928637613919,0.020737329280505715,0.024126817094891867,0.2202405483373941,0.0489676397571531,0.019266223852516896,0.024327047284562062,0.02354331405951688,0.019473430548619303,0.018994959476277367,0.018519493857025306,0.021186614797758352,0.4404122649073646,0.12560303454765764,0.05329737290503954,0.011936915668934237,0.014868355978751017,0.23863414799375504
