States,RACIPE frequency,Boolean frequency
"""10010""",0.02892499999999992,0.2046
"""10100""",0.009149999999999993,0.0422
"""11001""",0.09807000000000068,0
"""01000""",0.0155416666666667,0
"""01101""",0.03594833333333327,0.2155
"""00110""",0.1078133333333325,0
"""10001""",0.03895833333333322,0.0436
"""11101""",0.038131666666666605,0
"""01010""",0.03477666666666654,0.1425
"""00101""",0.03863166666666655,0
"""01001""",0.10011666666666734,0
"""10110""",0.11517499999999872,0
"""01110""",0.0467249999999999,0.046
"""01100""",0.005658333333333334,0.0609
"""00001""",0.04215833333333322,0
"""00010""",0.024658333333333365,0
"""11110""",0.04910833333333319,0
"""11011""",0.005916666666666671,0
"""11010""",0.03213333333333319,0
"""11000""",0.015536666666666699,0
"""01111""",0.007586666666666664,0
"""10101""",0.037083333333333225,0.1394
"""00100""",0.006333333333333336,0
"""00111""",0.014268333333333357,0
"""11111""",0.0063583333333333365,0
"""00000""",0.006008333333333334,0
"""10111""",0.012841666666666652,0
"""10000""",0.005300000000000002,0
"""01011""",0.0063583333333333365,0.0442
"""11100""",0.006078333333333336,0
"""00011""",0.00401666666666667,0
"""10011""",0.004633333333333336,0.0611
