States,RACIPE frequency,Boolean frequency
"""10001""",0.08805000000000011,0.0217
"""01000""",0.005750000000000001,0
"""11001""",0.1120333333333331,0.0322
"""01010""",0.01543333333333334,0.0407
"""00001""",0.0901000000000001,0
"""11000""",0.004766666666666667,0
"""01001""",0.11731666666666647,0
"""01100""",0.012733333333333331,0.0628
"""11111""",0.007299999999999994,0
"""10110""",0.1044999999999998,0
"""00110""",0.10596666666666647,0.0324
"""10101""",0.010616666666666665,0.0408
"""10100""",0.011549999999999996,0.0136
"""00010""",0.014400000000000007,0.091
"""11110""",0.0746666666666668,0
"""11101""",0.00963333333333333,0.0875
"""01110""",0.07806666666666677,0.0229
"""11010""",0.016600000000000004,0
"""00000""",0.004150000000000001,0
"""10011""",0.007649999999999997,0.0624
"""11100""",0.014033333333333337,0.0262
"""01101""",0.010116666666666664,0.2174
"""00100""",0.010883333333333332,0
"""00111""",0.008066666666666658,0
"""10111""",0.00858333333333333,0
"""10010""",0.01418333333333334,0.2089
"""10000""",0.004666666666666667,0
"""01111""",0.006250000000000002,0
"""01011""",0.006633333333333331,0.0132
"""00011""",0.007466666666666661,0.0263
"""00101""",0.010766666666666662,0
"""11011""",0.007066666666666663,0
