States,RACIPE frequency,Boolean frequency
"""1000001""",0.00817166666666666,0
"""1111011""",0.0015633333333333332,0
"""1101001""",0.01910000000000005,0
"""0110100""",0.13677206349205975,0.0861
"""0001001""",0.00763833333333332,0
"""0001010""",0.0030749999999999987,0
"""0100010""",0.005043333333333339,0
"""0110110""",0.045396111111110804,0.1002
"""0011110""",0.0009233333333333333,0
"""0010100""",0.03748999999999988,0
"""1010110""",0.0016583333333333346,0.0202
"""1001001""",0.148534126984124,0.1049
"""1011001""",0.010686904761904726,0.0457
"""1111110""",0.002603333333333333,0
"""0110101""",0.06896500000000085,0.0924
"""1001011""",0.07826666666666748,0.0849
"""1010100""",0.0020383333333333325,0.0142
"""1001110""",0.014250000000000011,0
"""0010110""",0.010971111111111093,0
"""1101010""",0.030244999999999873,0.0581
"""1001010""",0.046168333333333166,0.1028
"""0110001""",0.010293333333333302,0
"""1000110""",0.00441833333333334,0
"""1101110""",0.01612666666666671,0
"""0110000""",0.014365000000000032,0
"""0111001""",0.002683333333333331,0
"""0100110""",0.01596333333333338,0.0516
"""0010111""",0.0060333333333333385,0
"""1100010""",0.005206666666666673,0
"""0110111""",0.01307666666666663,0
"""0001110""",0.0028716666666666656,0
"""1101011""",0.015098333333333377,0
"""0010101""",0.032621666666666604,0.0532
"""1111001""",0.002632857142857142,0
"""1001000""",0.016541666666666684,0
"""0010001""",0.008842777777777767,0
"""1110101""",0.002631666666666667,0
"""1011000""",0.001576666666666667,0
"""0011001""",0.0028383333333333325,0.029
"""1101000""",0.006485000000000001,0
"""0111100""",0.0022833333333333325,0
"""1100111""",0.0005499999999999999,0
"""0101100""",0.0005166666666666666,0
"""0101010""",0.008171666666666645,0.0472
"""1011110""",0.0016416666666666667,0
"""0110010""",0.00462444444444445,0
"""0100001""",0.0007566666666666662,0
"""0000010""",0.000823333333333333,0
"""0101110""",0.010049999999999965,0
"""0010010""",0.006066666666666636,0
"""1000011""",0.002641666666666666,0
"""1100110""",0.012053333333333286,0.0277
"""1000010""",0.003216666666666666,0
"""1010101""",0.003889444444444449,0.0497
"""1111010""",0.0019566666666666665,0
"""0111110""",0.00327611111111111,0
"""1001101""",0.003685000000000002,0
"""0010000""",0.0028166666666666657,0
"""1001111""",0.0044250000000000045,0
"""0111101""",0.002643333333333332,0
"""1011011""",0.004175000000000004,0
"""1110100""",0.0035233333333333336,0
"""0101000""",0.0011083333333333333,0
"""0100011""",0.001002777777777778,0
"""0100100""",0.0014983333333333335,0
"""1100000""",0.00025,0
"""1010001""",0.001775000000000001,0
"""0001011""",0.0034466666666666678,0
"""0100111""",0.0008733333333333328,0
"""0000011""",0.000275,0
"""0100000""",0.0005166666666666666,0
"""0011000""",0.0004833333333333333,0
"""0001111""",0.0005966666666666661,0
"""1111000""",0.0006069047619047618,0
"""0101001""",0.0034416666666666645,0.0184
"""1010111""",0.0016644444444444454,0
"""0000100""",0.0004666666666666666,0
"""0110011""",0.002083333333333333,0
"""0000101""",0.0003,0
"""0011101""",0.0029950000000000007,0
"""0111000""",0.0006416666666666666,0
"""1100011""",0.00149,0
"""1010011""",0.00039333333333333337,0
"""0001100""",0.00023333333333333336,0
"""1110111""",0.0005433333333333333,0
"""1001100""",0.001253809523809524,0
"""1011010""",0.0012733333333333336,0
"""1111100""",0.0005099999999999999,0
"""1101111""",0.001343333333333334,0
"""1011111""",0.0005566666666666665,0
"""1011101""",0.001836666666666668,0
"""0000110""",0.0032816666666666654,0
"""1100001""",0.0007999999999999999,0
"""1011100""",0.0007433333333333334,0
"""0101011""",0.0029149999999999983,0.0137
"""1101100""",0.0007833333333333333,0
"""0101111""",0.0005699999999999999,0
"""0001000""",0.0009966666666666668,0
"""1101101""",0.0006999999999999999,0
"""0010011""",0.0007249999999999996,0
"""0011100""",0.0008766666666666668,0
"""1110110""",0.00406166666666667,0
"""0000001""",0.00095,0
"""1110001""",0.0010233333333333333,0
"""1000000""",0.0004166666666666667,0
"""1000111""",0.0004666666666666665,0
"""1111111""",0.0003600000000000001,0
"""0011010""",0.00039333333333333337,0
"""1111101""",0.0007483333333333331,0
"""0001101""",0.0003200000000000001,0
"""0011111""",0.0006866666666666664,0
"""1110000""",0.00013000000000000002,0
"""1010010""",8.333333333333333e-05,0
"""0111111""",0.0004033333333333334,0
"""0111011""",0.0007449999999999996,0
"""0000111""",0.0002666666666666667,0
"""0111010""",0.0005777777777777776,0
"""1110010""",0.0008683333333333326,0
"""1010000""",0.0004066666666666667,0
"""1000101""",0.00048666666666666655,0
"""0100101""",0.0004433333333333333,0
"""0000000""",0.0002,0
"""0011011""",0.0004799999999999999,0
"""1110011""",8.499999999999999e-05,0
"""1000100""",0.0003166666666666667,0
"""1100101""",0.00018333333333333334,0
"""0101101""",0.00015,0
"""1100100""",0.00014166666666666665,0
