States,RACIPE frequency,Boolean frequency
"""1001010""",0.043587619047618785,0.0805
"""1001001""",0.14792083333332873,0.1153
"""0110101""",0.06741833333333441,0.0774
"""1101110""",0.013308333333333287,0
"""0110110""",0.04297238095238062,0.1248
"""0010101""",0.03340499999999982,0.053
"""1101010""",0.03991499999999957,0.0588
"""1000001""",0.0062033333333333385,0
"""0110100""",0.13364444444443968,0.0865
"""1100010""",0.00830749999999998,0
"""1011101""",0.003014999999999998,0
"""1001011""",0.06751333333333427,0.0913
"""1001000""",0.019966666666666716,0
"""0101110""",0.011463333333333289,0
"""1001110""",0.009141666666666638,0
"""0010100""",0.03969499999999977,0
"""1101001""",0.01468000000000003,0
"""0001010""",0.006325000000000006,0
"""0001001""",0.006056666666666671,0
"""0100010""",0.007364999999999999,0
"""1010100""",0.002556666666666666,0.0285
"""1010101""",0.005260000000000008,0.0512
"""1000011""",0.004050000000000002,0
"""1110101""",0.003043333333333332,0
"""1101011""",0.013861666666666642,0
"""0111110""",0.0035144444444444437,0
"""1001101""",0.007889999999999977,0
"""0000010""",0.003058333333333332,0
"""0110000""",0.012716666666666649,0
"""1001111""",0.0025416666666666647,0
"""1010110""",0.0018699999999999995,0
"""0110111""",0.013786666666666668,0
"""0010001""",0.006870833333333335,0
"""0101010""",0.014898333333333335,0.052
"""0001110""",0.003041666666666665,0
"""0011001""",0.0025083333333333316,0.0267
"""1110100""",0.0030133333333333344,0
"""1011100""",0.0015450000000000001,0
"""1011001""",0.012338333333333291,0.0486
"""0100110""",0.021375000000000137,0.0504
"""1100000""",0.0006166666666666666,0
"""0100111""",0.0006083333333333333,0
"""0110001""",0.009391666666666642,0
"""1101100""",0.0012750000000000005,0
"""0010110""",0.009528333333333317,0
"""0011110""",0.0006416666666666666,0
"""0001011""",0.004060000000000005,0
"""1000101""",0.0010750000000000004,0
"""1111001""",0.0015900000000000005,0
"""0010000""",0.0035683333333333344,0
"""0010011""",0.0010916666666666668,0
"""0101011""",0.0032966666666666648,0.0276
"""0110010""",0.004926666666666674,0
"""0111111""",0.00042666666666666667,0
"""1100110""",0.011783333333333283,0.0274
"""0001101""",0.00016666666666666666,0
"""1111010""",0.0024711111111111093,0
"""1011011""",0.004395000000000006,0
"""0110011""",0.0015033333333333337,0
"""0011101""",0.003375,0
"""1111110""",0.0017250000000000015,0
"""1101000""",0.005011666666666673,0
"""1100011""",0.0015750000000000004,0
"""0010111""",0.006101666666666672,0
"""1110010""",0.0012333333333333337,0
"""1000110""",0.00394666666666667,0
"""0000110""",0.0031516666666666646,0
"""1001100""",0.0029599999999999987,0
"""0001000""",0.0011,0
"""1110110""",0.004375000000000006,0
"""0101000""",0.0008333333333333332,0
"""1101111""",0.0013333333333333335,0
"""1000000""",0.0007833333333333333,0
"""1011010""",0.0016800000000000007,0
"""0001111""",0.0006033333333333331,0
"""0111101""",0.0017783333333333327,0
"""1000010""",0.002874999999999998,0
"""1010001""",0.0021416666666666667,0
"""1011111""",0.0007999999999999999,0
"""1110001""",0.001091666666666667,0
"""0011100""",0.0020166666666666666,0
"""0111010""",0.001926666666666667,0
"""0000100""",0.00045,0
"""1011110""",0.0008116666666666664,0
"""0100000""",0.00035000000000000005,0
"""1010000""",0.0004416666666666667,0
"""0111100""",0.0018666666666666658,0
"""0100001""",0.00035833333333333333,0
"""1010010""",0.00036666666666666667,0
"""1100100""",0.0007916666666666664,0
"""0000011""",0.0005166666666666666,0
"""0000000""",0.00015,0
"""0101001""",0.0008366666666666663,0
"""0001100""",0.00031,0
"""0101111""",0.0006516666666666665,0
"""1010011""",0.0004333333333333333,0
"""1101101""",0.000825,0
"""1000111""",0.0005083333333333333,0
"""0100100""",0.0011500000000000004,0
"""0111011""",0.0009733333333333329,0
"""0100101""",0.00038333333333333334,0
"""0010010""",0.020454166666666926,0
"""0111000""",0.0004166666666666667,0
"""0101100""",0.00018333333333333334,0
"""1110111""",0.0006866666666666665,0
"""1100001""",0.0004416666666666667,0
"""0100011""",0.0006583333333333331,0
"""1100101""",8.333333333333333e-05,0
"""0011011""",0.0005333333333333331,0
"""1111100""",0.0005249999999999999,0
"""0111001""",0.0010083333333333333,0
"""0000001""",0.00035833333333333333,0
"""1011000""",0.0009583333333333334,0
"""1111011""",0.0007666666666666665,0
"""0011111""",0.0001816666666666667,0
"""0011010""",0.000255,0
"""1111111""",0.0002083333333333333,0
"""1110000""",0.0003333333333333333,0
"""1010111""",0.0003366666666666667,0
"""1111101""",0.00037500000000000006,0
"""1000100""",0.0004083333333333334,0
"""1100111""",0.0004333333333333333,0
"""0000101""",0.00025,0
"""0101101""",0.0001,0
"""1111000""",0.0003533333333333334,0
"""0011000""",0.00023666666666666668,0
"""1110011""",0.00013333333333333334,0
"""0000111""",0.00016666666666666666,0
