States,RACIPE frequency,Boolean frequency
"""0110100""",0.126334166666663,0.0762
"""1001010""",0.028578333333333258,0.0902
"""0110011""",0.0037750000000000036,0
"""1001001""",0.1432534523809495,0.1308
"""0110110""",0.06419976190476324,0.1316
"""0000100""",0.0008599999999999998,0
"""1001011""",0.09308333333333443,0.0808
"""0010110""",0.014455833333333343,0
"""0110111""",0.0198255952380953,0
"""1001101""",0.004676666666666671,0
"""0010010""",0.002283333333333333,0
"""0110101""",0.049912619047618824,0.0828
"""1101001""",0.02256666666666674,0
"""1101011""",0.013781666666666671,0
"""0110010""",0.00901499999999998,0
"""1101111""",0.0014,0
"""0010011""",0.0010999999999999998,0
"""1101000""",0.013274999999999986,0
"""1101010""",0.016206666666666744,0.0488
"""1001110""",0.011281666666666641,0
"""1111001""",0.0028733333333333328,0
"""0010111""",0.008713333333333314,0
"""0111110""",0.0034283333333333344,0
"""0001110""",0.002618333333333331,0
"""0100110""",0.017675000000000083,0.0533
"""0010101""",0.025033333333333383,0.0475
"""0010100""",0.03366333333333321,0
"""1001000""",0.030204444444444367,0
"""1000010""",0.0020166666666666653,0
"""0110001""",0.010262619047619024,0
"""1010010""",0.00045333333333333326,0
"""1100010""",0.004172222222222229,0
"""0001000""",0.00182,0
"""1000001""",0.007086666666666659,0
"""0100101""",0.0008166666666666666,0
"""1110100""",0.0031833333333333327,0
"""1000011""",0.003366666666666667,0
"""0110000""",0.01113166666666665,0
"""1100110""",0.013294999999999944,0.0281
"""0101101""",0.0004433333333333333,0
"""1000000""",0.0009166666666666668,0
"""1011010""",0.0013000000000000004,0
"""1011011""",0.005245000000000009,0
"""0101010""",0.004766666666666674,0.0365
"""1100011""",0.001241666666666667,0
"""0101011""",0.0023616666666666647,0.0107
"""0011000""",0.0005266666666666664,0
"""0001101""",0.00034333333333333335,0
"""0001011""",0.004250000000000004,0
"""1100001""",0.0023166666666666657,0
"""0000110""",0.003593333333333335,0
"""1001111""",0.004671666666666671,0
"""0001001""",0.007836666666666655,0
"""0001010""",0.0022499999999999994,0
"""0000101""",0.0005099999999999999,0
"""0111101""",0.00206,0
"""0101000""",0.0023666666666666654,0
"""0101110""",0.009825952380952335,0
"""1101110""",0.014181666666666658,0
"""1101100""",0.002061666666666666,0
"""1011001""",0.011270833333333305,0.0522
"""0100010""",0.005410000000000008,0
"""1110101""",0.0026641666666666662,0
"""0000011""",0.00034833333333333336,0
"""0000001""",0.0009916666666666667,0
"""0000000""",0.0003333333333333333,0
"""1010101""",0.0023616666666666677,0.0381
"""1100000""",0.0009333333333333334,0
"""0111001""",0.003195,0
"""0101100""",0.001221666666666667,0
"""0111100""",0.002245000000000001,0
"""0111000""",0.0006283333333333332,0
"""0010000""",0.009860000000000186,0
"""1011000""",0.002025,0
"""1000110""",0.005538333333333342,0
"""0010001""",0.005903333333333342,0
"""0011001""",0.0028000000000000017,0.0302
"""1110110""",0.004956666666666678,0
"""0000010""",0.000935,0
"""1111100""",0.0005916666666666662,0
"""1111011""",0.0013716666666666664,0
"""1110000""",0.0004299999999999999,0
"""0001100""",0.0005766666666666666,0
"""0101001""",0.003712619047619048,0.0258
"""1010011""",0.0004283333333333333,0
"""0100100""",0.00228,0
"""1001100""",0.0028966666666666663,0
"""1010110""",0.003033571428571427,0.0253
"""0011110""",0.000906666666666666,0
"""1100100""",0.0014833333333333335,0
"""1111000""",0.0011399999999999997,0
"""1111110""",0.0024154761904761897,0
"""1111010""",0.0013516666666666668,0
"""1000100""",0.0006333333333333331,0
"""1101101""",0.00086,0
"""1010100""",0.0025783333333333322,0.0111
"""1110011""",0.0002666666666666667,0
"""0100000""",0.0006349999999999998,0
"""1010001""",0.0015016666666666672,0
"""0011011""",0.0005999999999999997,0
"""1011100""",0.0010850000000000002,0
"""0111010""",0.0011133333333333336,0
"""1000101""",0.00035000000000000005,0
"""1011111""",0.0008966666666666662,0
"""1011110""",0.001283809523809523,0
"""1011101""",0.0013299999999999998,0
"""0001111""",0.0003366666666666667,0
"""0100111""",0.0006166666666666665,0
"""0011101""",0.0016633333333333344,0
"""1110111""",0.0008333333333333331,0
"""0111011""",0.0003783333333333334,0
"""1111111""",0.00018000000000000007,0
"""0011100""",0.0015933333333333333,0
"""0111111""",0.0007433333333333332,0
"""1110010""",0.0007816666666666663,0
"""1010111""",0.0008499999999999998,0
"""1100111""",0.00037166666666666674,0
"""0100011""",0.0006561904761904761,0
"""1110001""",0.0007099999999999998,0
"""1111101""",0.0004833333333333331,0
"""1000111""",0.0007166666666666666,0
"""0000111""",0.00014166666666666665,0
"""1010000""",0.0003466666666666667,0
"""0011010""",0.00015,0
"""0101111""",0.0004166666666666667,0
"""0100001""",0.0004583333333333333,0
"""1100101""",0.00016666666666666666,0
"""0011111""",0.0005833333333333332,0
