States,RACIPE frequency,Boolean frequency
"""0111""",0.056870000000000434,0
"""0100""",0.04012555555555573,0
"""0110""",0.07037999999999937,0
"""1010""",0.0693500000000005,0
"""1000""",0.052050000000000284,0
"""0010""",0.10401999999999861,0.4971
"""1001""",0.07771666666666698,0
"""0001""",0.048733809523809714,0
"""1101""",0.11503857142856952,0.5029
"""0101""",0.08196000000000021,0
"""0011""",0.047672857142857544,0
"""1111""",0.05725000000000056,0
"""1100""",0.04799476190476226,0
"""1011""",0.043690000000000326,0
"""1110""",0.046220000000000525,0
"""0000""",0.047627777777777984,0
