States,RACIPE frequency,Boolean frequency
"""0001""",0.0034333333333333334,0
"""1110""",0.01201666666666664,0
"""0010""",0.19143749999999687,0.1688
"""0110""",0.22202571428572132,0.2583
"""0011""",0.0050533333333333385,0
"""1001""",0.25331333333334144,0.2589
"""1101""",0.12795845238094802,0.1558
"""1000""",0.033358333333333136,0
"""0111""",0.03427666666666625,0
"""0101""",0.039916666666666004,0.0772
"""0100""",0.013766666666666691,0
"""1011""",0.008786666666666653,0
"""1010""",0.02521500000000009,0.081
"""1111""",0.009574999999999964,0
"""0000""",0.0068666666666666615,0
"""1100""",0.023299999999999734,0
