States,RACIPE frequency,Boolean frequency
"""0110""",0.21033500000000008,0.279
"""1001""",0.3022506349206351,0.2815
"""1000""",0.05581333333333351,0
"""1110""",0.010253333333333297,0
"""0111""",0.10213555555555591,0
"""1111""",0.009514999999999978,0
"""0010""",0.11163809523809387,0.2212
"""1101""",0.09984333333333378,0.2183
"""0011""",0.013473333333333318,0
"""1100""",0.0218033333333333,0
"""0001""",0.0077866666666666536,0
"""0000""",0.009401904761904752,0
"""0100""",0.018353333333333333,0
"""1010""",0.01860190476190474,0
"""0101""",0.013755238095238102,0
"""1011""",0.0043400000000000044,0
