States,RACIPE frequency,Boolean frequency
"""0101""",0.08121166666666939,0.1522
"""0010""",0.13591130952380726,0.1481
"""1100""",0.009034047619047608,0
"""1001""",0.25732035714285983,0.1903
"""0110""",0.2336036904761791,0.1981
"""0000""",0.006941666666666673,0
"""0111""",0.046632857142856594,0
"""0100""",0.02241666666666671,0
"""1000""",0.048961904761904325,0
"""1010""",0.04572726190476134,0.1545
"""1101""",0.07312547619047721,0.1568
"""1111""",0.006233452380952402,0
"""1110""",0.015382857142857023,0
"""1011""",0.007718333333333324,0
"""0001""",0.004112619047619047,0
"""0011""",0.005665833333333346,0
