"States","Method","Frequency"
"""1001""","RACIPE",0.259933333333343
"""0010""","RACIPE",0.149439285714281
"""1101""","RACIPE",0.104807500000002
"""1100""","RACIPE",0.0148766666666666
"""0110""","RACIPE",0.204404999999995
"""0111""","RACIPE",0.0508283333333328
"""1000""","RACIPE",0.0478616666666664
"""0101""","RACIPE",0.0590800000000004
"""1010""","RACIPE",0.0413174999999997
"""1110""","RACIPE",0.0133833333333333
"""1011""","RACIPE",0.014779880952381
"""0011""","RACIPE",0.00619166666666668
"""0100""","RACIPE",0.0161666666666667
"""0000""","RACIPE",0.0061
"""1111""","RACIPE",0.00858916666666664
"""0001""","RACIPE",0.00584000000000001
"""1001""","Boolean",0.1912
"""0010""","Boolean",0.1508
"""1101""","Boolean",0.1515
"""1100""","Boolean",0
"""0110""","Boolean",0.1957
"""0111""","Boolean",0
"""1000""","Boolean",0
"""0101""","Boolean",0.1538
"""1010""","Boolean",0.157
"""1110""","Boolean",0
"""1011""","Boolean",0
"""0011""","Boolean",0
"""0100""","Boolean",0
"""0000""","Boolean",0
"""1111""","Boolean",0
"""0001""","Boolean",0
