States,RACIPE frequency,Boolean frequency
"""1001""",0.1345034920634766,0
"""0101""",0.13069138888888018,0.1675
"""0010""",0.19211829365078764,0.335
"""0111""",0.055598611111111924,0
"""1000""",0.06043666666666818,0
"""1010""",0.06543317460317677,0.1713
"""0100""",0.02881166666666687,0
"""0110""",0.13952289682539146,0
"""1101""",0.10882611111110839,0.3262
"""0000""",0.010544999999999954,0
"""0001""",0.012435555555555446,0
"""1011""",0.014031111111110835,0
"""1110""",0.01305777777777762,0
"""1111""",0.01137797619047593,0
"""0011""",0.007476944444444395,0
"""1100""",0.015133333333333169,0
