States,RACIPE frequency,Boolean frequency
"""0110""",0.17645896825396581,0.2568
"""1101""",0.17339972222221856,0.1528
"""0011""",0.007668333333333329,0
"""1110""",0.031759523809523627,0
"""1001""",0.1871107142857114,0.2509
"""0010""",0.23194873015873405,0.1522
"""0101""",0.03565817460317429,0.0946
"""1011""",0.009484999999999993,0
"""1000""",0.02388833333333338,0
"""1010""",0.03134166666666647,0.0927
"""0100""",0.01645000000000001,0
"""0001""",0.012416666666666645,0
"""0111""",0.018799166666666714,0
"""1100""",0.02076833333333336,0
"""0000""",0.011983333333333327,0
"""1111""",0.010863333333333317,0
