States,RACIPE frequency,Boolean frequency
"""1000""",0.04636000000000028,0
"""0110""",0.20674928571428142,0.1898
"""1101""",0.14462642857142435,0.1537
"""0010""",0.15202499999999647,0.1543
"""1001""",0.22983428571429304,0.1876
"""1100""",0.017393333333333368,0
"""0101""",0.04853166666666618,0.1572
"""0111""",0.04081499999999965,0
"""0100""",0.01608666666666669,0
"""0001""",0.012224999999999969,0
"""1011""",0.014378333333333344,0
"""0011""",0.01047833333333331,0
"""1010""",0.03395833333333312,0.1574
"""1111""",0.008379999999999973,0
"""1110""",0.016865000000000064,0
"""0000""",0.00749333333333332,0
