Boolean,JSD,heatmap,data
 ,ZEB-ZEB_1-2,ZEB-miR200_2-0,SNAIL-ZEB_1-2,WT,ZEB-miR200_2-1,miR200-ZEB_2-1,ZEB-ZEB_1-0,miR200-ZEB_2-0,SNAIL-miR200_2-0,SNAIL-miR200_2-1,SNAIL-ZEB_1-0
ZEB-ZEB_1-2,0.0,6.492386991333596e-06,0.1361554355977955,3.1422489374639904e-05,0.1362805166666789,0.13862018540271828,8.888460103544885e-05,0.14277277635028698,2.885416057737196e-08,0.1394552239434941,0.13976199667665876
ZEB-miR200_2-0,6.492386991333596e-06,0.0,0.13615881344879524,6.648041928292376e-05,0.13629475732481028,0.13866879668887086,0.00014341929691229823,0.14278445594387393,7.386877145671052e-06,0.13946249217858686,0.13976405654846996
SNAIL-ZEB_1-2,0.1361554355977955,0.13615881344879524,0.0,0.1361872670648228,3.842923065612959e-05,0.00012265190713449045,0.13623992861705508,0.0001194178082868369,0.1361556070045682,0.00012243238090005435,0.00012559673374657582
WT,3.1422489374639904e-05,6.648041928292376e-05,0.1361872670648228,0.0,0.13628844429117226,0.13855238386984714,1.4610408479184692e-05,0.14278602097206353,2.9546979085936544e-05,0.13947833559907147,0.139796551504542
ZEB-miR200_2-1,0.1362805166666789,0.13629475732481028,3.842923065612959e-05,0.13628844429117226,0.0,6.0242355032985714e-05,0.13632480219420282,0.00017408440886004364,0.13627996383550528,4.26833638367929e-05,5.1118696885758255e-05
miR200-ZEB_2-1,0.13862018540271828,0.13866879668887086,0.00012265190713449045,0.13855238386984714,6.02423550329855e-05,0.0,0.1385370150316756,0.0001558092756032005,0.1386173400675646,8.924810976234732e-05,0.00010807551252576316
ZEB-ZEB_1-0,8.888460103544885e-05,0.00014341929691229823,0.13623992861705508,1.4610408479184692e-05,0.13632480219420284,0.1385370150316756,0.0,0.14282575415308937,8.571062008339101e-05,0.13952492451884535,0.13985093111616503
miR200-ZEB_2-0,0.14277277635028698,0.14278445594387393,0.00011941780828683647,0.14278602097206353,0.00017408440886004318,0.00015580927560320066,0.14282575415308937,0.0,0.1427723910497518,0.00017445683728512526,0.00017030148287632604
SNAIL-miR200_2-0,2.885416057737196e-08,7.386877145671052e-06,0.1361556070045682,2.9546979085936544e-05,0.13627996383550528,0.1386173400675646,8.571062008339101e-05,0.1427723910497518,0.0,0.1394551343677035,0.13976225416817242
SNAIL-miR200_2-1,0.1394552239434941,0.13946249217858686,0.00012243238090005456,0.13947833559907147,4.26833638367929e-05,8.924810976234732e-05,0.13952492451884535,0.00017445683728512483,0.1394551343677035,0.0,1.3137591113062774e-06
SNAIL-ZEB_1-0,0.13976199667665876,0.13976405654846996,0.00012559673374657647,0.139796551504542,5.111869688575839e-05,0.00010807551252576349,0.13985093111616503,0.00017030148287632604,0.13976225416817242,1.3137591113062639e-06,0.0

RACIPE,JSD,heatmap,data
 ,ZEB-ZEB_1-2,ZEB-miR200_2-0,SNAIL-ZEB_1-2,WT,ZEB-miR200_2-1,miR200-ZEB_2-1,ZEB-ZEB_1-0,miR200-ZEB_2-0,SNAIL-miR200_2-0,SNAIL-miR200_2-1,SNAIL-ZEB_1-0
ZEB-ZEB_1-2,0.0,0.00540029536548586,0.013485897122883244,0.03023368922992126,0.05301003013334006,0.00496123744297502,0.01743464892359647,0.009859786559923624,0.047907121719016614,0.009751001594541469,0.022693744091899008
ZEB-miR200_2-0,0.0054002953654858615,0.0,0.034840787910456805,0.054073791503372756,0.0327474521917223,0.004686780741654351,0.03770839127513785,0.022258674677783176,0.0757484157997137,0.02803150948507194,0.045904538448647184
SNAIL-ZEB_1-2,0.01348589712288324,0.034840787910456805,0.0,0.008082374391960417,0.11158345109499639,0.03023922844200959,0.0028032084015860576,0.008673030482045794,0.017116088642805647,0.0006359466001841338,0.0031552737531182345
WT,0.030233689229921264,0.054073791503372756,0.008082374391960414,0.0,0.1574958508706728,0.057978008791471844,0.0021077642853647082,0.008929443146792039,0.0022001066189269065,0.00784579937680647,0.001215529323149617
ZEB-miR200_2-1,0.05301003013334007,0.032747452191722315,0.11158345109499637,0.15749585087067283,0.0,0.027167915676871535,0.12758688761811998,0.10181607775844445,0.19222956259410665,0.10378249964666203,0.14007667161034773
miR200-ZEB_2-1,0.0049612374429750215,0.004686780741654351,0.03023922844200959,0.05797800879147184,0.027167915676871535,0.0,0.03957736025543633,0.027632190940272104,0.08120444814087142,0.026092684113210432,0.046614769137409626
ZEB-ZEB_1-0,0.017434648923596474,0.03770839127513784,0.0028032084015860576,0.002107764285364707,0.12758688761811995,0.03957736025543633,0.0,0.004960184644648431,0.008292809992035782,0.0019781514761719925,0.0004923274627191107
miR200-ZEB_2-0,0.009859786559923624,0.02225867467778318,0.008673030482045796,0.008929443146792039,0.10181607775844445,0.02763219094027211,0.004960184644648431,0.0,0.01880890453825907,0.005614563238628573,0.007675250945583406
SNAIL-miR200_2-0,0.04790712171901662,0.07574841579971367,0.017116088642805644,0.0022001066189269065,0.19222956259410667,0.08120444814087144,0.008292809992035782,0.01880890453825907,0.0,0.017634844429328243,0.005878887807892581
SNAIL-miR200_2-1,0.00975100159454147,0.028031509485071944,0.0006359466001841334,0.00784579937680647,0.10378249964666203,0.026092684113210435,0.001978151476171992,0.005614563238628571,0.017634844429328243,0.0,0.0032999151581268654
SNAIL-ZEB_1-0,0.022693744091899008,0.045904538448647184,0.003155273753118233,0.0012155293231496172,0.14007667161034773,0.04661476913740962,0.0004923274627191108,0.007675250945583406,0.00587888780789258,0.0032999151581268663,0.0
