name,Total Positive cycles,RACIPE JSD1 from WT,RACIPE JSD2 from WT,Boolean JSD from WT,Plasticity1,Plasticity2
818143,7,0.3173330295870134,0.3173330295870134,0.4671532055711135,0.3238,0.4172
195322,7,0.7252198962964189,0.7252198962964189,1.0,0.3127,0.5944
523836,7,0.8087396445691193,0.8087396445691193,1.0,0.3037,0.46919999999999995
980940,10,0.7457592908327533,0.7457592908327533,1.0,0.3647,0.7071000000000001
253927,5,0.5752059301200669,0.5752059301200669,1.0,0.0808,0.26970000000000005
1044054,8,0.7511260227339552,0.7511260227339552,1.0,0.2146,0.30679999999999996
471038,5,0.5691765500327859,0.5691765500327859,1.0,0.157,0.3597
317055,7,0.7411926858269441,0.7411926858269441,1.0,0.2402,0.4236
729071,7,0.38815518469919746,0.38815518469919746,0.27148053289231766,0.1245,0.36350000000000005
621813,6,0.47257651991986505,0.47257651991986505,0.8124516403029043,0.3575,0.47519999999999996
715387,6,0.7382754353162574,0.7382754353162574,1.0,0.1625,0.36350000000000005
376315,6,0.3555367808869597,0.3555367808869597,1.0,0.2408,0.39470000000000005
597503,8,0.19603059499211753,0.19603059499211753,0.2558256655828241,0.1982,0.4818
785862,6,0.5050816214653939,0.5050816214653939,1.0,0.201,0.4276
606191,7,0.11416074876620251,0.11416074876620251,0.035080092866537106,0.2465,0.35729999999999995
769531,6,0.3508183655565447,0.3508183655565447,0.34542985033517115,0.2768,0.42190000000000005
344061,9,0.2713417036946316,0.2713417036946316,0.4858062222300692,0.5148,0.6029
1014510,4,0.6319068445451594,0.6319068445451594,1.0,0.0589,0.22060000000000002
480926,6,0.7101607687971412,0.7101607687971412,1.0,0.0602,0.19779999999999998
WT,11,0.0,0.0,8.338878793397956e-06,0.595,0.6558999999999999
186879,8,0.582303730965146,0.582303730965146,1.0,0.3245,0.6216999999999999
208895,11,0.33799498742094747,0.33799498742094747,0.3911528287280608,0.2094,0.6663
491055,5,0.6581515597166887,0.6581515597166887,1.0,0.0797,0.29669999999999996
204799,11,0.2514320369662867,0.2514320369662867,0.2396724683673525,0.1772,0.6565
359335,5,0.6738290178555788,0.6738290178555788,1.0,0.0409,0.11070000000000002
110079,6,0.46562948758432887,0.46562948758432887,0.5279313090226276,0.1783,0.4061
229340,7,0.48318824103377833,0.48318824103377833,1.0,0.1798,0.31579999999999997
999119,7,0.5064820462165757,0.5064820462165757,0.6850133260983416,0.2351,0.4274
718710,5,0.706682465788165,0.706682465788165,1.0,0.1611,0.37960000000000005
710271,7,0.7681167866284944,0.7681167866284944,1.0,0.2525,0.4628
679909,10,0.7214609585939635,0.7214609585939635,1.0,0.1887,0.5962000000000001
1035218,4,0.6445668056659704,0.6445668056659704,1.0,0.0684,0.21120000000000005
228861,6,0.49576809073941114,0.49576809073941114,1.0,0.257,0.40659999999999996
294783,7,0.1580446110395938,0.1580446110395938,4.277152314030022e-05,0.3939,0.48829999999999996
618367,10,0.3420885842165384,0.3420885842165384,0.3323905390083942,0.1508,0.4857
344047,5,0.198431111712163,0.198431111712163,0.07152722034024979,0.1412,0.2723
98175,10,0.14423444373776204,0.14423444373776204,9.348792131342676e-06,0.3995,0.4939
679678,8,0.7388375269515893,0.7388375269515893,1.0,0.2133,0.49529999999999996
802783,8,0.08802615490197552,0.08802615490197552,0.17177144967020305,0.484,0.565
875867,5,0.6115317024455393,0.6115317024455393,1.0,0.0279,0.10870000000000002
453358,9,0.8027748172081757,0.8027748172081757,1.0,0.4139,0.495
1043961,6,0.7782041912432923,0.7782041912432923,1.0,0.1676,0.39570000000000005
778177,7,0.6023057633246268,0.6023057633246268,1.0,0.1561,0.43679999999999997
778214,5,0.5206501160509898,0.5206501160509898,1.0,0.0857,0.2573
606175,9,0.06065446638322387,0.06065446638322387,0.19215315712204734,0.3517,0.43720000000000003
522029,5,0.760400743589331,0.760400743589331,1.0,0.1243,0.30500000000000005
912371,4,0.6629194381306959,0.6629194381306959,0.8019831897642015,0.1081,0.31210000000000004
479214,5,0.654116450813408,0.654116450813408,1.0,0.0861,0.27190000000000003
780091,7,0.7746336835843102,0.7746336835843102,1.0,0.224,0.48460000000000003
980463,7,0.7137953407756964,0.7137953407756964,1.0,0.1477,0.36029999999999995
818979,6,0.6677241950402438,0.6677241950402438,1.0,0.2981,0.45399999999999996
474847,5,0.4426127436511479,0.4426127436511479,0.14050299824023327,0.1172,0.257
368567,6,0.7220831461821248,0.7220831461821248,1.0,0.1559,0.2851
344031,7,0.1366020788432178,0.1366020788432178,0.220599797163972,0.2514,0.3639
1035747,6,0.6807568890241644,0.6807568890241644,1.0,0.1007,0.23329999999999995
114623,6,0.5094711283796738,0.5094711283796738,1.0,0.133,0.27659999999999996
970741,6,0.702080979147405,0.702080979147405,1.0,0.2126,0.46319999999999995
712317,7,0.7535664600080416,0.7535664600080416,1.0,0.1975,0.3972
