name,Total Positive cycles,RACIPE JSD1 from WT,RACIPE JSD2 from WT,Boolean JSD from WT,Plasticity1,Plasticity2
986,2,0.15451783995852755,0.15451783995852755,0.19566664197145778,0.1129,0.19330000000000003
890,4,0.0005415007895610195,0.0005415007895610195,0.0002825251699127367,0.4861,0.5816
755,2,0.12765015159511506,0.12765015159511506,0.4991877778739083,0.0325,0.05800000000000005
223,2,0.23650270253347816,0.23650270253347816,0.683415273594557,0.1253,0.21130000000000004
695,1,0.2247323928093089,0.2247323928093089,1.0,0.0111,0.01870000000000005
351,3,0.14408616910131086,0.14408616910131086,0.412775339987725,0.1829,0.3126
799,4,0.38218512085030837,0.38218512085030837,0.33281739927943843,0.5106,0.5789
981,2,0.1594401059518732,0.1594401059518732,0.4031425259659595,0.0686,0.08560000000000001
949,1,0.17885616016444156,0.17885616016444156,0.4797441648729442,0.0389,0.06520000000000004
508,3,0.056871805789672936,0.056871805789672936,0.18413535839182837,0.1979,0.3336
382,4,0.052504182895705534,0.052504182895705534,0.25446635745728896,0.4054,0.5049
923,4,0.3562303730748241,0.3562303730748241,0.47976764520434406,0.361,0.4327
446,1,0.10069283511715045,0.10069283511715045,0.40328775269792994,0.0735,0.15380000000000005
747,1,0.2716989822633566,0.2716989822633566,1.0,0.0272,0.056499999999999995
749,2,0.30150876392231296,0.30150876392231296,1.0,0.0346,0.05740000000000001
367,2,0.3431612096135267,0.3431612096135267,1.0,0.1903,0.24319999999999997
988,3,0.14894775942385702,0.14894775942385702,0.40125594186613756,0.1392,0.238
623,3,0.3029498865024759,0.3029498865024759,1.0,0.2157,0.26890000000000003
319,2,0.1527957652378757,0.1527957652378757,0.36591875487116093,0.1587,0.256
750,2,0.2883091264274187,0.2883091264274187,1.0,0.032,0.05900000000000005
477,2,0.1624457622459115,0.1624457622459115,0.5485376408162888,0.1049,0.9948
501,2,0.10161984351608613,0.10161984351608613,0.4032520425254996,0.0423,0.07210000000000005
487,2,0.45657997776450643,0.45657997776450643,1.0,0.1633,0.30010000000000003
1004,2,0.2640496142754595,0.2640496142754595,1.0,0.0966,0.13560000000000005
734,1,0.18748542614619532,0.18748542614619532,0.6162230341422871,0.0638,0.15159999999999996
847,2,0.20567293962505084,0.20567293962505084,1.0,0.2137,0.27070000000000005
375,3,0.10797841784254805,0.10797841784254805,0.19566589797139328,0.2519,0.3116
575,3,0.23601557902668707,0.23601557902668707,0.4990082454274516,0.1722,0.2783
998,3,0.40619524548495245,0.40619524548495245,1.0,0.1955,0.35760000000000003
671,3,0.31525585080690477,0.31525585080690477,1.0,0.2052,0.349
743,3,0.46530123400294215,0.46530123400294215,1.0,0.193,0.347
WT,4,0.0,0.0,0.00026082648737787376,0.467,0.5679000000000001
731,2,0.17312205553184912,0.17312205553184912,0.23176198859093847,0.1157,0.20989999999999998
956,2,0.10030754060162916,0.10030754060162916,0.4030871318753952,0.1076,0.1755
942,2,0.25780123352604234,0.25780123352604234,1.0,0.0558,0.07540000000000002
699,1,0.13986462370030311,0.13986462370030311,0.499148548008816,0.0756,0.1673
1002,3,0.2697483117759971,0.2697483117759971,1.0,0.1422,0.9998
947,2,0.17388330488897782,0.17388330488897782,0.4797229312415741,0.064,0.0826
239,3,0.39935080881974505,0.39935080881974505,1.0,0.1516,0.18069999999999997
1012,3,0.08740337318441031,0.08740337318441031,0.403107729324333,0.1557,0.9996
761,3,0.08315572914869096,0.08315572914869096,0.17879628477788076,0.2081,0.34840000000000004
815,3,0.3095450013404299,0.3095450013404299,1.0,0.2998,0.3327
995,4,0.44778476897504915,0.44778476897504915,1.0,0.378,0.4477
607,2,0.1388822798992969,0.1388822798992969,0.3942574412555966,0.147,0.24619999999999997
861,4,0.1041097841660723,0.1041097841660723,0.24991632771683878,0.3149,0.4226
381,4,0.048066249784594034,0.048066249784594034,0.25503944549878443,0.387,0.4887
855,3,0.1031216984069146,0.1031216984069146,0.4031600389363821,0.3057,0.3396
878,3,0.27311539454054323,0.27311539454054323,1.0,0.3766,0.41180000000000005
762,3,0.07401260366824872,0.07401260366824872,0.17843649433750214,0.2054,0.3399
883,3,0.03944775911449291,0.03944775911449291,0.1867335086714379,0.3828,0.4244
506,2,0.12662257627032347,0.12662257627032347,0.23219147522878378,0.1497,0.26670000000000005
935,3,0.43623460194171093,0.43623460194171093,1.0,0.1552,0.28680000000000005
493,1,0.266482458276854,0.266482458276854,1.0,0.0267,0.05569999999999997
701,2,0.15249198665443034,0.15249198665443034,0.4032359379649061,0.1049,0.1896
827,4,0.2281410113894869,0.2281410113894869,0.05138458539325626,0.3399,0.4325
941,2,0.2557954297285981,0.2557954297285981,1.0,0.0615,0.08020000000000005
926,3,0.25188810831772934,0.25188810831772934,0.1691816840953892,0.1869,0.32989999999999997
982,2,0.16240821453406235,0.16240821453406235,0.4031259964487043,0.0654,0.08389999999999997
885,4,0.07839422097264007,0.07839422097264007,0.40316665114765826,0.4773,0.5
443,2,0.14336926012658457,0.14336926012658457,0.4990796451017355,0.0982,0.1895
719,1,0.2693653361161622,0.2693653361161622,1.0,0.0065,0.009700000000000042
475,1,0.19789704449566234,0.19789704449566234,0.5983448691114042,0.0685,0.16059999999999997
925,3,0.24533373379378304,0.24533373379378304,0.16953391999552542,0.1852,0.32530000000000003
637,3,0.07266680935212899,0.07266680935212899,0.24895100926418048,0.3702,0.4656
1016,3,0.05666283179098662,0.05666283179098662,0.04100334440510996,0.2103,0.3476
127,4,0.16911294081647443,0.16911294081647443,0.3253363272356121,0.4513,0.5742
871,4,0.38433556435856264,0.38433556435856264,1.0,0.5402,0.6288
950,1,0.1832028433440517,0.1832028433440517,0.4797221862916718,0.039,0.06599999999999995
953,3,0.15033972888464195,0.15033972888464195,0.17035500360513048,0.1312,0.235
638,3,0.07268943624129323,0.07268943624129323,0.25082501824365994,0.3657,0.46530000000000005
971,2,0.21346157295278567,0.21346157295278567,1.0,0.0641,0.08230000000000004
758,1,0.13658363008094646,0.13658363008094646,0.4030997615210309,0.0275,0.05269999999999997
997,3,0.4009287739907601,0.4009287739907601,1.0,0.2013,0.36260000000000003
829,3,0.1766125026529452,0.1766125026529452,0.1751305273411468,0.2382,0.33830000000000005
889,4,0.002023231851287394,0.002023231851287394,0.0002744381799726838,0.4811,0.5798
1010,2,0.07803158662115142,0.07803158662115142,0.4030483923978003,0.0806,0.11719999999999997
702,2,0.1468339286265308,0.1468339286265308,0.40302672896103703,0.1022,0.18679999999999997
415,2,0.23578095235723157,0.23578095235723157,1.0,0.165,0.27769999999999995
875,4,0.2984947004102958,0.2984947004102958,1.0,0.5082,0.5293
494,1,0.27018843448504914,0.27018843448504914,1.0,0.027,0.0524
379,3,0.16070916586771877,0.16070916586771877,0.37834300421894235,0.3669,0.46009999999999995
505,2,0.12009178983392116,0.12009178983392116,0.23278414854651328,0.1512,0.25849999999999995
892,5,0.07642131869094682,0.07642131869094682,0.29352406511150003,0.6447,0.6814
973,1,0.21055557427483623,0.21055557427483623,1.0,0.0326,0.05130000000000001
830,3,0.17234022394239515,0.17234022394239515,0.17683361754604182,0.238,0.34330000000000005
985,2,0.15821336755678117,0.15821336755678117,0.1943706458120185,0.1077,0.1805
247,2,0.17761580631236173,0.17761580631236173,0.49911903478805375,0.0953,0.13739999999999997
499,1,0.14410349921682905,0.14410349921682905,0.49911903478805375,0.0249,0.05500000000000005
502,2,0.10605041995370962,0.10605041995370962,0.40304121352363464,0.037,0.9997
445,1,0.09620590002500409,0.09620590002500409,0.4030703568486428,0.0719,0.1542
478,2,0.16438666963672166,0.16438666963672166,0.5479103625454704,0.1017,0.1956
635,4,0.053596561376969935,0.053596561376969935,0.037974039264214846,0.3899,0.4939
954,3,0.15014927003124157,0.15014927003124157,0.16989413480356827,0.1304,0.23409999999999997
733,1,0.20673425351845712,0.20673425351845712,0.6141071533813052,0.0691,0.14759999999999995
764,2,0.11524836955303956,0.11524836955303956,0.5465637445236877,0.1551,0.2583
254,3,0.11043497394580924,0.11043497394580924,0.2592589798440805,0.2242,0.3598
253,3,0.10531976381115925,0.10531976381115925,0.25589424143145906,0.2283,0.3679
631,2,0.07151031078322273,0.07151031078322273,0.40308959280375717,0.1809,0.22640000000000005
1001,3,0.27108187461800226,0.27108187461800226,1.0,0.145,0.17379999999999995
191,3,0.2256323702875467,0.2256323702875467,0.6346820873627856,0.1285,0.22909999999999997
859,3,0.08455109266696645,0.08455109266696645,0.02434523468063902,0.2321,0.3447
886,4,0.07844089458523967,0.07844089458523967,0.4030465489325301,0.4859,0.5079
757,1,0.13127594153050218,0.13127594153050218,0.40306013563738435,0.0252,0.04859999999999998
877,3,0.27762195932953115,0.27762195932953115,1.0,0.3628,0.40069999999999995
911,3,0.33936186950732306,0.33936186950732306,1.0,0.1673,0.2016
974,1,0.20094345838992328,0.20094345838992328,1.0,0.0318,0.05049999999999999
251,4,0.23067971521180416,0.23067971521180416,0.5480320687781058,0.3509,0.4304
919,2,0.26563452044688296,0.26563452044688296,0.6659882295965043,0.1053,0.1594
823,2,0.26140151965013714,0.26140151965013714,0.6402216420406859,0.2131,0.26880000000000004
491,2,0.2970403498470765,0.2970403498470765,1.0,0.0415,0.9996
862,4,0.10023879694008359,0.10023879694008359,0.2534253734332349,0.3196,0.4343
1009,2,0.077042133795341,0.077042133795341,0.40306861441364367,0.0837,0.11919999999999997
967,2,0.3605948969211238,0.3605948969211238,1.0,0.1426,0.2348
