ParameterIndex,X,SNAIL,miR34,miR200,ZEB,KEAP1,Ecadherin,NRF2,Weight
1,-1,1,-1,-1,1,1,-1,1,1
2,1,1,-1,-1,1,1,-1,1,1
4,-1,1,-1,-1,1,1,-1,-1,1
7,-1,1,-1,1,-1,-1,1,1,1
10,-1,1,-1,-1,1,1,-1,-1,1
11,-1,-1,1,1,-1,-1,1,1,1
12,1,1,-1,-1,1,1,-1,-1,1
15,1,1,-1,-1,1,1,-1,1,1
16,-1,-1,1,1,-1,-1,1,1,1
17,1,1,-1,-1,1,1,-1,1,1
21,1,1,-1,-1,1,1,-1,1,1
26,-1,1,-1,-1,1,1,-1,1,1
30,-1,-1,1,1,-1,-1,1,-1,1
31,-1,-1,1,1,-1,-1,1,-1,1
33,-1,1,-1,-1,1,1,-1,1,1
34,-1,1,-1,-1,1,1,-1,-1,1
35,1,1,-1,-1,1,1,-1,-1,1
36,1,1,1,1,-1,-1,1,-1,1
45,1,1,-1,-1,1,1,-1,1,1
48,1,-1,1,1,-1,-1,1,1,1
51,1,1,-1,-1,1,1,-1,1,1
52,1,-1,1,1,-1,-1,1,1,1
56,1,1,1,1,-1,-1,1,-1,1
57,1,1,1,-1,-1,-1,1,-1,1
62,-1,-1,1,1,-1,-1,1,-1,1
63,-1,-1,-1,-1,1,1,-1,1,1
71,-1,1,1,1,-1,-1,1,-1,1
72,-1,-1,1,1,-1,-1,1,1,1
78,-1,-1,1,1,-1,-1,1,-1,1
80,-1,1,-1,-1,1,1,-1,-1,1
81,1,1,-1,-1,1,1,-1,-1,1
82,1,-1,1,1,-1,-1,1,1,1
84,-1,-1,1,1,-1,-1,1,-1,1
86,-1,-1,1,1,-1,1,1,-1,1
87,1,-1,1,1,-1,-1,1,-1,1
91,1,-1,-1,-1,1,1,-1,-1,1
92,1,1,1,1,-1,-1,1,-1,1
96,1,-1,1,1,-1,-1,1,1,1
103,-1,1,-1,-1,1,1,-1,-1,1
108,-1,1,1,1,-1,-1,1,-1,1
112,1,1,-1,-1,1,1,-1,-1,1
115,-1,-1,1,1,-1,-1,1,1,1
116,1,-1,1,1,-1,-1,1,1,1
118,-1,1,-1,-1,1,1,-1,-1,1
123,-1,-1,1,1,-1,-1,1,1,1
128,-1,-1,1,1,-1,-1,1,1,1
129,-1,1,-1,-1,1,1,-1,1,1
131,-1,-1,1,1,-1,-1,1,1,1
133,1,1,1,1,-1,-1,1,-1,1
136,-1,-1,1,1,-1,-1,1,1,1
138,1,1,-1,-1,1,1,-1,-1,1
139,1,-1,1,1,-1,-1,1,1,1
140,1,1,-1,1,1,1,-1,1,1
147,1,1,-1,-1,1,1,-1,1,1
160,1,-1,1,1,-1,-1,1,1,1
162,1,-1,1,1,-1,-1,1,1,1
163,-1,-1,1,1,-1,-1,1,1,1
165,1,1,-1,-1,1,1,-1,-1,1
168,-1,-1,1,1,-1,-1,1,1,1
170,-1,1,-1,-1,1,1,-1,1,1
171,-1,1,1,1,-1,-1,1,-1,1
173,1,1,-1,-1,1,1,-1,1,1
176,-1,-1,1,1,-1,-1,1,1,1
177,-1,-1,1,1,-1,-1,1,-1,1
179,-1,-1,-1,-1,1,1,-1,-1,1
180,1,1,-1,-1,1,1,-1,-1,1
183,1,-1,1,1,-1,-1,1,1,1
184,1,1,-1,-1,1,1,-1,1,1
186,1,1,-1,-1,1,1,-1,-1,1
191,-1,1,-1,-1,1,1,-1,1,1
196,1,-1,1,1,-1,-1,1,1,1
197,1,-1,1,1,-1,-1,1,1,1
198,1,1,-1,-1,1,1,-1,-1,1
202,-1,-1,1,1,-1,-1,1,1,1
206,1,-1,1,1,-1,-1,1,1,1
207,1,1,1,1,-1,-1,1,-1,1
211,1,-1,1,1,-1,-1,1,-1,1
212,-1,-1,1,1,-1,-1,1,1,1
213,-1,1,-1,-1,1,1,-1,1,1
217,-1,-1,1,1,-1,-1,1,1,1
219,-1,1,-1,-1,1,1,-1,1,1
222,-1,1,-1,-1,1,1,-1,-1,1
223,-1,-1,1,1,-1,-1,1,1,1
225,-1,-1,1,1,-1,-1,1,-1,1
